phrase,word,start,end
1,This,0.841,1.001
1,is,1.061,1.121
1,a,1.201,1.241
1,story,1.262,1.642
1,that,2.243,2.363
1,I,2.423,2.443
1,wrote,2.503,2.783
1,called,4.045,4.385
1,The,5.427,5.527
1,Man,5.567,5.827
1,Who,5.867,6.929
1,Forgot,6.989,7.389
1,Ray,7.99,8.17
1,Bradbury.,8.23,8.731
2,And,9.612,9.692
2,I,9.712,9.732
2,wrote,9.772,10.092
2,it,10.193,10.273
2,as,10.673,10.753
2,a,10.813,10.833
2,birthday,10.893,11.254
2,present,11.314,11.694
2,for,12.636,12.736
2,Ray,12.796,13.036
2,on,13.837,13.897
2,his,13.937,14.037
2,91st,14.057,14.798
2,birthday.,14.898,15.339
3,It,17.422,17.482
3,begins,17.542,17.842
3,like,17.902,18.062
3,this.,18.102,18.303
4,I,21.467,21.507
4,am,21.547,21.627
4,forgetting,21.727,22.147
4,things,22.227,22.508
4,which,23.87,24.05
4,scares,24.13,24.49
4,me.,24.57,24.711
5,I,26.453,26.493
5,am,26.553,26.613
5,losing,26.673,26.973
5,"words,",27.053,27.454
5,although,27.935,28.195
5,I'm,28.215,28.315
5,not,28.375,28.515
5,losing,28.575,28.836
5,concepts.,28.896,29.937
6,I,30.271,30.411
6,hope,30.431,30.692
6,that,31.212,31.333
6,I'm,31.353,31.453
6,not,31.493,31.613
6,losing,31.653,31.913
6,concepts.,31.954,32.454
7,If,33.436,33.516
7,I,33.576,33.616
7,am,33.696,33.776
7,losing,33.836,34.097
7,"concepts,",34.137,34.618
7,I'm,34.818,34.958
7,not,34.998,35.098
7,aware,35.158,35.419
7,of,35.479,35.519
7,it.,35.619,35.699
8,If,35.94,36.0
8,I,36.06,36.1
8,am,36.16,36.24
8,losing,36.28,36.52
8,"concepts,",36.58,36.981
8,how,37.021,37.141
8,would,37.181,37.322
8,I,37.382,37.422
8,know?,37.482,37.682
9,Which,37.722,39.365
9,is,39.425,39.485
9,"funny,",39.545,39.785
9,because,40.526,40.807
9,my,40.867,40.967
9,memory,41.027,41.308
9,was,41.348,41.448
9,always,41.488,41.708
9,so,41.768,41.929
9,good.,41.969,42.209
10,Everything,43.411,43.751
10,was,43.791,43.891
10,in,43.952,44.032
10,there.,44.072,44.272
11,Sometimes,44.793,45.193
11,my,45.274,45.394
11,memory,45.434,45.734
11,was,45.774,45.894
11,so,45.995,46.175
11,good,46.235,46.415
11,that,46.515,46.636
11,I,46.736,46.776
11,even,46.876,47.056
11,thought,47.156,47.417
11,that,47.437,47.918
11,I,47.958,47.978
11,could,48.038,48.178
11,remember,48.218,48.558
11,things,48.599,48.839
11,I,49.019,49.059
11,didn't,49.099,49.3
11,know,49.34,49.48
11,yet.,49.56,49.8
12,Remembering,51.002,51.383
12,forward.,51.483,51.904
13,I,53.826,53.866
13,don't,53.907,54.047
13,think,54.107,54.287
13,there's,54.347,54.507
13,a,54.547,54.568
13,word,54.628,54.808
13,for,54.868,54.968
13,"that,",54.988,55.168
13,is,55.549,55.629
13,there?,55.689,55.869
14,Remembering,56.551,56.971
14,things,57.031,57.232
14,that,57.272,57.372
14,haven't,57.412,57.612
14,happened,57.672,57.953
14,yet.,57.993,58.894
15,I,59.144,59.244
15,don't,59.284,59.464
15,have,59.524,59.645
15,that,59.685,59.805
15,feeling,59.985,60.305
15,I,60.386,60.426
15,get,60.486,60.646
15,when,60.706,60.806
15,I,60.846,60.886
15,go,60.946,61.046
15,looking,61.126,61.407
15,in,61.447,61.507
15,my,61.567,61.687
15,head,61.747,61.907
15,for,61.967,62.088
15,a,62.128,62.148
15,word,62.228,62.548
15,that,63.069,63.189
15,isn't,63.249,63.449
15,"there,",63.489,63.75
15,as,64.17,64.23
15,if,64.31,64.37
15,someone,64.951,65.191
15,must,65.231,65.392
15,have,65.432,65.532
15,come,65.592,65.752
15,and,65.792,65.892
15,taken,65.972,66.293
15,it,66.353,66.433
15,in,66.493,66.533
15,the,66.573,66.653
15,night.,66.693,69.016
16,When,69.036,69.136
16,I,69.176,69.216
16,was,69.276,69.377
16,a,69.437,69.457
16,young,69.497,69.677
16,"man,",69.717,69.917
16,I,70.979,71.019
16,lived,71.059,71.239
16,in,71.279,71.319
16,a,71.379,71.399
16,big,71.459,71.659
16,shared,71.78,72.14
16,house.,72.2,72.54
17,I,73.902,73.942
17,was,73.982,74.062
17,a,74.142,74.162
17,student,74.223,74.623
17,then.,74.723,74.903
18,We,75.844,75.945
18,had,75.985,76.085
18,our,76.125,76.225
18,own,76.265,76.385
18,shelves,76.485,76.946
18,in,76.986,77.106
18,the,77.146,77.226
18,"kitchen,",77.286,77.627
18,neatly,77.727,78.027
18,marked,78.107,78.408
18,with,78.448,78.568
18,our,78.628,78.728
18,"names,",78.768,79.249
18,and,79.349,79.429
18,our,79.469,79.549
18,own,79.589,79.689
18,shelves,79.769,80.07
18,in,80.13,80.17
18,the,80.21,80.29
18,"fridge,",80.35,80.67
18,upon,81.111,81.291
18,which,81.351,81.511
18,we,81.572,81.652
18,kept,81.712,81.952
18,our,82.032,82.112
18,own,82.192,82.312
18,"eggs,",82.473,82.733
18,"cheese,",83.053,83.434
18,"yogurt,",83.794,84.175
18,milk.,84.775,85.236
19,I,86.245,86.485
19,was,86.566,86.686
19,always,86.766,87.026
19,punctilious,87.127,87.788
19,about,87.848,88.048
19,using,88.068,88.409
19,only,88.449,88.87
19,my,88.91,89.07
19,own,89.17,89.29
19,provisions.,89.35,90.733
20,Others,90.753,91.013
20,were,91.073,91.194
20,not,91.234,91.374
20,so...,91.494,91.795
20,"Oh,",94.359,94.479
20,there.,94.499,94.7
21,I,95.862,95.922
21,lost,95.962,96.162
21,a,96.222,96.242
21,word.,96.303,96.563
22,One,98.026,98.146
22,that,98.186,98.286
22,would,98.306,98.446
22,mean,98.486,98.627
22,careful,99.668,100.109
22,to,100.189,100.269
22,obey,100.35,100.55
22,the,100.57,100.65
22,rules.,100.67,101.051
23,The,102.073,102.153
23,other,102.213,102.373
23,people,102.433,102.674
23,in,102.714,102.774
23,the,102.814,102.894
23,house,102.934,103.154
23,were,103.255,103.475
23,not,103.515,105.198
23,so.,105.298,105.519
24,I,106.761,106.801
24,would,106.861,106.981
24,go,107.021,107.141
24,to,107.201,107.262
24,the,107.302,107.382
24,"fridge,",107.422,107.722
24,but,107.863,107.983
24,my,108.043,108.163
24,eggs,108.303,108.584
24,would,108.904,109.065
24,have,109.085,109.205
24,vanished.,109.245,109.806
25,I'm,111.794,111.974
25,thinking,112.034,112.315
25,of,112.355,112.395
25,a,112.435,112.475
25,sky,112.535,112.855
25,filled,112.936,113.176
25,with,113.236,113.336
25,"spaceships,",113.376,114.017
25,so,114.578,114.718
25,many,114.778,114.958
25,of,115.039,115.079
25,them,115.159,115.259
25,that,115.299,115.379
25,they,115.419,115.539
25,seem,115.579,115.78
25,like,115.82,115.94
25,a,116.0,116.02
25,plague,116.12,116.42
25,of,116.461,116.501
25,"locusts,",116.541,117.141
25,silver,117.462,117.822
25,against,118.303,118.644
25,the,118.684,118.844
25,luminous,118.884,119.264
25,mauve,119.345,119.645
25,of,119.685,119.745
25,the,119.805,119.865
25,night.,119.925,120.166
26,Things,121.588,121.768
26,would,121.828,121.948
26,go,121.988,122.068
26,missing,122.128,122.409
26,from,122.449,122.569
26,my,122.629,122.729
26,room,122.789,122.99
26,back,123.03,123.21
26,then,123.27,123.41
26,as,123.47,123.55
26,well.,123.591,123.811
27,Boots.,124.892,125.273
28,I,126.515,126.575
28,remember,126.635,126.975
28,my,127.035,127.135
28,boots,127.176,127.456
28,going.,127.516,127.796
29,Or,128.918,129.018
29,being,129.599,129.859
29,"gone,",129.939,130.22
29,I,130.64,130.68
29,should,130.741,130.941
29,"say,",131.001,131.201
29,as,131.241,131.301
29,I,131.381,131.422
29,did,131.842,131.982
29,not,132.002,132.122
29,ever,132.223,132.383
29,actually,132.483,132.823
29,catch,132.864,133.144
29,them,133.224,133.344
29,in,133.865,133.925
29,the,133.965,134.045
29,act,134.105,134.265
29,of,134.306,134.366
29,leaving.,134.386,134.726
30,Boots,136.769,137.089
30,do,137.17,137.27
30,not,137.31,137.43
30,just,137.53,137.851
30,go.,138.572,138.932
31,Somebody,140.161,140.682
31,went,141.102,141.322
31,them.,141.683,141.843
32,Just,147.41,147.591
32,like,147.651,147.791
32,my,147.831,147.931
32,big,147.991,148.151
32,dictionary.,148.211,148.692
33,Same,149.833,150.034
33,"house,",150.074,150.334
33,same,150.835,151.015
33,time,151.075,151.275
33,period.,151.335,151.716
34,I,152.136,152.176
34,went,152.237,152.377
34,to,152.397,152.497
34,the,152.537,152.617
34,small,152.677,152.937
34,bookshelf,152.998,153.458
34,beside,153.578,153.899
34,my,153.959,154.079
34,bed.,154.139,154.339
35,Everything,154.379,155.04
35,was,155.12,155.22
35,by,155.28,155.401
35,my,155.461,155.561
35,bed.,155.621,155.821
36,It,155.841,155.961
36,was,156.021,156.142
36,my,156.642,156.742
36,"room,",156.802,157.003
36,but,157.083,157.183
36,it,157.203,157.263
36,was,157.303,157.383
36,not,157.423,157.523
36,much,157.583,157.724
36,larger,157.804,158.104
36,than,158.124,158.224
36,a,158.264,158.304
36,cupboard,158.384,158.725
36,with,159.205,159.326
36,a,159.386,159.406
36,bed,159.446,159.586
36,in,159.646,159.706
36,it.,159.766,159.846
