phrase,word,start,end
1,He,21.142,21.302
1,took,21.422,21.643
1,a,21.703,21.743
1,deep,21.843,22.063
1,breath,22.243,22.544
1,and,23.145,23.225
1,tried,23.285,23.525
1,to,23.565,23.625
1,calm,23.685,23.906
1,down.,23.986,24.246
2,The,24.286,25.528
2,situation,25.568,26.168
2,seemed,26.229,26.449
2,almost,26.489,26.769
2,"hopeless,",26.829,27.27
2,and,27.971,28.051
2,after,28.131,28.331
2,he,28.391,28.491
2,spent,28.552,28.832
2,most,28.872,29.252
2,of,29.292,29.333
2,the,29.373,29.453
2,last,29.513,29.753
2,week's,29.813,30.053
2,"drinking,",30.174,30.634
2,he,31.195,31.295
2,knew,31.335,31.515
2,he,31.555,31.676
2,must,31.736,31.976
2,confront,32.076,32.457
2,the,32.537,32.637
2,truth.,32.717,32.997
3,He,34.179,34.259
3,looked,34.299,34.499
3,at,34.539,34.579
3,his,34.619,34.719
3,reflection,34.78,35.3
3,in,35.36,35.42
3,the,35.46,35.521
3,mirror,35.581,35.901
3,and,36.241,36.322
3,started,36.362,36.682
3,sobbing,36.802,37.183
3,uncontrollably.,37.343,38.164
4,That,39.686,39.866
4,"evening,",39.986,40.287
4,at,41.008,41.068
4,his,41.108,41.228
4,deepest,41.308,41.708
4,moment,41.809,42.129
4,of,42.169,42.209
4,"despair,",42.289,42.71
4,he,43.411,43.471
4,did,43.511,43.651
4,the,43.691,43.791
4,"unthinkable,",43.871,44.452
4,calling,45.213,45.553
4,his,45.593,45.714
4,mother,45.774,46.034
4,to,46.094,46.174
4,consult.,46.214,46.795
5,In,48.057,48.217
5,"general,",48.277,48.698
5,advice,49.54,49.901
5,from,49.961,50.122
5,his,50.182,50.302
5,mother,50.382,50.663
5,resembled,50.763,51.224
5,a,51.244,51.264
5,long,51.485,51.886
5,and,52.166,52.246
5,gruesomely,52.347,52.988
5,painful,53.068,53.489
5,lecture,53.569,53.97
5,about,54.592,54.772
5,all,54.932,55.053
5,the,55.113,55.193
5,big,55.253,55.433
5,mistakes,55.494,55.914
