text,start,end
 Martin took a deep breath and tried to calm down.,21.175,24.358
"The situation was almost desperate, and after Martin spent most of the last weeks drunk, he knew it was time to face reality.",24.418,33.147
Martin looked at the reflection in the mirror and started weeping uncontrollably.,34.308,38.151
"That evening, at the utmost moment of hopelessness, Martin did the inconceivable, calling his mom to talk.",39.773,46.9
In general...,48.261,49.022
" Help from his mom resembled a lengthy and very excruciating lecture about all the things he had done wrong in his life, starting from how Martin struggled to remain in his mom's belly up to how Martin had messed up everything with Sophia Jones.",49.492,64.951
"To be honest, it wasn't far from the truth.",66.573,69.076
His mom had gone through nearly 30 hours of agonizing labor.,69.917,73.341
"Martin could imagine, though he never really tried, it could have gone easier.",73.701,78.267
" But to this day, each time Martin looked at his mom's belly, he felt that it was the only time he really felt protected and loved.",79.462,87.05
"As for Sophia, it wasn't that simple, as nothing in life ever is.",88.952,93.037
"Martin had treated her badly sometimes, and well, Martin did take Sophia for granted, although Sophia was better than anything Martin could ever hope for, and Martin could go on and on and on about all the things that ended poorly, but it was beside the point.",94.038,108.574
" Martin learned the lesson, or so he told everybody, not understanding what the lesson was and how the heck was he supposed to learn it.",109.381,116.815
"Martin's mom identified his usual habit and spoke to him, annoyed.",118.498,122.426
"I'm so fed up with you, Martin.",123.228,124.71
Listen to me.,125.291,125.873
"This might sound a bit crazy, but have you explored the idea of seeing a healer about your painful breakup?",126.414,132.385
" Wow, Mom, that was just a dumb idea.",133.242,136.026
I'm not that desperate.,136.066,137.668
"Dearest, I wish you weren't.",138.549,140.151
"Martin sometimes hated his mother for her harsh candor, but she had a point.",141.492,145.638
"Fine, Mom, I'll check it out, Martin said dispassionately while he hung up and mumbled to himself.",146.759,152.486
What do I have to lose?,153.327,154.609
 Martin woke up at dawn the next morning and anxiously scanned the internet for the combination of best and inexpensive Healer.,156.563,163.439
"Before long, Martin understood that knowing nothing about the subject, it was hard to figure out which Healer was the best.",164.22,170.414
He would have to compromise for the most inexpensive one he could get.,171.256,174.724
" Andre the Giant, hypnosis and physio specialist, customer satisfaction guaranteed.",174.704,179.791
"The combination was kind of strange, but just thinking about The Princess Bride, which was Martin's all-time favorite film by far, made the choice much more easy.",180.092,188.623
A deep voice answered Martin's call.,188.664,191.748
"Today's your lucky day, Mr. Williams.",192.269,194.371
Somehow a fake name felt comforting.,194.912,196.595
"I have a place at 1.30 p.m. today, but it's going to be cold, so be sure to bring a coat.",197.296,203.344
" Martin arrived at Andre's clinic at 1.27, and Andre, that to Martin's dissatisfaction was a surprisingly small man, invited him in.",204.809,213.722
"I dislike Thursdays, Andre said.",213.742,216.807
"For some reason, everyone seems to be ill.",216.867,219.631
I know what you mean.,221.293,221.974
"I used to be in the bathroom tissue industry, Martin replied, feeling that was an unconventional response.",221.994,228.083
" So, are you interested in physio work, or you came here only for hypnosis session?",228.232,233.181
Andre asked.,233.743,234.404
"Just the hypnosis, please.",235.366,236.448
"My neck seems to be just perfect these days, thank you.",236.688,239.073
Martin replied confidently.,239.514,240.696
"Okay, dude.",241.297,241.938
Andre replied and coughed.,242.7,244.042
"What seems to be worrying you, Mr. Williams?",245.745,248.13
" It's Sophia, the best girl on planet Earth.",249.072,251.815
I can't stop thinking of her.,252.556,253.937
"The wedding was supposed to happen in the summer, but I was scared to marry.",254.698,258.402
I'm totally obsessed with Sophia.,259.523,261.085
"I dream about Sophia constantly, and I see her image in practically every woman I meet.",261.826,266.431
"To be honest, you are the 30th counselor I've spoken to.",267.932,271.116
"Do you enjoy candy, Mr. Williams?",271.156,274.86
" Martin didn't understand the relevance of the question, though he replied nevertheless, I'm not crazy about it, but I eat a little now and then.",275.853,283.083
"Just keep your eyes on the Kit Kat, Andre replied, while he started to gently swing a small Kit Kat that was dangling from a cord.",283.143,292.135
