phrase,word,start,end
1,Martin,21.175,21.615
1,took,21.736,21.916
1,a,21.976,22.016
1,deep,22.096,22.296
1,breath,22.376,22.636
1,and,23.217,23.297
1,tried,23.357,23.597
1,to,23.637,23.717
1,calm,23.778,24.078
1,down.,24.138,24.358
2,The,24.418,25.599
2,situation,25.639,26.26
2,was,26.32,26.44
2,almost,26.46,26.921
2,"desperate,",27.041,27.521
2,and,28.022,28.102
2,after,28.182,28.402
2,Martin,28.482,28.782
2,spent,28.842,29.083
2,most,29.243,29.483
2,of,29.543,29.583
2,the,29.643,29.703
2,last,29.763,30.024
2,weeks,30.104,30.344
2,"drunk,",30.464,31.225
2,he,31.245,31.325
2,knew,31.365,31.505
2,it,31.565,31.625
2,was,31.665,31.765
2,time,31.865,32.106
2,to,32.166,32.246
2,face,32.326,32.586
2,reality.,32.666,33.147
3,Martin,34.308,34.588
3,looked,34.628,34.848
3,at,34.908,34.948
3,the,34.968,35.068
3,reflection,35.129,35.609
3,in,35.669,35.709
3,the,35.749,35.809
3,mirror,35.889,36.17
3,and,36.33,36.41
3,started,36.47,36.79
3,weeping,36.85,37.171
3,uncontrollably.,37.311,38.151
4,That,39.773,39.953
4,"evening,",40.033,40.374
4,at,41.054,41.114
4,the,41.134,41.275
4,utmost,41.395,41.755
4,moment,41.835,42.195
4,of,42.235,42.275
4,"hopelessness,",42.356,43.036
4,Martin,43.497,43.857
4,did,43.917,44.097
4,the,44.197,44.297
4,"inconceivable,",44.418,45.278
4,calling,45.459,45.819
4,his,45.859,45.979
4,mom,46.059,46.339
4,to,46.399,46.48
4,talk.,46.58,46.9
5,In,48.261,48.341
5,general...,48.421,49.022
6,Help,49.492,49.772
6,from,49.832,49.993
6,his,50.053,50.193
6,mom,50.273,50.553
6,resembled,50.633,51.034
6,a,51.114,51.134
6,lengthy,51.214,51.735
6,and,51.875,51.975
6,very,52.215,52.556
6,excruciating,52.636,53.517
6,lecture,53.597,53.997
6,about,54.038,54.839
6,all,54.999,55.119
6,the,55.159,55.299
6,things,55.359,55.619
6,he,55.68,55.78
6,had,55.84,55.96
6,done,56.02,56.24
6,wrong,56.32,56.561
6,in,56.621,56.681
6,his,56.741,56.861
6,"life,",56.961,57.181
6,starting,58.123,58.483
6,from,58.543,58.663
6,how,58.723,58.863
6,Martin,58.944,59.324
6,struggled,59.404,59.765
6,to,59.825,59.885
6,remain,59.945,60.285
6,in,60.305,60.405
6,his,60.465,60.545
6,mom's,60.586,60.866
6,belly,60.886,61.186
6,up,61.647,61.727
6,to,61.767,61.867
6,how,61.907,62.047
6,Martin,62.107,62.408
6,had,62.448,62.548
6,messed,62.608,62.868
6,up,63.129,63.209
6,everything,63.429,63.829
6,with,63.87,63.99
6,Sophia,64.05,64.49
6,Jones.,64.55,64.951
7,To,66.573,66.693
7,be,66.733,66.813
7,"honest,",66.853,67.274
7,it,67.734,67.794
7,wasn't,67.874,68.155
7,far,68.215,68.395
7,from,68.455,68.595
7,the,68.615,68.715
7,truth.,68.775,69.076
8,His,69.917,70.077
8,mom,70.157,70.417
8,had,70.498,70.698
8,gone,70.758,70.938
8,through,70.958,71.178
8,nearly,71.238,71.459
8,30,71.479,71.799
8,hours,71.859,72.22
8,of,72.28,72.32
8,agonizing,72.44,72.961
8,labor.,73.041,73.341
9,Martin,73.701,73.942
9,could,73.982,74.122
9,"imagine,",74.162,74.603
9,though,74.663,75.263
9,he,75.303,75.363
9,never,75.404,75.604
9,really,75.664,75.884
9,"tried,",75.964,76.305
9,it,76.345,77.106
9,could,77.146,77.306
9,have,77.366,77.446
9,gone,77.486,77.646
9,easier.,77.746,78.267
10,But,79.462,79.622
10,to,79.642,79.742
10,this,79.782,79.963
10,"day,",80.083,80.323
10,each,80.343,81.224
10,time,81.304,81.504
10,Martin,81.584,81.885
10,looked,81.925,82.105
10,at,82.145,82.185
10,his,82.225,82.325
10,mom's,82.405,82.666
10,"belly,",82.706,83.006
10,he,83.426,83.506
10,felt,83.567,83.747
10,that,83.807,83.927
10,it,83.967,84.007
10,was,84.047,84.127
10,the,84.167,84.267
10,only,84.407,84.668
10,time,84.688,85.068
10,he,85.108,85.308
10,really,85.389,85.649
10,felt,85.709,85.889
10,protected,85.949,86.41
10,and,86.55,86.63
10,loved.,86.71,87.05
11,As,88.952,89.013
11,for,89.073,89.173
11,"Sophia,",89.213,89.633
11,it,89.673,90.414
11,wasn't,90.494,90.754
11,that,90.794,90.995
11,"simple,",91.035,91.335
11,as,91.675,91.756
11,nothing,91.836,92.136
11,in,92.176,92.236
11,life,92.296,92.476
11,ever,92.576,92.737
11,is.,92.897,93.037
12,Martin,94.038,94.318
12,had,94.378,94.479
12,treated,94.519,94.799
