phrase,word,start,end
1,She,21.192,21.452
1,took,21.552,21.773
1,a,21.833,21.853
1,deep,21.993,22.213
1,breath,22.353,22.653
1,and,23.194,23.274
1,tried,23.334,23.574
1,to,23.614,23.694
1,calm,23.755,24.055
1,down.,24.135,24.395
2,The,24.415,25.556
2,situation,25.596,26.217
2,seemed,26.277,26.537
2,too,26.717,26.918
2,"good,",26.998,27.278
2,and,27.298,28.119
2,after,28.219,28.399
2,she,28.459,28.599
2,spent,28.639,28.9
2,most,28.98,29.26
2,of,29.32,29.36
2,the,29.4,29.48
2,last,29.52,29.76
2,week's,29.82,30.021
2,"worrying,",30.061,30.701
2,she,31.362,31.462
2,knew,31.502,31.662
2,she,31.722,31.802
2,could,31.862,32.003
2,enjoy,32.083,32.443
2,the,32.463,32.583
2,moment.,32.623,32.984
3,She,34.285,34.385
3,looked,34.445,34.645
3,at,34.685,34.725
3,her,34.765,34.865
3,reflection,34.885,35.446
3,in,35.506,35.546
3,the,35.586,35.666
3,mirror,35.726,36.047
3,and,36.307,36.387
3,started,36.447,36.707
3,laughing,36.767,37.128
3,uncontrollably.,37.248,38.029
4,That,39.75,39.93
4,"evening,",40.051,40.371
4,at,41.051,41.112
4,her,41.152,41.252
4,biggest,41.352,41.692
4,moment,41.772,42.052
4,of,42.093,42.153
4,"triumph,",42.173,42.693
4,she,43.474,43.594
4,did,43.654,43.794
4,the,43.814,43.894
4,"expected,",44.014,44.535
4,calling,45.296,45.616
4,her,45.656,45.736
4,mother,45.776,45.996
4,to,46.036,46.136
4,brag.,46.197,46.677
5,In,48.108,48.268
5,"general,",48.328,48.789
5,conversations,49.511,50.212
5,with,50.252,50.352
5,her,50.412,50.512
5,mother,50.552,50.853
5,resembled,50.893,51.534
5,an,51.554,51.755
5,intense,51.815,52.296
5,and,52.496,52.576
5,unbelievably,52.716,53.418
5,optimistic,53.578,54.119
5,lecture,54.199,54.56
5,about,54.68,54.88
5,all,55.021,55.141
5,the,55.181,55.261
5,good,55.341,55.521
5,things,55.622,55.862
5,she,55.922,56.002
5,had,56.042,56.123
5,accomplished,56.163,56.704
5,in,56.764,56.824
5,her,56.864,56.984
5,"life,",57.044,57.265
5,starting,58.266,58.607
