phrase,word,start,end
1,When,20.99,21.15
1,the,21.19,21.25
1,phone,21.31,21.551
1,"rang,",21.611,21.871
1,the,21.911,22.212
1,gray-haired,22.252,22.673
1,man,22.733,22.953
1,asked,22.973,23.273
1,the,23.293,23.414
1,"girl,",23.454,23.674
1,with,23.774,23.914
1,quite,24.055,24.255
1,some,24.335,24.495
1,little,24.535,24.736
1,"deference,",24.776,25.256
1,if,25.837,25.897
1,she,25.937,26.038
1,would,26.078,26.198
1,rather,26.238,26.478
1,for,26.538,26.638
1,any,26.719,26.839
1,reason,26.899,27.219
1,he,27.279,27.34
1,didn't,27.38,27.58
1,answer,27.66,27.92
1,it.,27.981,28.041
2,The,29.002,29.082
2,girl,29.122,29.323
2,heard,29.403,29.583
2,him,29.643,29.743
2,as,29.823,29.903
2,if,29.964,30.044
2,from,30.084,30.224
2,a,30.284,30.304
2,distance,30.364,30.845
2,and,30.965,31.045
2,turned,31.125,31.366
2,her,31.406,31.506
2,face,31.566,31.766
2,toward,31.826,32.067
2,"him,",32.107,32.227
2,one,32.688,32.788
2,eye,32.948,33.028
2,on,33.128,33.168
2,the,33.208,33.268
2,side,33.329,33.489
2,of,33.529,33.569
2,the,33.609,33.689
2,"light,",33.749,33.99
2,close,34.11,34.39
2,"tight,",34.49,34.751
2,her,35.292,35.392
2,open,35.492,35.712
2,eye,35.812,35.892
2,"very,",35.993,36.293
2,"however,",36.333,36.654
2,disingenuously,37.174,38.176
2,"large,",38.256,38.596
2,and,39.077,39.157
2,so,39.257,39.418
2,blue,39.498,39.718
2,as,39.818,39.878
2,to,39.918,39.999
2,appear,40.059,40.339
2,almost,40.379,40.86
2,violet.,40.96,41.401
3,The,42.302,42.382
3,gray-haired,42.422,42.843
3,man,42.903,43.103
3,asked,43.123,43.464
3,her,43.504,43.604
3,to,43.664,43.744
3,hurry,43.804,44.065
3,"up,",44.185,44.325
3,and,44.345,44.405
3,she,44.465,44.565
3,raised,44.606,45.006
3,up,45.126,45.206
3,on,45.307,45.367
3,her,45.427,45.527
3,right,45.607,45.787
3,forearm,45.867,46.348
3,just,46.428,46.609
3,quickly,46.729,47.049
3,enough,47.109,47.33
3,so,47.87,47.971
3,that,48.011,48.131
3,the,48.171,48.251
3,movement,48.311,48.692
3,didn't,48.732,48.952
3,quite,49.092,49.333
3,look,49.413,49.593
3,perfunctory.,49.653,50.254
4,She,51.348,51.488
4,cleared,51.548,51.769
4,her,51.809,51.889
4,hair,51.949,52.149
4,back,52.229,52.45
4,from,52.53,52.69
4,her,52.73,53.13
4,forehead,53.271,53.711
4,with,53.791,53.952
4,her,53.992,54.753
4,left,54.813,55.073
4,hand,55.133,55.454
4,and,55.534,55.614
4,"said,",55.694,55.894
4,"God,",56.816,57.136
4,I,58.097,58.137
4,don't,58.177,58.298
4,know.,58.318,58.478
5,I,58.498,58.538
5,"mean,",58.558,58.718
5,what,58.858,58.958
5,do,58.999,59.059
5,you,59.079,59.179
5,think?,59.239,59.459
6,The,60.621,60.681
