phrase,word,start,end
1,"Okay,",7.692,17.102
1,so,30.295,30.675
1,they,30.715,30.795
1,began,31.336,31.816
1,with,31.856,32.037
1,like,32.097,32.417
2,A,32.718,32.958
2,dream,32.978,33.439
2,sequence,33.66,34.161
2,of,34.581,34.722
2,a,35.483,35.603
2,shootout.,35.864,36.425
3,It's,36.545,36.685
3,during,36.826,37.106
3,the,37.166,37.266
3,day.,37.306,37.627
4,It,38.228,38.288
4,looks,38.489,38.669
4,like,38.709,38.829
4,it's,38.889,38.97
4,in,39.03,39.11
4,a,39.21,39.37
4,grassy,39.43,39.831
4,field,39.911,40.252
4,with,40.292,40.432
4,some,40.693,40.913
4,sort,40.993,41.214
4,of,41.294,41.334
4,"disheveled,",41.835,43.057
4,half-recomposed,43.378,44.239
4,building.,44.279,44.72
5,There's,45.642,45.842
5,a,45.862,45.902
5,lot,45.962,46.263
5,of,46.283,46.403
5,guys,46.884,47.365
5,in,47.585,47.786
5,army,48.227,48.507
5,gear,48.587,48.988
5,shooting.,49.429,49.789
6,It's,50.15,50.25
6,very,50.27,50.511
6,chaotic.,50.531,51.112
7,You,51.172,51.232
7,can't,51.252,51.573
7,really,51.633,51.913
7,make,51.994,52.194
7,out,52.334,52.454
7,any,52.474,52.755
7,faces,52.815,53.296
7,or,53.456,53.516
7,really,53.556,54.258
7,people.,54.298,54.979
8,And,55.668,56.729
8,then,56.77,56.89
8,so,56.97,57.25
8,that,57.29,57.691
8,cuts,58.532,58.752
8,out,58.812,58.892
8,really,58.932,59.093
8,quickly,59.113,59.473
8,and,59.513,59.573
8,you,59.613,59.754
8,see,59.774,59.954
8,this,59.994,60.134
8,man,60.214,60.455
8,kind,60.895,60.995
8,of,61.055,61.116
8,like,61.156,61.316
8,start,61.376,61.816
8,out,62.037,62.117
8,of,62.177,62.217
8,the,62.317,62.417
8,"bed,",62.718,63.038
8,it's,63.098,63.218
8,"dark,",63.319,63.899
8,looks,63.919,64.1
8,like,64.12,64.24
8,it's,64.3,64.38
8,the,64.5,64.6
8,middle,64.62,64.761
8,of,64.781,64.821
8,the,64.841,64.901
8,night,64.961,65.081
8,or,65.141,65.201
8,something.,65.241,66.563
9,And,66.583,66.743
9,so,68.566,68.686
9,he,68.726,68.806
9,just,68.846,68.966
9,kind,69.026,69.107
9,of,69.167,69.227
9,sits,69.247,69.447
9,up,69.587,69.647
9,and,70.108,70.168
9,like,70.188,70.348
9,sits,70.548,70.749
9,there,70.809,71.049
9,like,72.091,72.251
9,keeping,72.331,72.671
9,for,72.752,72.912
9,a,72.932,72.952
9,while,72.992,73.232
9,like,73.252,73.372
9,he,73.392,73.473
9,just,73.513,73.653
9,woke,73.673,73.833
9,up,73.893,73.953
9,from,73.993,74.093
9,a,74.133,74.214
9,nightmare,74.254,74.614
9,which,74.634,74.774
9,is,74.814,74.874
9,what,75.255,75.395
9,we,75.435,75.515
9,assumed,75.575,75.896
9,that,75.916,76.076
9,dream,76.116,76.316
9,was.,76.377,78.199
10,So,78.938,79.158
10,then,79.218,79.398
10,it,79.459,79.519
10,cuts,79.559,79.819
10,out,79.939,80.039
10,to,80.62,80.94
10,the,81.1,81.301
10,daytime,81.661,82.282
10,and,82.362,82.442
10,we,82.482,82.682
10,get,82.702,82.802
10,like,82.862,83.082
10,this,83.123,83.283
10,image,83.383,83.623
10,of,83.683,83.743
10,his,83.803,84.064
10,apartment,84.604,85.145
10,and,85.265,85.325
10,he's,85.425,85.745
10,just,85.765,85.946
10,kind,85.966,86.166
