BIDS ID,Notes
sub-049,"group2, social, movie, physical"
sub-058,"group2, social, movie, physical"
sub-095,"group1, movie, physical, social"
sub-115,"group3, physical, social, movie"
sub-127,"group1, movie, physical, social"
sub-181,"group1, movie, social, physical"
sub-186,"group2, social, movie, physical"
sub-190,"group2, social, movie, physical"
sub-191,"group1, movie, physical, social"
sub-200,"group1, movie, social, physical"
sub-201,"group3, physical, movie, social"
sub-206,"group1, movie, social, physical"
sub-207,"group1, movie, social, physical"
sub-208,"group1, movie, social, physical"
sub-209,"group1, movie, social, physical"
sub-210,"group1, movie, social, physical"
sub-211,"group1, movie, social, physical"
sub-212,"group1, movie, social, physical"
sub-213,"group1, movie, physical, social"
sub-214,"group1, movie, physical, social"
sub-215,"group1, movie, physical, social"
sub-216,"group1, movie, physical, social"
sub-217,"group1, movie, physical, social"
sub-218,"group1, movie, physical, social"
sub-219,"group1, movie, physical, social"
sub-220,"group1, movie, physical, social"
sub-221,"group2, social, physical, movie"
sub-222,"group2, social, physical, movie"
sub-223,"group2, social, physical, movie"
sub-224,"group2, social, physical, movie"
sub-225,"group2, social, physical, movie"
sub-226,"group2, social, movie, physical"
sub-227,"group2, social, movie, physical"
sub-228,"group2, social, movie, physical"
sub-229,"group2, social, physical, movie"
sub-230,"group2, social, physical, movie"
sub-231,"group2, social, physical, movie"
sub-232,"group2, social, movie, physical"
sub-233,"group2, social, movie, physical"
sub-234,"group2, social, movie, physical"
sub-235,"group2, social, physical, movie"
sub-236,"group2, social, movie, physical"
sub-237,"group2, social, movie, physical"
sub-238,"group3, physical, social, movie"
sub-239,"group3, physical, movie, social"
sub-240,"group3, physical, movie, social"
sub-241,"group3, physical, social, movie"
sub-242,"group3, physical, social, movie"
sub-243,"group3, physical, movie, social"
sub-244,"group3, physical, movie, social"
sub-245,"group3, physical, movie, social"
sub-246,"group3, physical, movie, social"
sub-247,"group3, physical, social, movie"
sub-248,"group3, physical, social, movie"
sub-249,"group3, physical, movie, social"
sub-250,"group3, physical, social, movie"
sub-251,"group3, physical, social, movie"
sub-252,"group3, physical, movie, social"
sub-253,"group3, physical, social, movie"
