participant,word_count_noStop_noFiller,sentence_count,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,nouns,verbs,adjectives,adverbs,pronouns,conjunctions,prepositions,interjections,articles,nouns_to_verbs_ratio,content_words_prop,function_words_prop,pronouns_to_nouns_ratio,temporal_connectives_count,causal_connectives_count,GroupNumber,TaskOrder
49,44,11,6,0,13,0,0,10,7,0,0,0,0,21,2,0,0,0,0,8,2,10,0,0,2,0,2,0,3,0,0,1,3,13,1,1,0,0,0.18548387096774194,0.16129032258064516,0.056451612903225805,0.08064516129032258,0.08870967741935484,0.04838709677419355,0.08064516129032258,0.0,0.10483870967741936,1.1500000000000001,0.4838709677419355,0.3225806451612903,0.4782608695652174,1,1,group2,"social, movie, physical"
58,66,11,7,0,22,0,0,6,9,0,0,0,0,26,7,0,0,0,0,15,3,10,0,0,4,0,7,2,5,1,0,0,3,20,0,0,0,1,0.18435754189944134,0.16201117318435754,0.05027932960893855,0.055865921787709494,0.1005586592178771,0.03910614525139665,0.0335195530726257,0.0111731843575419,0.12290502793296089,1.1379310344827587,0.4525139664804469,0.29608938547486036,0.5454545454545455,6,0,group2,"social, movie, physical"
186,102,13,12,0,36,0,1,16,15,0,0,0,0,48,10,0,0,0,0,5,8,7,0,0,9,0,7,1,0,0,0,0,0,24,0,0,0,0,0.25327510917030566,0.10480349344978165,0.06550218340611354,0.03056768558951965,0.056768558951965066,0.05240174672489083,0.06986899563318777,0.004366812227074236,0.1572052401746725,2.4166666666666665,0.4541484716157205,0.33624454148471616,0.2241379310344828,8,0,group2,"social, movie, physical"
190,115,16,27,1,41,0,0,21,13,0,0,0,0,51,4,0,0,0,0,11,5,24,0,0,4,0,5,0,4,32,1,1,1,0,0,0,0,0,0.19927536231884058,0.14130434782608695,0.04710144927536232,0.08695652173913043,0.057971014492753624,0.09782608695652174,0.07608695652173914,0.0,0.14855072463768115,1.4102564102564104,0.47463768115942023,0.3804347826086957,0.2909090909090909,13,3,group2,"social, movie, physical"
221,44,8,4,0,5,0,0,7,4,0,0,0,0,13,4,0,0,0,0,8,5,9,0,0,6,0,4,0,3,0,0,0,2,16,0,0,0,2,0.15454545454545454,0.19090909090909092,0.03636363636363636,0.08181818181818182,0.11818181818181818,0.03636363636363636,0.06363636363636363,0.0,0.045454545454545456,0.8095238095238094,0.4636363636363636,0.2636363636363636,0.7647058823529412,4,0,group2,"social, physical, movie"
222,90,15,13,0,30,0,0,20,11,0,0,0,0,41,7,0,0,0,0,16,5,10,0,0,4,0,7,0,3,1,2,0,7,19,0,0,0,0,0.21621621621621623,0.14414414414414414,0.04954954954954955,0.04504504504504504,0.0945945945945946,0.05855855855855856,0.09009009009009009,0.0,0.13513513513513514,1.5,0.4549549549549549,0.3783783783783784,0.4375,8,0,group2,"social, physical, movie"
223,65,13,5,0,20,0,0,4,7,0,0,0,0,26,5,0,0,0,0,9,5,20,0,0,3,0,9,4,3,20,1,0,1,1,0,0,0,1,0.1834319526627219,0.15384615384615385,0.04142011834319527,0.11834319526627218,0.08284023668639054,0.029585798816568046,0.023668639053254437,0.023668639053254437,0.11834319526627218,1.1923076923076923,0.4970414201183432,0.2544378698224852,0.4516129032258065,3,3,group2,"social, physical, movie"
225,41,9,6,0,5,0,0,9,13,0,0,0,0,15,4,0,0,0,0,10,7,10,0,0,1,0,4,2,3,0,0,0,5,8,0,1,0,0,0.15447154471544716,0.13008130081300814,0.10569105691056911,0.08130081300813008,0.14634146341463414,0.04878048780487805,0.07317073170731707,0.016260162601626018,0.04065040650406504,1.1875,0.4715447154471545,0.3089430894308943,0.9473684210526315,2,1,group2,"social, physical, movie"
228,92,12,15,0,39,0,0,17,7,0,0,0,0,42,9,0,0,0,0,6,4,9,0,0,4,0,16,0,10,1,0,0,2,17,0,0,0,0,0.23394495412844038,0.13761467889908258,0.03211009174311927,0.04128440366972477,0.045871559633027525,0.06880733944954129,0.0779816513761468,0.0,0.17889908256880735,1.7,0.44495412844036697,0.37155963302752293,0.19607843137254902,2,0,group2,"social, movie, physical"
229,49,12,11,0,5,0,0,6,3,0,0,0,0,21,4,0,0,0,0,14,10,9,0,0,1,0,6,0,3,16,0,0,1,2,0,0,0,0,0.1893939393939394,0.16666666666666666,0.022727272727272728,0.06818181818181818,0.18181818181818182,0.08333333333333333,0.045454545454545456,0.0,0.03787878787878788,1.1363636363636365,0.44696969696969696,0.3484848484848485,0.9600000000000001,2,1,group2,"social, physical, movie"
