participant,word_count_noStop_noFiller,sentence_count,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,nouns,verbs,adjectives,adverbs,pronouns,conjunctions,prepositions,interjections,articles,nouns_to_verbs_ratio,content_words_prop,function_words_prop,pronouns_to_nouns_ratio,temporal_connectives_count,causal_connectives_count,GroupNumber,TaskOrder
49,226,41,45,5,77,3,0,60,41,0,0,0,1,92,15,1,0,0,0,65,5,51,0,0,5,0,7,1,12,8,11,9,23,58,3,1,0,2,0.15384615384615385,0.17236467236467237,0.0584045584045584,0.07264957264957266,0.10113960113960115,0.0641025641025641,0.08547008547008547,0.0014245014245014246,0.10968660968660969,0.8925619834710744,0.45726495726495725,0.3603988603988604,0.6574074074074074,10,9,group2,"social, movie, physical"
58,235,42,48,5,86,4,0,56,38,0,0,0,3,85,19,0,0,0,0,64,7,50,0,0,11,0,12,5,11,9,20,6,26,59,4,1,0,5,0.13997308209959622,0.17631224764468373,0.05114401076716016,0.06729475100942127,0.09690444145356662,0.06460296096904442,0.07537012113055182,0.006729475100942127,0.11574697173620457,0.7938931297709922,0.43472409152086133,0.3526244952893674,0.6923076923076924,16,7,group2,"social, movie, physical"
95,240,36,49,0,90,6,0,47,51,0,0,0,1,101,16,3,0,0,0,27,3,34,0,0,6,0,11,9,14,0,13,4,13,47,2,1,0,2,0.183206106870229,0.13893129770992366,0.07786259541984733,0.051908396946564885,0.04732824427480916,0.07480916030534351,0.0717557251908397,0.013740458015267175,0.13740458015267176,1.3186813186813187,0.4519083969465649,0.33129770992366414,0.25833333333333336,16,3,group1,"movie, physical, social"
115,146,19,42,6,48,3,0,32,15,3,0,0,13,45,12,2,0,0,0,18,0,37,1,0,2,0,4,3,24,20,10,1,7,1,0,0,0,0,0.14898989898989898,0.1590909090909091,0.045454545454545456,0.09595959595959595,0.045454545454545456,0.10606060606060606,0.08080808080808081,0.007575757575757576,0.12121212121212122,0.9365079365079364,0.4494949494949495,0.35353535353535354,0.3050847457627119,14,3,group3,"physical, social, movie"
127,299,48,72,3,110,3,1,68,47,0,0,0,2,116,20,3,0,1,0,61,5,77,0,0,5,0,13,2,18,9,13,3,17,71,7,4,0,2,0.15995397008055237,0.15074798619102417,0.05408515535097814,0.08860759493670886,0.0805523590333717,0.08285385500575373,0.07825086306098965,0.0023014959723820483,0.12658227848101267,1.0610687022900764,0.4533947065592635,0.36823935558112775,0.5035971223021583,35,6,group1,"movie, physical, social"
181,311,42,51,3,80,1,0,58,87,1,0,0,3,123,14,0,0,0,0,32,4,53,0,0,12,0,22,22,21,2,16,5,22,60,4,4,0,4,0.1621301775147929,0.14911242603550295,0.10414201183431952,0.06272189349112427,0.047337278106508875,0.06035502958579882,0.06863905325443787,0.02603550295857988,0.09467455621301775,1.0873015873015872,0.4781065088757397,0.2710059171597633,0.29197080291970806,14,4,group1,"movie, social, physical"
186,295,58,46,4,99,1,1,56,25,0,0,0,2,118,32,3,0,0,0,58,13,44,1,0,17,0,12,3,10,7,10,2,20,58,2,0,0,1,0.20318725099601595,0.14209827357237717,0.033200531208499334,0.05976095617529881,0.09428950863213811,0.06108897742363878,0.07436918990703852,0.00398406374501992,0.13147410358565736,1.4299065420560748,0.43824701195219123,0.3612217795484728,0.4640522875816993,15,1,group2,"social, movie, physical"
190,315,50,86,6,114,1,0,59,31,1,0,0,4,141,10,1,0,0,0,48,13,69,0,0,6,0,18,2,17,87,10,5,6,7,2,0,0,1,0.17988165680473372,0.15621301775147928,0.0378698224852071,0.08165680473372781,0.07218934911242604,0.10177514792899409,0.06982248520710059,0.002366863905325444,0.1349112426035503,1.1515151515151516,0.4556213017751479,0.37869822485207105,0.40131578947368424,24,6,group2,"social, movie, physical"
191,281,40,58,2,89,5,0,71,55,1,0,0,1,119,20,0,0,0,0,51,5,52,0,0,6,0,14,2,31,14,15,8,16,52,5,1,0,2,0.17245657568238212,0.1687344913151365,0.06947890818858561,0.06451612903225806,0.0707196029776675,0.07196029776674938,0.0880893300248139,0.0024813895781637717,0.11042183622828784,1.0220588235294117,0.47518610421836227,0.3411910669975186,0.41007194244604317,18,5,group1,"movie, physical, social"
200,208,29,29,1,81,2,0,54,43,1,0,0,0,94,7,1,0,0,0,10,0,23,0,0,0,0,10,19,7,35,5,7,0,10,2,0,0,0,0.1851179673321234,0.1161524500907441,0.07985480943738657,0.041742286751361164,0.018148820326678767,0.05263157894736842,0.09800362976406533,0.034482758620689655,0.147005444646098,1.59375,0.42286751361161523,0.3157894736842105,0.09803921568627452,9,2,group1,"movie, social, physical"
