0.452; She's 33 years old.
0.303; Stephen Perdue watches his wife get ready for her violin lesson.
0.364; Sasha broke up with this guy, and now I'm missing ten sleeping pills.
0.182; This girl better grow up.
0.727; Can't afford it for one.
0.022; His turban blocks her view of the asphalt.
0.141; but it's too late to undo it.
0.606; He holds a cracker piled with overripe brie and jelly, shoves it in his wife's mouth.
0.22; She's young.
0.389; Alexander and Margaret walk down Broadway.
0.118; Gary has a meeting with his advisors to discuss the internship.
0.364; I can't afford to float this whole place by myself.
0.237; We're postponing our lives, Gary.
0.303; He is losing his wife.
0.226; It's not my fault the building is old.
0.606; Get your wife off my back.
0.517; I am not my mother, okay?
0.517; I am not my mother.
0.142; I'll send you the number, says her mother before she hangs up.
0.176; There are more pressing issues than foam fights.
0.101; Blood rushes to Margaret's head, and then she says it all in one breath.
0.288; There's nothing funny about feeling old.
0.151; I'll keep growing up.
0.123; Alexander Sikora, my old journalist friend, is back in New York.
0.069; I will, and then we'll get you a job that you love.
0.318; He acts disappointed.
0.144; So, when do I start?
0.517; My mother, me, Margaret.
0.083; You're not a girl who likes playing safe.
0.226; Getting too old for this, he sucks in his breath.
0.134; The hard job is done.
0.22; We're both young.
0.149; Maggie's right.
0.517; Margaret isn't your mother.
0.167; It's her blood on the granite.
0.226; It's a week old.
0.214; She compulsively scrolls through her phone up to her mother's text.
0.135; At home, after putting Sasha to sleep, Margaret writes Alexander an email.
0.149; He's right behind her.
0.303; His wife and daughter look up.
0.259; For a moment, on 74th and Columbus, apartment 9D, there's a mother and daughter.
0.2; They walk the city looking for surfaces to plaster their plea.
0.208; They run out, but Gary's mom is not done.
0.128; I'll run us a thousand copies, okay, Clara says softly.
0.303; In the distance, Gary's mother is fighting with a janitor.
0.391; Mother and wife, says the flyer.
0.192; Clara feels sick.
0.177; I know he's not dead, Gary's mother says.
0.259; If you were a mother, you'd know.
0.517; If you were a mother.
0.149; Zimler, is that right?
0.303; She's been dreading these words, fooling me and my wife in our grief.
0.259; Gary's mother is crying on the phone.
0.149; She can see right behind him, his bathroom.
0.111; Margaret's nail clippings and hair, they're good for your DNA too.
0.226; An old friend of Margaret's.
0.167; Bach's second violin concerto fills the apartment as if Margaret's playing.
0.112; Father and daughter, a tiny unit surrounded by wires and white sheets.
0.188; Stephen puts on some music, watching his child sleep.
0.054; Clara walks outside in the hallway.
0.21; I'm sorry, says the old man.
0.209; He thought you were our son, says his wife.
0.21; I'm sorry, says the old man.
0.189; Alexander and the old couple stand underneath.
0.189; The old couple take another and place them at the foot of the trailer.
0.202; Across town, Gary's father turns to his wife.
0.022; His turban blocks her view of the asphalt.
0.45161290322580644
