0.064; The colors don't match, and the cups are too big to serve wine.
0.187; Gary waves away her upset.
0.096; Clara looks at her face in the hallway mirror.
0.071; She's slowly getting white hairs in her eyebrows.
0.255; Gary's face looks up from the photo his parents have framed in expensive mahogany.
0.185; Married eight years, he still can't believe his good luck.
0.142; Oh, God, what is his daughter getting into again?
0.062; Margaret pauses by the mirror, then touches her neck.
0.125; She hates her age.
0.192; He looks much older than 50.
0.244; Clara stares at her husband, once the most handsome man in the room.
0.354; His face is liquor flushed as he bends over a four-month-old baby boy, son of friends, his friends, not hers.
0.679; The baby starts crying, and everyone laughs.
0.031; She knows this neck, has studied it each night for ten years.
0.384; The baby's father steps up.
0.13; Clara looks at Gary, confused, and he smiles past her, to the crowd.
0.265; Tommy, the baby's father, looks at Clara's face and takes a step back.
0.175; He puts his hand on her shoulder, but she wiggles away.
0.049; That I might have to drop out of college?
0.093; On the TV, the Middle East, India, wars, earthquakes, crashes.
0.159; And her voice for the first time is breaking.
0.488; So in love with this baby, spitting up goo on her lap.
0.178; And then, the moment they found out I was pregnant, Tommy's parents swept in and erased all our debt, all $10,000 in one check, so we could start fresh and not stress.
0.298; I love them.
0.154; That's great, Jeannie, Clara musters.
0.37; You want to have kids?
0.284; asks Jeannie, still pudgy from the birth, so full of life and good cheer.
0.183; All the way down Columbus, okay?
0.359; Whatever it is, tell your husband.
0.105; That's what gives people cancer.
0.103; I'm running a few minutes late.
0.484; Do you have children, princess?
0.324; She's never losing the baby weight that way, Clara thinks.
0.261; Clara looks at the baby who's drooling over his hands and walks out of the room.
0.433; Baby, be proud, he laughs.
0.124; Praising your private life to a lover, even a former lover, feels wrong.
0.324; Isn't that why you married?
0.104; She's shopped and cooked and served, and now dishes again.
0.112; For a moment, he looks like a boy, getting caught and standing up in defiance, almost charming, but he's 35.
0.087; My new apartment looks great, Maggie, he says.
0.062; She touches her neck.
0.123; Next to the Tupperware, she sees the envelope from American Express, Gary's business account.
0.111; He's losing her.
0.174; The ceiling in Sasha's room is caved in.
0.101; Margaret walks away from this mess and into the living room, pours herself a large glass of red wine.
0.433; I'm really proud of you, baby.
0.244; I'm not ready to throw away the last ten years of my life.
0.061; What's wrong with being upset?
0.061; Is there something wrong if I'm upset?
0.143; Do you want me to sign a statement or something?
0.149; She wants to go far away.
0.216; Next time you blink, Clara, you'll be throwing away the last 20 and then 25 years of your life.
0.149; I love you, Mama, says Clara.
0.127; When her father died, Gary sat next to her mother for days holding her hand.
0.101; Stephen comes home for lunch carrying a bunch of colorful foam tubes.
0.808; We'll have a family session.
0.174; The room is a wreck covered in tarps.
0.142; She finds herself getting angry.
0.249; You were running away.
0.037; Maybe you should use your talents for something more lucrative.
0.239; I made one mistake in my life, she hisses, and you won't let me forget.
0.178; He's already left the room as she yells.
0.223; You ask your parents for money if you want to go to New York.
0.174; They're making Sasha's bed on the pull-out couch, new sheets, a festive Indian bedspread.
0.289; Did I ever meet Alexander?
0.298; She'll love it.
0.376; Margaret looks at her husband of eight years.
0.098; Back at the house, Gary's upstairs, left the lights on, their bottles of wine, his and hers.
0.4; He sits up in bed, all defenses.
0.195; Like you said, I'll ask my parents.
0.139; Her voice takes Alexander by surprise.
0.287; She crawls back to their room in their bed, desperate to recapture his smell.
0.339; It's Jeannie and Tommy's baby, he says.
0.091; Maybe you know.
0.176; Who ended it?
0.339; How does a baby die?
0.808; Her family holds her.
0.233; Gary holds on to Tommy, leads the pack of bereaved friends to a bar.
0.222; In this alternate universe, her husband's a leader, getting things done.
0.096; She looks at him, but everyone's looking too, so she smiles.
0.243; He keeps hugging his friends, waving at grief like a column of smoke.
0.192; He looks so distraught.
0.154; We're not doing great.
0.181; We can work, he looks at her.
0.138; The crowd gathers round him.
0.2; He hasn't noticed a thing.
0.192; In the glare of the lights, he looks flabby, unkempt.
0.4; You take all your ex-lover's daughters to bed.
0.292; You can't stay in there forever, she yells.
0.292; I'll stay here.
0.216; She looks at this man she has loved for ten years.
0.331; You've burdened our life by $36,000.
0.171; She looks at Gary and he looks far away.
0.192; He looks smaller, a stranger.
0.192; She's shocked to see how scared her stepmother looks.
0.203; I want to stay until I know he's okay, whispers Sasha.
