0.185; You didn't get half the things on my list, she hisses at Gary as he passes.
0.196; No one seems to mind but her.
0.201; She can tell by the way he avoids her.
0.105; She feels completely alone.
0.284; People have to duck when they go in the kitchen.
0.127; We don't want a repeat of last year.
0.19; Margaret turns and wraps her arms around Stephen's stoop frame.
0.179; He has to hold the boy, and Clara's eyes melt.
0.145; So, is it time to open that scotch?
0.192; Of course Sash is right, and now his gesture of closure feels stupid.
0.254; What do you want for your birthday, he asks.
0.147; I want you to start telling the truth, says Sasha.
0.088; Not yet, Clara says stiffly.
0.1; Jeannie looks up, expecting more of an answer.
0.128; Tommy says it's an incredible opportunity for Gary, a chance to create his own site-specific piece downtown in New York.
0.088; We'll see, Clara says.
0.284; People pat her on the back.
0.526; You must be so proud of him, Clara.
0.156; She doesn't care anymore how much wine she'll serve, at least one bottle per person these days.
0.1; The cab driver's eyes keep checking her out.
0.21; Marga texts him instead.
0.1; The eyes of the cab driver are still there in the mirror.
0.143; She shakes her head no without thinking.
0.093; but it's too late to undo it.
0.243; Alexander and Margaret walk down Broadway.
0.324; Margaret feels beautiful.
0.101; I quit my Wall Street job three months ago.
0.142; An ex-banker who listens to people's pain for a hobby.
0.2; Sasha's been a bit of a handful.
0.149; When she says it, it feels lame.
0.094; She took a year off, did some great journalism in West Africa.
0.066; She knows it's Stephen, and she doesn't look.
0.114; I don't want to go back to New York, Clara says quietly.
0.152; Gary has a meeting with his advisors to discuss the internship.
0.108; Of course he's late, and now the dishes won't be done until this evening.
0.254; I'll bet you'll want to move in.
0.044; New York is very glad you're back, she says.
0.067; His eyes land on hers as she waits for his words.
0.099; We're working on a major piece on international corruption.
0.126; That's what this meeting is.
0.088; Have Sasha call me, he says.
0.221; Her eyes find his wallet right by the couch.
0.2; Every bit of bean.
0.2; Every bit of rice.
0.054; Across town, Gary sits at his art studio, drawing photo prints, moldy coffee cups.
0.063; He knows it's in him, the it, the something, the drive.
0.158; It's not my fault the building is old.
0.254; You want to get drunk?
0.1; Her stepdaughter looks at her with cold eyes.
0.184; Underneath the toilet seat, too.
0.132; The way her mom says that, it could be ultimate praise or ultimate scorn.
0.245; Ready for work?
0.2; Clara closes her eyes.
0.173; Can I get you guys water?
0.227; Sasha, if you're in trouble, you have to tell us.
0.227; You tell me.
0.106; Upset is one thing, she says.
0.127; I don't want to die.
0.204; Margaret steps back and exits the room.
0.141; She replaces sweetie with a number of exclamation marks.
0.2; Margaret rolls her eyes.
0.148; The ceiling leak in Sasha's room has spread.
0.142; Margaret sets up for Sasha to sleep in the living room.
0.116; Blood rushes to Margaret's head, and then she says it all in one breath.
0.241; I want to go back to work.
0.2; His eyes get strangely alarmed.
0.11; Margaret shakes her head.
0.099; To me, you look more striking than ever, he says.
0.089; Then he waits, and Margaret almost cries because she knows that he means it.
0.267; I am a staff writer, Gary.
0.185; They face off, bitterness nesting.
0.038; Maybe you'll find a Wall Street man to marry or cheat with.
0.095; Go ahead, Gary, she says.
0.124; I don't want you to go back to Wall Street, Maggie, says Stephen.
0.254; I want you to be brave.
0.111; Alexander Sikora, my old journalist friend, is back in New York.
0.071; I dated him once, she says without meeting his eye.
0.152; I really wish we'd had a child when we met, she says quietly.
0.412; I really wish we'd been brave.
0.118; The mailbox door creaks and the cool air feels good.
0.141; She stares at the number.
0.211; She feels she can't breathe.
0.11; She shakes her head no.
