0.193; If anything, the town looked better than ever.
0.153; Of course not.
0.082; Well, new hairdo, I see, huh?
0.172; He has to sign the quarterly statement.
0.087; He said he wouldn't be in.
0.205; Can't quite put my finger on it, but there's something strange going on.
0.153; Well, of course I did.
0.161; I don't remember dreaming.
0.102; That's when the quarterly statement... 15th?
0.041; Do you like my new hairdo?
0.183; And today is the 15th of June, and he won't be here to sign the quarterly statement, and I'm going nuts.
0.209; He knew that there was a complaint from Feinbeck and Sons about the Controchemicals' newest household robot circuit.
0.161; Do you remember?
0.161; Remember what?
0.161; Just remember.
0.161; Oh, you do remember.
0.195; Oh, before you sit down, will you go down in the cellar and put in a new fuse?
0.389; I shut it off.
0.069; Metal under the floor, behind the walls, every place.
0.11; Mary, I'm going to look around a little more.
0.087; Swanson, he said...
0.205; I wonder if it's going to be the same today, or whether...
0.318; Get off at the next corner and follow me.
0.205; Where are you going?
0.205; What's going on?
0.039; Look, Burkhart, peculiar things have been happening to you, right?
0.229; The date.
0.158; At the end of the tunnel.
0.186; Henry, why don't we tell the police?
0.225; Even the police may be Martians in disguise.
0.323; Don't worry.
0.195; I haven't the faintest idea.
0.161; Miss Horne has informed us that you remember.
0.196; You and everyone else in this town were killed by a premature atomic blast at the Contro chemical plant.
0.144; We stored them in electrochemical batteries till we had a chance to rebuild the cities and begin our tests.
0.161; You remember.
0.205; Keep going.
0.103; And yet, just at the limit of their vision, something towered.
0.65; The glare was partially blocked.
0.19298245614035087
