0.117; I don't know.
0.173; Good morning, Mr. Burkard.
0.117; I really don't know, Mr. Burkhardt.
0.196; Can't quite put my finger on it, but there's something strange going on.
0.117; I don't know.
0.173; Well, I guess I'll get a good night's sleep.
0.173; Well, good night, darling.
0.2; I seem to be having a lot of nightmares lately.
0.13; Look, don't shove so.
0.12; As in yesterday's dream, Guy Burkhart got off at his stop and took the elevator to the 98th floor.
0.219; Does your present cigarette make your throat feel raspy and unpleasant?
0.173; Good morning, Mr. Burkhardt.
0.173; Good morning, Miss Horne.
0.117; I know.
0.117; You know?
0.213; Never heard of Marlins before today.
0.4; He went to his desk and stared at the mail.
0.04; He knew that there was a complaint from Feinbeck and Sons about the Controchemicals' newest household robot circuit.
0.383; Would you buy me a pack of Kelvins?
0.117; I know how troubled you've been.
0.677; Fair.
0.15; I shut it off.
0.117; I don't know.
0.13; Look.
0.13; Look here.
0.118; There are a couple of things I've got to figure out.
0.076; It's outside the door, I guess.
0.196; I wonder if it's going to be the same today, or whether...
0.183; Guy Burkhart got on his bus.
0.286; It's quite all right.
0.196; Where are you going?
0.286; All right, now.
0.196; What's going on?
0.155; I've seen them.
0.366; The one they built under Tylertown.
0.286; Yes, that's right.
0.113; They walked for what seemed like two miles until Swanson held his finger to his lips.
0.183; We've got to be quiet now.
0.155; Oh, you haven't seen anything yet.
0.158; We'll be able to look through a glass in the door.
0.13; Now, Burkhardt, look through this glass.
0.173; Good Lord.
0.151; Open the door.
0.312; The direct elevator pitch pulled only 10%.
0.154; I haven't the faintest idea.
0.117; Do you know who's behind this?
0.091; At the end of the day, they evaluate the results, see how we've reacted.
0.087; And at midnight, They wash the day out of our minds, and the next morning we start the same day over again with different stimuli.
0.124; Look through the door.
0.183; We've got to hide.
0.143; All right, Burkhardt, come out.
0.091; We've got nothing to lose.
0.13; Look underneath his coat.
0.142; Sooner or later, somebody, the FBI or somebody, is going to get wind of this madness.
0.196; Keep going.
0.151; Now, now, this door is open.
0.13; Swanson, look!
0.25; They were standing on a ledge of smooth, finished metal.
0.314; And yet, just at the limit of their vision, something towered.
0.325; Something so huge it was almost inconceivable.
0.08; And then, Guy Burkhardt knew that the towering shape was none other than Dorchin himself.
0.11702127659574468
