0.142; He was a little relieved when his old pal, Henry Swanson, finally got on.
0.083; It wasn't until he was almost at his floor that he realized the speaker was not playing the usual commercials.
0.226; And once again, he was puzzled when he noticed none of the old crowd on the bus.
0.167; Never heard of Marlins before today.
0.075; All right, now listen, Henry.
0.075; All right, save it for me.
0.268; He dragged himself into the kitchen where his wife Mary was preparing breakfast and discovered it was still June 15th.
0.149; It's quite all right.
0.149; All right, now.
0.25; My wife, Mary, doesn't remember a thing.
0.149; Yes, that's right.
0.05; All right, it's worth the chance.
0.208; We can make a run for it down the tunnel.
0.14231499051233396
