0.154; He could still hear and feel that sharp metal ripping explosion, that searing wave of heat.
0.166; It makes a lot of difference in your appearance.
0.159; And the following morning, he woke up screaming.
0.152; You gave me such a shock.
0.139; I seem to be having a lot of nightmares lately.
0.171; For God's sake, don't talk.
0.171; I can't talk.
0.105; As in yesterday's dream, Guy Burkhart got off at his stop and took the elevator to the 98th floor.
0.125; He walked down the marble corridor to his office.
0.11; He knew that the development journal contained an article about a new method of transplanting selective brain circuits of human engineers onto the electric brain circuits of robot engineers to facilitate the operation of automatic factories.
0.172; Well, what is it you want?
0.143; You see, I do have your welfare at heart.
0.132; I, uh, I think you ought to go.
0.037; Something definitely peculiar about what was happening.
0.129; Well, I don't really understand.
0.115; Mary, I know this sounds crazy, but somebody, for reasons I can't even begin to guess, has taken this house and replaced it with a clever imitation.
0.127; There are a couple of things I've got to figure out.
0.159; The following morning, Guy Burkhardt woke up screaming.
0.172; I don't want to miss my bus.
0.157; Now I'm beginning to think they're Martians.
0.154; Start from the beginning, Henry.
0.168; A lot of your friends are missing.
0.136; This just doesn't make any sense to me.
0.162; What makes you think that?
0.183; Henry Swanson led Guy Burkhart to a small hole on the side of the excavation.
0.139; They walked for what seemed like two miles until Swanson held his finger to his lips.
0.14; We'll be able to look through a glass in the door.
0.438; No. I've been afraid to go in.
0.198; Well, if we knew what those robots were working on, we could go to the authorities.
0.102; Henry, do you know what this means?
0.113; This is crazy, but it fits the facts when I think about it.
0.037; And at midnight, They wash the day out of our minds, and the next morning we start the same day over again with different stimuli.
0.102; Do you know what that means, Henry?
0.132; How do you think we can?
0.109; Look through the door.
0.131; We know you're in this room.
0.188; But he may be armed.
0.279; They were standing on a ledge of smooth, finished metal.
0.129; Now do you understand why it's useless?
0.097; The great looming figure moved closer.
0.109; I took your brain circuits and had them reduced.
0.15353535353535355
