0.072; After a long while, he forced himself to open them.
0.167; These new products, the dreams.
0.049; I was looking for a fuse, and I thought maybe I'd drop one under the boathouse, so I scratched around.
0.151; Look at the floor.
0.25; What about the floor?
0.125; Metal under the floor, behind the walls, every place.
0.25; We were protected from the full force of the rays or whatever they used.
0.25; I found a copper layer under my cellar floor last night.
0.049; There might be a warning circuit somewhere.
0.138; The real Mr. Dorchin.
0.224; And this city, this whole experiment I'm conducting, is built on a tabletop.
0.07168372466385711
