0.111; Tonight, a story by Frederick Pohl. Tunnel Under the World.
0.333; Guy, what's wrong?
0.333; Anything wrong?
0.181; At exactly midnight, Guy Burkhardt lapsed into a sudden, deep sleep.
0.333; What's wrong?
0.221; Bad dream, I guess.
0.22; Oh, that's probably it.
0.296; Try one of these.
0.333; Something wrong, Mr. Burkard?
0.333; Wrong?
0.121; Would you mind, Mr. Burkhardt, if I told you that for months now I've wanted to, well, just comfort you?
0.333; There was something wrong.
0.181; The strange behavior of his secretary, Miss Horne.
0.122; It's outside the door, I guess.
0.14; Guy, what in the world are you talking about?
0.174; Nothing, never mind.
0.089; Make sure you aren't followed.
0.1; Your house seems changed.
0.216; And you and I are the only ones who know it.
0.175; Somehow, when it happened, they missed us.
0.122; I've seen them.
0.1; The one they built under Tylertown.
0.122; Oh, you haven't seen anything yet.
0.176; There might be a warning circuit somewhere.
0.324; I'll risk it if you will.
0.184; Open the door.
0.196; Indications are that an extension of this approach would influence at least 70% nationwide.
0.138; I don't know who they are or how they've done it, but somehow they've taken Tyler Town over.
0.155; Suppose one man learned how to influence people 100%.
0.148; It's worth a try.
0.333; What's wrong?
0.207; Of course, we didn't rebuild everything exactly.
0.184; Now, now, this door is open.
0.13; Beyond was only a glare so bright that their eyes could not stand to look into it.
0.154; Worker?
0.097; And this city, this whole experiment I'm conducting, is built on a tabletop.
0.11091234347048301
