phrase,word,start,end
1,When,15.235,15.395
1,I,15.455,15.495
1,get,15.515,15.656
1,the,15.676,15.756
1,baton,15.816,16.236
1,to,16.256,16.297
1,run,16.357,16.497
1,the,16.537,16.597
1,anchor,16.737,17.018
1,leg,17.058,17.358
1,of,17.418,17.478
1,the,17.518,17.598
1,distance,17.679,18.059
1,medley,18.139,18.46
1,"relay,",18.5,18.88
1,that's,18.9,19.081
1,a,19.141,19.161
1,race,19.241,19.461
1,you,19.501,19.601
1,run,19.641,19.842
1,on,19.922,19.962
1,a,19.982,20.002
1,track.,20.082,20.543
2,I'm,20.923,20.983
2,five,21.224,21.624
2,yards,21.905,22.345
2,behind,22.465,22.786
2,Vince,22.926,23.246
2,Mutarelli.,23.487,24.008
3,This,25.149,25.35
3,race,25.47,25.87
3,is,26.611,26.711
3,over.,26.972,27.312
4,You,27.453,27.553
4,could,27.593,27.733
4,have,27.773,27.893
4,a,27.953,27.973
4,hundred,28.013,28.534
4,yard,28.574,28.835
4,lead,29.075,29.155
4,on,29.375,29.475
4,Vince,29.556,29.776
4,Mutarelli.,29.796,30.557
5,And,30.577,30.637
5,over,30.697,30.797
5,the,30.857,30.918
5,course,30.978,31.198
5,of,31.238,31.278
5,a,31.298,31.318
5,"mile,",31.458,31.719
5,he,32.039,32.139
5,would,32.179,32.34
5,reel,32.46,32.72
5,you,32.76,32.9
5,"in,",33.041,33.141
5,he,33.461,33.541
5,would,33.581,33.762
5,pass,33.842,34.182
5,"you,",34.242,34.443
5,and,34.803,34.883
5,he,34.963,35.083
5,would,35.124,35.324
5,win.,35.464,35.724
6,He,36.285,36.445
6,is,36.566,36.646
6,the,36.766,36.886
6,best,37.026,37.387
6,high,37.928,38.128
6,school,38.168,38.508
6,middle,38.589,38.829
6,distance,38.869,39.209
6,runner,39.29,39.61
6,in,39.93,39.991
6,the,40.031,40.091
6,Northeast,40.151,40.571
6,United,40.631,40.972
6,States.,41.012,41.332
7,His,41.993,42.174
7,nickname,42.274,42.795
7,is,43.435,43.516
7,La,43.636,43.836
7,Machine.,43.856,44.517
8,Because,45.34,45.58
8,he,45.62,45.68
8,runs,45.741,45.901
8,like,45.941,46.041
8,a,46.081,46.121
8,cyborg,46.201,46.642
8,and,46.722,46.802
8,he,46.822,46.882
8,never,47.042,47.262
8,gets,47.363,47.543
8,tired.,47.583,48.124
9,"Everyone,",49.065,49.545
9,there's,49.585,49.766
9,about,49.806,49.966
9,300,49.986,50.206
9,people,50.466,50.687
9,that,50.747,50.887
9,stands,50.947,51.247
9,around,51.308,51.448
9,the,51.488,51.548
9,track,51.588,51.768
9,that,51.808,51.928
9,day.,51.968,52.149
10,Everyone,52.269,52.629
10,knows,52.689,53.01
10,that,53.05,53.991
10,he,54.031,55.513
10,has,55.573,55.713
10,no,55.753,55.993
10,chance,56.073,56.454
10,of,56.895,56.955
10,being,57.035,57.275
10,beaten.,57.395,57.635
11,Except,58.677,58.957
11,one,59.278,59.418
11,guy.,59.518,59.938
12,One,59.978,60.739
12,guy,60.779,60.94
12,thinks,60.98,61.18
12,maybe,61.4,61.881
12,he,61.901,61.941
12,can,63.082,63.343
12,be,63.363,63.483
12,beaten.,63.503,63.643
13,And,64.124,64.184
13,that's,64.224,64.424
13,the,64.464,64.584
13,guy,64.624,65.005
13,who,65.726,65.926
13,should,65.946,66.086
13,know,66.106,66.226
13,better.,66.266,66.507
14,It's,66.547,67.408
14,the,67.448,67.548
14,guy,67.588,67.748
14,with,67.768,67.888
14,the,67.908,67.968
14,baton,68.009,68.509
14,who's,69.13,69.33
14,five,69.45,69.651
14,yards,69.691,70.011
14,behind,70.472,70.812
14,him.,70.892,71.032
15,Why?,71.733,72.394
16,Why,73.623,74.126
16,did,74.186,74.347
16,I,74.388,74.428
16,think,74.468,74.71
16,that?,74.77,74.951
17,It's,75.032,75.152
17,weird,75.233,75.535
17,because,75.615,75.897
17,I'm,75.937,76.118
17,not,76.179,76.259
17,even,76.319,76.48
17,the,76.521,76.581
17,best,76.621,76.802
17,runner,76.883,77.165
17,on,77.185,77.507
17,my,77.567,77.708
17,high,77.808,77.889
17,school,77.909,78.171
17,team.,78.191,78.774
18,That's,78.794,78.935
18,a,78.996,79.036
18,guy,79.056,79.277
18,named,79.338,79.519
18,Tom,79.579,79.821
18,Novak.,79.861,80.545
19,But,81.132,81.372
19,he's,81.412,81.572
19,been,81.613,81.753
19,injured.,81.833,82.273
20,And,82.894,82.974
20,so,83.014,83.134
20,I've,83.254,83.394
20,known,83.434,83.655
20,for,83.695,83.815
20,about,83.855,84.055
20,a,84.115,84.155
20,month,84.275,84.556
20,that,84.796,84.936
20,I'll,85.036,85.196
20,be,85.216,85.316
20,running,85.376,85.657
20,this,85.717,85.877
20,anchor,85.997,86.257
20,leg,86.297,86.538
20,at,86.558,86.598
20,the,86.658,86.758
20,distance,86.798,87.058
20,of,87.178,87.359
20,the,87.379,87.439
20,medley,87.799,88.059
20,rear,88.099,88.34
20,leg.,88.36,88.92
21,It,88.94,89.02
21,has,89.08,89.22
21,changed,89.361,89.741
21,me.,89.781,90.021
22,You,90.121,90.202
22,"know,",90.222,90.342
22,normally,90.362,90.762
22,I'm,90.782,91.423
22,sort,91.463,91.623
22,of,91.663,91.703
22,a,91.723,91.743
22,lazy,91.903,92.344
22,athlete.,92.384,93.605
23,I,93.625,93.705
23,just,93.745,93.885
23,coast,93.965,94.246
23,along,94.346,94.626
23,on,94.706,94.766
23,my,94.806,94.947
23,genetic,95.067,95.667
23,package.,96.368,96.889
24,I'm,96.949,97.089
24,a,97.109,97.129
24,skinny,97.149,97.449
24,guy,97.469,97.669
24,with,97.709,97.83
24,big,97.93,98.13
24,lungs.,98.21,98.53
25,"So,",98.891,99.171
25,you,99.331,99.391
25,"know,",99.411,99.591
25,I,99.611,99.712
25,skip,99.832,100.132
25,workouts.,100.192,100.873
26,I,100.893,100.973
26,don't,101.073,101.313
26,run,101.373,101.573
26,on,101.634,101.694
26,the,101.734,101.794
26,weekend.,101.834,102.274
27,But,102.595,102.755
27,when,102.775,102.895
27,I,102.995,103.135
27,hear,103.195,103.415
27,that,103.455,103.576
27,I'm,103.616,103.736
27,running,103.796,104.056
27,against,104.216,104.597
27,Vince,104.617,104.777
27,"Minarelli,",104.897,105.438
27,it,105.698,105.798
27,turns,105.818,106.318
27,me,106.338,106.379
27,into,106.439,106.519
27,like,106.559,106.699
27,a,107.239,107.259
27,sports,107.279,107.98
27,movie,108.0,108.12
27,montage,108.22,109.282
27,guy.,109.642,109.722
28,I,109.702,110.403
28,am,110.423,110.543
28,running,110.784,111.164
28,all,111.405,111.525
28,the,111.585,111.645
28,"time,",111.765,112.246
28,every,112.426,112.626
28,day,112.666,112.807
28,of,112.827,112.867
28,the,112.887,112.947
28,"week,",113.007,113.187
28,and,113.247,113.327
28,I'm,113.367,113.488
