phrase,word,start,end
1,I,8.738,8.939
1,began,8.959,9.08
1,my,9.12,9.26
1,illustrious,9.361,10.064
1,career,10.165,10.607
1,as,10.707,10.788
1,a,10.808,10.828
1,hard-boiled,11.089,11.672
1,reporter,11.712,12.275
1,in,12.475,12.556
1,the,12.576,12.636
1,"Bronx,",12.717,13.179
1,where,13.44,13.621
1,I,13.741,13.862
1,toiled,13.902,14.605
1,for,14.666,14.806
1,the,14.847,14.927
1,Ram.,15.047,15.61
2,Fordham,16.332,17.153
2,University,17.233,17.894
2,student,18.094,18.534
2,newspaper.,18.554,19.295
3,And,19.636,19.696
3,one,19.796,19.896
3,day,19.936,20.076
3,I'm,20.096,20.316
3,walking,20.377,20.657
3,toward,20.757,20.957
3,the,20.997,21.057
3,campus,21.157,21.498
3,center,21.518,21.798
3,and,21.838,21.918
3,out,22.058,22.199
3,comes,22.219,22.419
3,the,22.439,22.559
3,elusive,22.619,23.18
3,Dean,23.2,24.201
3,"McGowan,",24.421,24.761
3,architect,25.482,25.903
3,of,25.943,26.003
3,a,26.063,26.123
3,policy,26.143,26.624
3,to,26.664,26.764
3,replace,26.824,27.224
3,"traditionally,",27.464,28.185
3,the,29.066,29.267
3,Fordhams,29.467,29.927
3,traditionally,30.408,30.888
3,"working,",30.968,31.789
3,the,31.809,31.869
3,middle,31.909,32.09
3,class,32.11,32.37
3,"students,",32.39,32.79
3,with,33.251,33.431
3,"wealthier,",33.691,34.272
3,more,34.733,34.833
3,prestigious,34.893,35.433
3,ones.,35.594,35.814
4,So,36.314,36.435
4,I,36.475,36.495
4,whip,36.595,36.775
4,out,36.875,36.975
4,my,37.015,37.175
4,notebook,37.255,37.576
4,and,37.636,37.716
4,I,37.756,37.776
4,march,37.796,38.317
4,right,38.357,38.517
4,up,38.557,38.637
4,to,38.657,38.737
4,him,38.797,38.937
4,and,38.957,39.017
4,I,39.078,39.138
4,"say,",39.178,39.538
5,Dean,40.025,40.205
5,"McGowan,",40.245,40.746
5,is,40.966,41.046
5,it,41.107,41.167
5,true,41.267,41.487
5,that,41.547,41.667
5,Fordham,41.808,42.168
5,plans,42.348,42.649
5,to,42.709,42.829
5,raise,42.909,43.149
5,tuition,43.189,43.59
5,substantially,43.61,44.291
5,above,44.331,44.531
5,the,44.571,44.712
5,inflation,44.732,45.132
5,"rate,",45.152,45.292
5,and,45.553,45.613
5,if,45.673,45.773
5,"so,",45.933,46.194
5,would,46.574,46.714
5,that,46.754,46.875
5,be,46.915,47.015
5,a,47.035,47.055
5,betrayal,47.115,47.656
5,of,47.696,47.736
5,its,47.816,47.916
5,mission?,48.016,48.357
6,And,49.619,49.679
6,he,49.699,49.839
6,looks,49.859,50.079
6,at,50.139,50.179
6,me,50.219,50.32
6,"like,",50.4,50.56
6,what,50.6,51.041
6,are,51.501,51.862
6,you,51.882,51.942
6,talking,52.082,52.382
6,"about,",52.422,52.683
6,punk?,54.165,54.265
7,And,54.285,54.365
7,then,54.405,54.505
7,right,54.606,54.786
7,then,54.826,54.966
7,out,55.026,55.146
7,of,55.166,55.226
7,the,55.407,55.467
7,corner,55.487,55.707
7,of,55.727,55.767
7,my,55.787,55.927
7,eye,56.128,56.228
7,comes,56.328,56.548
7,this,56.628,56.809
7,"blur,",57.389,57.91
7,which,58.331,58.491
7,becomes,58.571,58.992
7,the,59.152,59.252
7,figure,59.452,59.933
7,in,60.213,60.314
7,a,60.434,60.454
7,Lone,60.574,60.814
7,Ranger's,60.894,61.355
7,mask,61.415,61.816
7,standing,62.477,62.857
7,next,62.937,63.138
7,to,63.178,63.258
7,me,63.318,63.518
7,with,63.758,63.879
7,a,63.939,63.959
7,cream,63.999,64.239
7,"pie,",64.279,64.499
7,which,64.54,64.68
7,becomes,64.76,65.06
7,a,65.1,65.16
7,guy,65.281,66.302
8,with,66.451,66.671
8,a,66.732,66.752
8,green,66.792,67.052
8,pie,67.092,67.473
8,that,67.693,67.834
8,he's,67.874,68.074
8,mashing,68.254,68.775
8,into,68.816,69.216
8,Dean,69.296,69.537
8,McGowan's,69.557,70.078
8,"face,",70.158,70.479
8,and,72.042,72.122
8,then,72.162,72.282
8,runs,72.903,73.124
8,away.,73.204,73.465
9,Dean,75.308,75.589
9,is,76.21,76.31
9,covered,76.45,76.851
9,with,76.891,77.212
9,green.,77.332,77.633
10,So,78.474,78.574
10,I,78.634,78.655
10,give,78.695,78.815
10,him,78.855,78.935
10,a,78.995,79.015
10,"moment,",79.075,79.416
10,and,80.819,80.879
10,then,80.899,80.999
10,I,81.039,81.079
10,"say,",81.099,81.26
10,Dean,81.28,81.48
10,"McGowan,",81.58,81.941
10,would,81.981,82.101
10,you,82.181,82.241
10,care,82.261,82.482
10,to,82.522,82.562
10,comment,82.642,83.023
10,on,83.103,83.163
10,this,83.183,83.303
10,latest,83.364,83.644
10,attack?,83.764,84.105
11,And,85.081,85.221
11,he,85.241,85.321
11,"says,",85.361,85.542
11,"yes,",85.662,86.002
11,I,86.603,86.643
11,would,86.683,86.844
11,care,86.864,87.044
11,to,87.084,87.124
11,comment.,87.184,87.625
12,Screw,88.366,88.826
12,you.,89.347,89.587
13,And,90.569,90.629
13,now,90.669,90.769
13,I,90.809,90.889
13,race,91.03,91.29
13,back,91.35,91.51
13,to,91.55,91.65
13,the,91.69,91.751
13,newsroom,91.791,92.151
13,in,92.211,92.311
13,my,92.351,92.472
13,"scoop,",92.612,92.912
13,and,92.932,92.992
13,I,93.032,93.052
13,find,93.133,93.313
13,the,93.353,93.413
13,editor.,93.513,93.813
14,He's,94.254,94.374
14,a,94.414,94.434
14,guy,94.494,94.695
14,named,94.735,94.935
14,Jim,95.135,95.376
14,Dwyer.,95.596,96.017
15,He's,96.077,96.217
15,a,96.277,96.297
15,"senior,",96.377,96.718
15,and,96.758,96.818
15,he's,96.878,96.978
15,a,97.038,97.078
15,big,97.158,97.359
15,guy.,97.399,97.619
16,And,97.639,97.699
16,he's,97.739,97.859
16,going,97.899,98.02
16,to,98.04,98.08
16,go,98.14,98.28
16,on,98.38,98.48
16,to,98.52,98.6
16,win,98.62,98.721
16,a,98.761,98.821
16,Pulitzer,98.841,99.181
16,Prize.,99.201,99.482
17,So,99.762,99.862
17,I,99.902,99.962
17,tell,100.042,100.183
17,him,100.223,100.283
