phrase,word,start,end
1,This,0.824,24.771
1,is,24.851,24.911
1,the,24.971,25.071
1,story,25.091,25.351
1,of,25.411,25.451
1,my,25.471,25.632
1,first,25.672,25.872
1,landlord,25.952,26.432
1,and,26.753,26.833
1,my,26.873,26.973
1,first,27.013,27.193
1,apartment,27.273,27.634
1,in,27.674,27.714
1,New,27.754,27.834
1,York.,27.874,28.755
2,I,29.005,29.125
2,think,29.165,29.285
2,I'm,29.325,29.406
2,going,29.426,29.546
2,to,29.586,29.626
2,call,29.666,29.866
2,it,29.926,29.986
2,rent.,30.467,30.707
3,I,34.493,34.553
3,first,34.613,34.813
3,came,34.873,35.093
3,up,35.173,35.234
3,here,35.274,35.394
3,from,35.454,35.574
3,South,35.634,36.235
3,"Carolina,",36.275,36.836
3,or,38.138,38.398
3,North,38.438,38.959
3,"Carolina,",38.979,39.359
3,like,39.379,39.499
3,everybody,39.539,39.86
3,on,39.92,39.96
3,the,40.02,40.801
3,stage,40.841,41.082
3,"tonight,",41.122,41.402
3,back,42.223,42.363
3,in,42.403,42.443
3,the,42.484,42.544
3,early,42.584,42.804
3,80s.,42.824,43.144
4,And,43.745,43.845
4,I,43.885,43.946
4,was,43.966,44.066
4,living,44.106,44.306
4,on,44.346,44.386
4,people's,44.466,44.747
4,"floors,",44.807,45.187
4,and,45.227,45.287
4,I,45.307,45.327
4,was,45.347,45.428
4,trying,45.448,45.608
4,to,45.648,45.688
4,find,45.748,45.908
4,an,45.968,46.008
4,apartment.,46.068,46.529
5,And,47.51,47.591
5,I,47.631,47.671
5,don't,47.691,47.791
5,know,47.811,47.891
5,if,47.911,47.951
5,you,47.971,48.031
5,all,48.051,48.131
5,remember,48.151,48.472
5,what,48.532,48.632
5,it,48.672,48.712
5,was,48.752,48.832
5,like,48.892,49.053
5,to,49.093,49.133
5,get,49.173,49.253
5,an,49.313,49.353
5,apartment,49.413,49.834
5,in,49.914,49.974
5,1981.,49.994,50.314
6,Some,52.137,52.277
6,of,52.317,52.357
6,you,52.377,52.477
6,may,52.497,52.597
6,"not,",52.637,52.798
6,but,52.878,53.038
6,it,53.919,53.979
6,required,54.48,54.861
6,that,54.901,54.981
6,you,55.001,55.061
6,sort,55.101,55.221
6,of,55.261,55.301
6,commit,55.381,55.582
6,a,55.622,55.642
6,crime.,55.742,56.683
7,There,56.663,56.803
7,was,56.823,56.884
7,all,56.924,57.044
7,sorts,57.064,57.265
7,of,57.325,57.385
7,sort,57.425,57.586
7,of,57.626,57.666
7,subleases,58.087,58.809
7,and,58.889,58.97
7,various,59.01,59.311
7,shady,59.591,59.912
7,documents,59.952,60.514
7,that,60.574,60.674
7,had,60.715,60.795
7,to,60.835,60.875
7,be,60.935,61.035
7,mimeographed,61.276,61.978
7,in,61.998,62.078
