phrase,word,start,end
1,So,0.233,0.574
1,I,1.074,1.155
1,was,1.175,1.235
1,a,1.255,2.276
1,junior,2.577,3.138
1,in,3.298,3.378
1,college,3.479,3.999
1,when,4.881,5.021
1,I,5.061,5.121
1,got,5.181,5.342
1,my,5.422,5.562
1,first,5.722,6.163
1,paying,7.165,7.646
1,job,7.746,8.147
1,in,8.187,8.928
1,my,9.008,9.188
1,field,9.329,9.809
1,on,9.849,10.531
1,the,10.571,10.651
1,radio.,10.691,11.172
2,This,11.192,12.013
2,is,12.073,12.133
2,not,12.193,12.334
2,an,12.394,12.434
2,internship.,12.534,13.255
3,I'm,13.936,14.057
3,getting,14.097,14.377
3,a,14.457,14.477
3,check.,14.557,14.878
4,It,16.661,16.701
4,was,16.761,16.901
4,a,16.962,17.002
4,country,17.082,17.422
4,and,17.462,17.523
4,western,17.583,17.943
4,radio,17.983,18.344
4,station.,18.404,18.985
5,And,20.787,20.947
5,my,21.007,21.167
5,"job,",21.228,21.588
5,though,21.648,21.848
5,it,21.908,21.969
5,was,22.029,22.149
5,only,22.289,22.569
5,on,22.609,23.19
5,the,23.23,23.31
5,"weekends,",23.37,23.911
5,was,24.672,24.832
5,to,24.912,25.012
5,play,25.093,25.533
5,the,25.573,26.254
5,top,26.314,26.635
5,country,27.015,27.436
5,hits,27.496,27.816
5,of,28.477,28.557
5,the,28.597,28.737
5,week,28.797,29.058
5,each,29.979,30.139
5,Sunday.,30.259,30.68
6,It,31.541,31.601
6,actually,31.701,32.102
6,came,32.242,32.662
6,on,32.783,32.843
6,an,32.903,32.943
6,"album,",33.103,33.463
6,pre-recorded.,34.124,34.685
7,So,35.666,35.806
7,I,36.067,36.147
7,had,36.207,36.387
7,to,36.447,36.587
7,take,36.628,37.048
7,it,37.108,37.148
7,out,37.228,37.328
7,of,37.368,37.409
7,the,37.449,37.509
7,sleeve,37.589,38.15
7,and,39.972,40.052
7,put,40.172,40.312
7,it,40.372,40.412
7,on,40.493,40.553
7,the,40.593,40.653
7,turntable,40.713,41.254
7,just,41.334,41.534
7,"so,",41.594,41.814
7,and,42.816,42.876
7,put,42.936,43.076
7,the,43.116,43.216
7,needle,43.296,43.617
7,down,43.677,44.037
7,on,44.057,44.898
7,side,45.018,45.319
7,"one,",45.559,45.699
7,caring,46.38,46.781
7,not,46.801,47.782
7,to,47.802,47.882
7,scratch,47.922,48.223
7,it.,48.283,48.583
8,and,49.593,49.733
8,then,49.773,49.913
8,let,49.974,50.114
8,part,50.174,50.394
8,one,50.494,50.594
8,play.,50.654,50.955
9,My,52.337,52.437
9,moment,52.497,52.817
9,is,52.877,52.958
9,coming,53.058,53.398
9,now.,53.478,53.699
10,"Yes,",54.92,55.12
10,all,55.181,55.321
10,the,55.361,55.421
10,"training,",55.481,55.861
10,it's,55.901,56.022
10,coming,56.082,56.362
10,now.,56.422,56.642
11,When,57.003,57.183
11,side,57.283,57.624
11,one,57.784,57.904
11,would,57.944,58.124
11,"end,",58.265,58.505
11,I,58.525,58.545
11,had,58.585,59.346
11,to,59.406,59.546
11,lift,59.586,60.287
11,the,60.648,60.748
11,needle.,60.808,61.109
12,And,63.672,63.752
12,here's,63.792,63.992
12,my,64.052,64.153
12,moment.,64.193,64.533
13,I,65.995,66.095
13,get,66.115,66.255
13,to,66.295,66.376
13,read,66.456,66.696
13,the,66.736,66.816
13,weather,66.876,67.157
13,live,67.217,67.657
13,for,67.938,68.058
13,Jefferson,68.118,68.659
13,"City,",68.699,68.979
13,Missouri.,68.999,69.66
14,Then,75.142,75.342
14,I,75.402,75.463
14,played,75.503,75.723
14,"commercials,",75.783,76.304
14,and,76.424,76.505
14,while,76.585,77.086
14,the,77.146,77.246
14,commercials,77.306,77.847
14,were,77.907,78.048
14,"playing,",78.088,78.368
14,I,78.428,78.488
14,had,78.589,78.749
14,to,78.809,78.949
14,flip,78.989,79.791
14,the,80.071,80.172
14,"album,",80.352,80.733
