phrase,word,start,end
1,"Okay,",0.031,0.372
1,so,0.392,0.492
1,getting,0.512,0.672
1,back,0.712,0.832
1,to,0.852,0.912
1,our,0.973,1.033
1,story,1.073,1.453
1,about,1.674,1.994
1,Lucy.,2.856,3.216
2,This,3.417,3.517
2,is,3.577,3.617
2,a,3.677,3.697
2,story,3.737,3.977
2,that,4.038,4.158
2,begins,4.819,5.079
2,in,5.139,5.179
2,"1964,",5.199,5.7
2,and,6.341,6.401
2,it's,6.421,6.502
2,one,6.602,6.682
2,that,6.702,6.802
2,Charles,6.862,7.083
2,would,7.103,7.223
2,have,7.243,7.323
2,never,7.423,7.664
2,heard,7.744,7.884
2,about,7.924,8.124
2,had,8.144,8.204
2,he,8.265,8.445
2,not,8.485,8.645
2,bumped,8.785,9.046
2,into,9.126,9.326
2,this,9.366,9.507
2,obscure,9.827,10.508
2,old,10.548,11.65
2,memoir.,12.231,12.672
3,Long,12.752,13.052
3,out,13.112,13.213
3,of,13.233,13.293
3,print.,13.333,13.653
4,"Yeah,",13.673,13.794
4,what's,13.814,13.934
4,the,13.954,14.014
4,name,14.034,14.114
4,of,14.134,14.174
4,the,14.194,14.254
4,book?,14.274,14.375
5,Do,14.395,14.435
5,you,14.455,14.535
5,actually,14.575,14.755
5,have,14.775,14.855
5,it,14.875,14.915
5,with,14.935,15.036
5,you?,15.076,15.156
6,"Yeah,",15.176,15.597
6,hold,15.617,15.737
6,on.,15.837,15.897
7,It's,21.209,21.691
7,called,21.872,22.454
7,Lucy,22.916,23.338
7,Growing,23.418,23.8
7,Up,23.9,24.0
7,"Human,",24.402,24.703
7,A,25.286,25.306
7,Chimpanzee,25.366,26.008
7,Daughter,26.049,26.37
7,in,26.49,26.571
7,a,26.611,26.651
7,Psychotherapist's,26.731,27.836
7,Family,27.976,28.418
7,by,28.539,28.679
7,Maurice,28.76,29.221
7,K.,29.282,29.563
7,Tamerlan.,29.583,30.105
8,Maurice,30.17,30.491
8,K.,30.531,30.711
8,"Temerlin,",30.731,31.152
8,he,31.172,31.352
8,is,31.512,31.593
8,the,31.633,31.713
8,psychotherapist.,31.733,32.394
9,He's,32.414,32.494
9,a,32.534,32.574
9,psychotherapist.,32.594,33.596
10,And,33.897,33.957
10,he's,33.997,34.097
10,also,34.137,34.338
10,the,34.378,34.458
10,dad,34.538,34.939
10,in,34.979,35.179
10,this,35.239,35.379
10,story.,35.44,35.78
11,And,35.94,36.001
11,his,36.021,36.121
11,"wife,",36.161,36.361
11,"Jane,",36.401,36.682
11,who's,36.962,37.062
11,a,37.143,37.163
11,social,37.203,37.483
11,"worker,",37.543,37.804
11,she's,37.824,38.044
11,the,38.084,38.164
11,mom.,38.205,38.465
12,"Now,",38.625,38.746
12,the,38.766,38.826
12,thing,38.866,39.026
12,to,39.066,39.146
12,know,39.226,39.467
12,was,39.487,39.547
12,"that,",40.188,40.469
12,especially,40.749,41.09
12,for,41.13,41.25
12,Maurice,41.31,41.591
12,"Temerlin,",41.631,42.011
12,this,42.052,42.172
12,was,42.232,42.372
12,more,42.492,42.733
12,than,42.793,42.913
12,just,42.993,43.234
12,adopting,43.274,43.795
12,a,43.835,43.855
12,baby,43.895,44.115
12,chimp.,44.155,44.376
13,This,44.957,45.097
13,was,45.157,45.277
13,an,45.317,45.358
13,experiment.,45.418,45.939
14,He,46.64,46.72
14,wanted,46.78,47.0
14,to,47.041,47.101
14,"know,",47.161,47.361
14,given,47.381,47.962
14,the,48.002,48.062
14,right,48.082,48.263
14,"upbringing,",48.323,48.744
14,how,49.245,49.425
14,human,49.465,50.106
14,could,50.567,50.747
14,Lucy,50.827,51.148
14,become?,51.188,51.629
15,You,51.729,51.809
15,"know,",51.829,52.09
15,what,52.51,52.791
15,he,52.811,52.871
15,says,52.911,53.051
15,early,53.092,53.252
15,on,53.312,53.412
15,in,53.452,53.492
15,this,53.532,53.632
15,book...,53.673,53.933
16,Would,55.685,55.926
16,she,55.986,56.106
16,learn,56.186,56.487
16,to,56.567,56.648
16,love,56.728,56.928
16,us,57.009,57.109
16,and,57.149,57.871
16,perhaps,57.911,58.272
16,have,58.312,58.693
16,other,58.713,59.014
16,human,59.155,59.395
16,emotions,59.435,59.816
16,as,59.897,59.957
16,well?,59.997,60.238
17,Would,60.779,60.919
17,she,60.96,61.06
17,be,61.1,61.22
17,"well-behaved,",61.3,62.163
17,rebellious?,62.684,63.206
18,What,64.088,64.59
18,about,64.63,64.81
18,sex?,64.89,65.492
19,Maurice,67.092,67.412
19,Temerlin,67.472,67.793
19,actually,67.833,68.093
19,died,68.133,68.353
19,in,68.413,68.453
19,"1989,",68.473,68.774
19,but,69.214,69.294
19,these,69.314,69.434
19,are,69.494,69.594
19,his,69.654,69.755
19,"words,",69.835,70.215
19,read,70.555,70.715
19,by,70.796,70.936
19,radio,70.976,71.436
19,host,71.476,71.676
19,David,71.696,71.937
19,Garland.,71.957,72.297
20,Would,72.417,72.577
20,she,72.617,72.737
20,mother,72.818,73.038
20,her,73.078,73.218
20,offspring?,73.318,73.798
21,Could,74.399,74.539
21,she,74.559,74.639
21,learn,74.699,74.879
21,to,74.92,75.02
21,talk?,75.14,75.44
22,How,75.56,75.7
22,intelligent,75.78,76.261
22,might,76.321,76.501
22,she,76.561,76.701
22,be?,76.801,77.022
23,And,77.062,77.602
23,so,77.622,77.722
23,how,77.762,77.842
23,did,77.882,77.962
23,they,78.002,78.083
23,get,78.143,78.303
23,her?,78.323,78.463
24,He,78.803,78.943
24,says,79.084,79.324
24,that,79.424,79.564
24,he,80.205,80.305
24,and,80.345,80.405
24,his,80.445,80.525
24,"wife,",80.605,80.845
24,"Jane,",80.925,81.186
24,made,81.226,81.366
24,all,81.426,81.526
24,the,81.566,81.646
24,arrangements.,81.706,82.267
25,Went,82.287,82.427
25,and,82.547,82.627
25,got,82.707,82.927
25,the,83.007,83.087
25,chimp,83.127,83.388
25,from,83.448,83.588
25,the,83.628,83.688
25,day,83.728,83.848
25,the,83.908,83.988
25,infant,84.068,84.369
25,was,84.409,84.509
25,born.,84.569,84.869
26,The,84.989,85.069
26,mother,85.109,85.35
26,was,85.39,85.61
26,anesthetized.,85.91,86.771
27,In,86.811,87.331
27,the,87.351,87.432
27,early,87.512,87.732
27,morning,87.792,88.092
27,of,88.132,88.172
27,her,88.232,88.312
27,second,88.372,88.673
27,"day,",88.713,88.913
27,Jane,89.333,89.574
27,fed,89.634,89.774
27,the,89.794,89.874
27,mother,89.914,90.114
27,a,90.154,90.234
27,Coca-Cola,90.294,91.035
27,which,91.075,91.195
27,had,91.235,91.315
27,been,91.355,91.495
27,spiked,91.535,91.856
27,with,91.916,92.036
27,fencyclidine.,92.116,93.117
28,a,93.097,93.498
28,drug,93.558,93.838
28,which,93.898,94.058
28,puts,94.158,94.339
28,chimpanzees,94.419,95.3
28,into,95.32,95.6
28,a,95.62,95.64
28,"deep,",95.82,96.141
28,pleasant,96.702,97.142
28,sleep.,97.703,98.043
29,And,102.809,102.949
29,the,102.989,103.45
29,baby,103.49,103.79
29,was,103.83,104.491
29,taken,104.792,105.052
29,away.,105.112,105.372
30,Jane,105.473,105.693
30,named,105.753,105.933
30,her,105.973,106.053
30,Lucy,106.093,106.434
30,and,106.834,106.914
30,brought,106.934,107.135
30,her,107.175,107.235
30,home,107.275,107.495
30,on,107.575,107.615
30,a,107.675,107.695
30,commercial,107.755,108.156
30,"airline,",108.256,108.657
30,carried,109.017,109.297
30,in,109.337,109.397
30,a,109.458,109.478
30,"bassinet,",109.538,110.138
30,her,110.439,110.539
30,face,110.599,110.819
30,covered,110.899,111.16
30,with,111.18,111.28
30,a,111.34,111.36
30,lacy,111.4,111.72
30,blanket.,111.76,112.682
31,We,112.702,112.782
31,were,112.822,112.942
31,blissfully,112.982,113.443
31,unaware,113.523,114.003
31,of,114.023,114.063
31,the,114.764,114.844
31,complexities,114.884,115.505
31,we,115.565,115.645
31,were,115.685,115.806
31,creating,115.846,116.246
31,on,116.326,116.386
31,the,116.426,116.486
31,day,116.526,116.727
31,Lucy,116.767,117.127
31,came,117.167,117.388
31,home.,117.448,117.788
32,So,119.928,120.128
32,the,120.169,120.229
32,baby,120.269,120.449
32,was,120.509,120.61
32,a,120.69,120.71
32,day,120.77,120.89
32,or,120.95,121.01
32,two,121.051,121.211
32,old?,121.311,121.471
33,Just,121.592,121.752
33,two,121.792,121.912
33,days,121.953,122.133
33,old.,122.153,122.353
34,So,122.514,122.574
34,it,122.594,122.634
34,wasn't,122.674,122.895
34,weaned?,122.955,123.576
35,No.,123.596,123.797
36,And,124.057,124.117
36,that,124.158,124.318
36,was,124.338,124.438
36,part,124.498,124.659
36,of,124.679,124.719
36,the,124.739,124.799
36,experiment.,124.819,125.22
37,They,125.24,125.32
37,bottle,125.36,125.621
37,feed,125.661,125.841
37,her?,125.861,125.982
38,Yeah.,126.262,126.563
39,She,126.583,126.683
39,quickly,126.723,127.044
39,learned,127.084,127.325
39,to,127.365,127.425
39,hold,127.465,127.666
39,her,127.686,127.826
39,own,127.906,128.006
39,bottle.,128.086,128.407
40,At,128.868,128.948
40,two,128.989,129.129
40,"months,",129.189,129.51
40,her,129.61,129.73
40,eyes,129.891,130.011
40,would,130.071,130.211
40,focus.,130.271,130.632
41,At,130.973,131.053
41,three,131.113,131.314
41,"months,",131.374,131.634
41,she,131.875,131.955
41,was,131.995,132.096
41,trying,132.136,132.336
41,to,132.376,132.416
41,climb,132.476,132.737
41,out,132.797,132.897
41,of,132.937,132.978
41,her,133.038,133.118
41,crib,133.198,133.419
41,to,133.459,133.519
41,go,133.579,133.699
41,to,133.739,133.799
41,people.,133.86,134.18
42,And,135.122,135.203
42,at,135.243,135.303
42,six,135.383,135.583
42,"months,",135.664,135.924
42,she,135.984,136.345
42,was,136.385,136.485
42,pretty,136.506,136.766
42,mobile,136.806,137.147
42,on,137.307,137.367
42,all,137.428,137.548
42,four,137.628,137.869
42,limbs.,137.909,138.51
43,Memoir,139.317,139.778
43,goes,139.798,139.938
43,on.,140.018,140.138
44,By,140.879,141.18
44,the,141.22,141.3
44,time,141.34,141.52
44,she,141.581,141.661
44,was,141.701,141.801
44,about,141.841,142.302
44,a,142.362,142.382
44,year,142.442,142.622
44,old...,142.702,143.083
44,She,143.103,143.203
44,was,143.243,143.363
44,eating,143.423,143.604
44,at,143.644,143.704
44,the,143.724,143.804
44,table,143.864,144.125
44,with,144.165,144.285
44,us.,144.365,144.826
45,"Forks,",144.846,145.226
45,"spoons,",145.246,145.607
45,knives.,145.687,146.108
46,She,146.148,146.228
46,would,146.268,146.408
46,see,146.448,146.568
46,us,146.669,146.769
46,using,146.909,147.149
46,silverware,147.209,147.75
46,and,147.89,147.971
46,immediately,148.011,148.471
46,do,148.511,148.652
46,so,148.692,148.832
46,herself.,148.892,149.233
47,She,149.373,149.433
47,began,149.453,149.633
47,to,149.653,149.713
47,dress,149.753,149.974
47,herself,150.014,150.314
47,in,150.394,150.454
47,skirts.,150.555,150.875
48,She,150.975,151.055
48,would,151.075,151.196
48,often,151.236,151.456
48,grab,151.496,151.736
48,my,151.817,151.957
48,"hand,",152.037,152.438
48,pull,152.798,152.998
48,me,153.018,153.099
48,to,153.139,153.219
48,my,153.279,153.399
48,"feet,",153.459,153.7
48,and,153.76,153.82
48,beg,153.9,154.1
48,me,154.12,154.2
48,to,154.24,154.3
48,chase,154.381,154.661
48,"her,",154.701,154.801
48,always,155.162,155.382
48,looking,155.422,155.663
48,back,155.723,155.943
48,to,156.003,156.083
48,see,156.123,156.223
48,that,156.264,156.384
48,Daddy,156.444,156.744
48,was,156.804,156.905
48,not,156.965,157.105
48,too,157.165,157.285
48,far,157.345,157.546
48,behind.,157.606,159.148
49,You,160.546,160.726
49,"know,",160.746,160.907
49,he,160.927,161.067
49,really,161.167,161.528
49,went,161.828,162.029
49,at,162.109,162.229
49,this,162.269,162.469
49,with,162.549,162.69
49,this,162.75,162.89
49,sort,162.99,163.15
49,of,163.211,163.251
49,full-bore,163.451,164.433
49,earnestness.,164.693,165.214
50,You,165.354,165.434
50,"know,",165.454,165.595
50,when,165.615,165.715
50,he,165.755,165.855
50,calls,165.915,166.156
50,her,166.216,166.316
50,his,166.376,166.516
50,darling,166.636,167.177
50,daughter.,167.538,167.939
51,I,168.139,168.159
51,took,168.219,168.379
51,great,168.439,168.62
51,pride,168.68,169.02
51,in,169.081,169.141
51,my,169.201,169.301
51,daughter's,169.361,169.722
51,achievement.,169.782,170.323
52,He,170.523,170.663
52,does,170.924,171.244
52,feel,171.284,172.146
52,like,172.386,172.526
52,a,172.567,172.627
52,real,172.687,172.867
52,parent,172.947,173.288
52,to,173.348,173.428
52,Lucy.,173.508,173.889
53,She,174.089,174.169
53,was,174.229,174.33
53,so,174.37,174.49
53,responsive,174.55,175.151
53,to,175.191,175.251
53,being,175.311,175.532
53,looked,175.572,175.832
53,"at,",175.972,176.052
53,"held,",176.153,176.573
53,and,176.633,176.714
53,stroked.,176.814,177.174
54,But,177.214,177.315
54,he's,177.355,177.535
54,"also,",177.655,177.956
54,make,177.996,178.316
54,no,178.356,178.457
54,"mistake,",178.517,178.957
54,treating,179.198,179.538
54,this,179.578,179.739
54,as,179.919,179.999
54,a,180.019,180.039
54,very,180.28,180.62
54,"intense,",180.781,181.362
54,cutting-edge,181.382,181.862
54,experiment.,182.183,182.824
55,The,183.327,183.467
55,next,183.508,183.668
55,phase,183.708,183.889
55,of,183.929,183.969
55,the,183.989,184.049
55,"experiment,",184.069,184.551
55,which,185.033,185.173
55,occupies,185.193,185.594
55,a,185.635,185.675
55,good,185.695,185.815
55,deal,185.835,185.956
55,of,185.996,186.036
55,the,186.056,186.116
55,"book,",186.156,186.377
55,involves,186.959,187.3
55,one,187.32,187.461
55,of,187.501,187.541
55,those,187.581,187.802
55,talents,187.842,188.905
55,that,189.006,189.126
55,we,189.146,189.226
55,thought,189.267,189.487
55,used,189.828,189.949
55,to,189.969,190.049
55,only,190.31,190.45
55,be,190.511,190.591
55,limited,190.631,190.932
55,to,190.952,191.012
55,us.,191.213,191.835
56,Language.,192.777,193.258
57,Okay.,193.718,194.219
58,Can,194.64,194.74
58,you,194.76,194.84
58,introduce,194.88,195.16
58,"yourself,",195.18,195.461
58,please?,195.481,195.721
59,Okay.,195.841,196.122
60,My,196.562,196.662
60,name,196.682,196.823
60,is,196.843,196.923
60,Roger,197.023,197.303
60,Fouts.,197.363,198.205
61,I'm,198.225,198.305
61,a,198.345,198.405
