phrase,word,start,end
1,okay,7.692,19.103
1,um,29.393,29.673
1,so,31.034,31.575
1,the,31.635,31.835
1,thing,31.875,32.115
1,starts,32.155,32.536
1,with,32.656,32.836
1,like,32.916,33.136
1,this,33.677,33.837
1,kind,33.957,34.117
1,of,34.137,34.197
1,beachy,34.337,34.858
1,scene,35.018,35.418
1,almost,35.458,35.799
1,with,35.839,35.919
1,sand,35.999,36.379
1,and,36.439,36.499
1,then,36.519,36.699
1,you,36.74,36.86
1,see,36.92,37.26
2,This,37.679,37.859
2,"kid,",37.939,38.2
2,"Merlin,",38.26,38.7
2,will,38.74,38.88
2,start,38.94,39.121
2,walking,39.141,39.441
2,"up,",39.661,40.222
2,and,40.242,40.302
2,it,40.362,40.442
2,flashes,40.522,40.903
2,through,40.943,41.083
2,a,41.143,41.163
2,bunch,41.183,41.383
2,"of,",41.403,41.463
2,"like,",41.483,41.663
2,scenes,41.683,41.904
2,of,41.924,41.964
2,him,41.984,42.044
2,just,42.084,42.164
2,"traveling,",42.224,42.805
2,"like,",42.825,43.606
2,in,43.626,43.686
2,fairly,43.726,44.086
2,rural,44.106,44.346
2,"areas,",44.467,44.867
2,and,44.927,45.007
2,the,45.167,45.227
2,music's,45.247,45.408
2,upbeat,45.548,45.888
2,and,45.908,45.988
2,happy.,46.048,46.489
3,And,47.37,47.45
3,"then,",47.57,47.95
3,"um,",47.97,48.131
3,"like,",48.611,48.771
3,the,48.791,48.891
3,title,48.952,49.352
3,"scene,",49.452,49.792
3,the,49.873,50.013
3,credits,50.113,50.754
3,roll,50.774,51.074
3,with,51.554,51.695
3,the,51.735,51.795
3,"music,",51.855,52.295
3,and,52.355,52.455
3,you,52.616,52.676
3,"see,",52.696,52.856
3,"like,",52.876,52.996
3,a,53.016,53.036
3,bunch,53.096,53.256
3,"of,",53.316,53.376
3,"like,",53.396,53.497
3,medieval,53.857,54.318
3,imagery,54.458,54.918
3,and,54.998,55.078
3,fire,55.599,55.979
3,and,56.079,56.16
3,stuff.,56.22,56.56
4,"Um,",57.681,57.861
4,so,59.483,59.583
4,then,59.623,59.744
4,after,59.804,60.004
4,"that,",60.064,60.304
4,"um,",60.604,60.705
4,this,60.805,60.945
4,kid,60.985,61.245
4,just,61.265,61.345
4,keeps,61.365,61.546
4,walking.,61.586,61.926
5,He's,61.986,62.106
5,now,62.146,62.527
5,in,62.587,62.647
5,a,62.687,62.707
5,town,62.807,63.187
5,"with,",63.227,63.328
5,"like,",63.348,63.448
5,lots,63.488,63.708
5,of,63.748,63.788
5,people.,63.868,64.289
6,"Um,",65.089,65.19
6,it's,65.31,65.41
6,very,65.47,65.71
6,"obviously,",65.87,66.291
6,"like,",66.311,66.471
7,medieval,66.89,67.331
7,"times,",67.391,67.831
7,"uh,",68.192,68.252
7,he's,68.272,68.372
7,"got,",68.412,68.532
7,"like,",68.552,68.672
7,this,68.692,68.792
7,backpack,68.852,69.393
7,and,69.453,69.553
7,"stuff,",69.593,69.874
7,and,70.274,70.374
7,he's,70.414,70.675
7,traveled,70.755,71.195
7,a,71.255,71.335
7,long,71.375,71.616
7,"way,",71.776,72.577
7,"um,",72.597,72.737
7,we,72.757,72.877
7,understand.,72.897,73.418
8,"So,",73.999,74.279
8,"um,",74.499,74.639
8,everyone's,74.98,75.32
8,"congregated,",75.38,76.061
8,and,76.161,76.221
8,he,76.321,76.482
8,joins,76.602,76.942
8,this,77.002,77.122
8,crowd,77.162,77.403
8,of,77.423,77.483
8,"people,",77.543,77.843
8,and,78.744,78.885
8,we,80.026,80.206
8,see,80.266,80.446
8,this,80.507,80.667
8,other,80.687,80.947
8,man,81.007,81.207
8,being,81.247,81.448
8,led,81.508,81.708
8,up,81.828,81.908
8,"to,",82.068,82.409
8,"like,",82.909,83.23
8,this,83.25,83.33
8,little,83.35,83.59
8,stump,83.75,84.031
8,thing,84.051,84.231
8,by,84.271,84.411
8,two,84.451,84.611
8,"guards,",84.672,85.032
8,and,85.673,85.813
8,we,85.853,86.013
8,understand,86.033,86.294
8,that,86.314,86.434
8,he's,86.454,86.534
8,about,86.554,86.694
8,to,86.754,86.794
8,be,86.814,86.854
8,"executed,",86.874,87.375
8,and,87.475,87.535
8,"then,",87.575,87.775
8,"um,",88.556,90.058
8,the,90.078,90.178
8,king,90.238,90.499
8,"of,",91.3,91.42
8,I,91.92,91.94
8,"don't,",91.96,92.341
8,"yeah,",92.361,92.461
8,I,92.481,92.501
8,guess,92.521,92.741
8,just,92.761,92.882
8,the,92.922,93.002
8,"king,",93.042,93.302
9,He,93.653,93.793
9,starts,93.833,94.033
9,talking.,94.094,94.474
10,He,94.514,94.594
10,says,94.654,94.894
10,that,94.955,95.095
10,this,95.135,95.275
10,man,95.355,95.515
10,is,95.575,95.635
10,going,95.675,95.796
10,to,95.816,95.876
10,be,95.896,95.996
10,killed,96.036,96.256
10,because,96.316,96.556
10,he,96.576,96.617
10,practiced,96.857,97.217
10,magic,97.277,97.638
10,and,98.379,98.519
10,that,98.659,98.899
10,he's,99.18,99.48
10,going,99.52,99.66
10,to,99.68,99.72
10,serve,99.76,100.001
10,as,100.021,100.121
10,an,100.461,100.521
10,example,100.581,100.982
10,to,101.302,101.442
10,not,101.482,101.683
10,do,101.763,101.903
10,that.,101.943,102.123
11,So,102.704,102.824
11,then,102.864,103.144
11,the,104.646,104.746
11,man,104.786,104.946
11,is,105.027,105.107
11,killed.,105.187,105.547
12,Everyone,105.667,106.048
12,looks,106.188,106.388
12,really,106.468,106.689
12,horrified.,106.749,107.129
13,This,107.429,107.55
13,whole,107.57,107.73
13,time,107.75,107.89
13,there's,107.93,108.13
13,this,108.15,108.23
13,girl,108.471,108.751
13,in,108.831,108.891
13,the,108.931,108.991
13,window,109.131,109.592
13,that,110.173,110.393
13,I,110.954,110.994
13,guess,111.054,111.314
13,we're,111.634,111.895
13,supposed,111.975,112.536
13,to,112.556,112.616
13,think,112.636,112.756
13,is,112.796,112.876
13,important,112.916,113.777
13,because,113.797,114.097
13,she,114.137,114.198
13,keeps,114.218,114.378
13,being,114.438,114.598
13,shown.,114.658,114.938
14,After,116.14,117.321
14,the,117.381,117.942
14,man,118.122,118.282
14,is,118.362,118.443
14,"killed,",118.503,120.505
15,the,120.62,120.76
15,king,120.8,121.04
15,"says,",121.08,121.401
15,"like,",121.441,121.641
15,let,121.721,121.841
15,the,121.881,121.961
15,festivities,122.021,122.522
15,"begin,",122.582,122.922
15,and,122.962,123.022
15,I,123.082,123.102
15,guess,123.142,123.302
15,they're,123.322,123.462
15,"celebrating,",123.482,124.023
15,"like,",124.704,124.864
15,not,125.444,125.644
15,using,125.824,126.085
15,magic,126.185,126.525
15,in,126.565,126.605
15,the,126.665,126.745
15,kingdom.,126.785,127.126
16,"Um,",127.766,127.926
16,"the,",129.568,129.768
16,"uh,",130.589,130.669
16,before,130.689,130.949
16,the,130.969,131.049
16,crowd,131.109,131.349
16,fully,131.369,131.589
16,"disperses,",131.629,132.23
16,this,132.31,132.49
16,woman,132.75,133.051
