phrase,word,start,end
1,Thank,3.17,9.368
1,you.,18.213,18.293
2,So,25.732,25.933
2,I'm,25.953,26.534
2,"5,000",26.554,27.697
2,feet,27.737,27.918
2,above,28.178,28.399
2,Albany,28.78,29.061
2,on,29.221,29.301
2,just,29.321,29.442
2,a,29.482,29.502
2,perfect,29.542,29.823
2,"day,",29.863,30.003
2,beautiful,30.063,30.364
2,blue,30.424,30.625
2,"sky,",30.665,30.946
2,not,30.986,31.146
2,a,31.186,31.206
2,cloud,31.226,31.427
2,in,31.487,31.527
2,the,31.547,31.607
2,sky.,31.627,31.908
3,I,31.948,31.968
3,can,32.008,32.149
3,see,32.189,32.369
3,the,32.73,32.831
3,horizon,32.871,33.332
3,in,33.352,33.392
3,every,33.633,33.793
3,direction.,33.833,34.254
4,When,34.996,35.177
4,the,35.257,35.478
4,girl,35.758,35.979
4,that,36.019,36.119
4,just,36.159,36.28
4,pushed,36.32,36.5
4,me,36.54,36.621
4,out,36.681,36.761
4,of,36.781,36.821
4,the,36.861,36.921
4,airplane,36.941,37.543
4,"screams,",37.623,38.024
4,"wait,",38.124,38.345
4,"wait,",38.445,38.686
4,you're,38.766,38.947
4,shoot.,39.027,39.488
5,It's...,45.408,48.473
5,And,48.974,49.716
5,she's,49.736,49.876
5,gone,49.916,50.136
5,with,50.197,50.297
5,the,50.317,50.397
5,plane.,50.417,50.657
6,I,51.238,51.399
6,don't,52.962,53.102
6,think,53.122,53.282
6,the,53.362,53.543
6,sentence,53.663,53.963
6,"ends,",54.084,54.304
6,you,54.344,54.424
6,"know,",54.444,54.564
6,functioning,54.604,54.945
6,"properly,",55.005,55.426
6,have,55.466,55.626
6,a,55.666,55.686
6,great,55.727,55.907
6,jump.,55.967,56.207
7,I,57.71,57.85
7,think,58.011,58.131
7,it,58.171,58.211
7,ends,58.271,58.471
7,worse.,58.532,58.932
8,I,59.734,59.894
8,don't,59.994,60.094
8,know,60.114,60.215
8,a,60.235,60.255
8,lot,60.275,60.415
8,about,60.435,60.595
8,"skydiving,",60.615,61.116
8,but,61.617,61.837
8,I,62.098,62.238
8,would,62.358,62.499
8,think,62.559,62.799
8,"that,",63.04,63.24
8,you,63.36,63.44
8,"know,",63.48,63.661
8,a,64.142,64.182
8,working,64.222,64.542
8,shoot,64.602,64.783
8,lends,64.863,65.063
8,to,65.123,65.224
8,a,65.264,65.284
8,better,65.324,65.504
8,"jump,",66.426,66.686
8,especially,67.007,67.427
8,towards,67.448,67.928
8,the,67.968,68.049
8,end.,68.169,68.85
9,What,70.096,70.436
9,happened,70.496,70.757
9,was,70.777,70.897
9,I,70.957,70.977
9,was,71.017,71.077
9,in,71.117,71.157
9,my,71.197,71.257
9,"40s,",71.277,71.578
9,"suddenly,",71.678,72.018
9,surprisingly.,72.439,73.019
10,And,73.84,73.98
10,I,74.221,74.982
10,didn't,75.022,76.403
10,want,76.423,76.503
10,to,76.523,76.563
10,be,76.583,76.623
10,one,76.684,76.744
10,of,76.784,76.824
10,those,76.844,76.964
10,kind,77.004,77.164
10,of,77.224,77.264
10,midlife,77.805,78.105
10,crisis,78.145,78.466
10,guys,78.506,78.726
10,who,78.766,78.866
10,runs,78.906,79.066
10,out,79.126,79.226
10,and,79.266,79.327
10,gets,79.367,79.487
10,a,79.507,79.527
10,convertible.,79.587,80.107
11,"Besides,",81.109,81.469
11,who,81.669,81.769
11,needs,81.809,81.97
11,two,81.99,82.13
11,convertibles?,82.17,82.75
12,And,84.953,85.113
12,"I,",87.035,87.496
12,you,87.896,87.976
12,"know,",88.016,88.277
12,I,88.297,88.317
12,had,88.377,88.457
12,already,88.477,88.657
12,gotten,88.697,88.857
12,"divorced,",88.877,89.278
12,so,89.298,89.338
12,that,89.378,89.478
12,was,89.518,89.598
12,already,89.638,89.839
12,checked,89.879,90.179
12,off.,90.339,90.459
13,But,92.341,92.401
13,I,92.422,92.462
13,needed,92.482,92.702
13,to,92.742,92.782
13,do,92.822,92.922
13,"something,",93.002,93.423
13,so,93.443,93.523
13,I,93.543,93.563
13,went,93.623,93.743
13,"to,",93.783,93.883
13,"like,",93.903,94.043
13,cliche,94.063,94.504
13,number,94.524,94.744
13,"three,",94.784,95.024
13,and,95.565,95.645
13,I,95.685,95.705
13,drive,95.745,96.086
13,upstate,96.126,96.646
13,to,96.706,96.787
13,this,96.827,96.987
13,skydiving,97.467,98.048
13,academy.,98.088,98.989
14,near,99.847,100.388
14,Albany,100.468,100.828
14,for,100.948,101.049
14,my,101.089,101.189
14,meeting,101.229,101.549
14,with,101.789,102.01
14,"Annette,",102.27,103.752
14,the,104.072,104.273
14,school's,104.453,104.933
14,"bare-bellied,",105.234,105.734
14,"khaki-shorted,",105.835,106.475
14,tan-shouldered,106.776,107.457
14,senior,107.817,108.218
14,instructor.,108.538,108.979
15,She,108.999,109.099
15,was,109.119,109.179
15,19,109.199,109.519
15,years,109.539,109.699
15,old.,109.8,109.9
16,She,113.344,113.564
16,was,113.624,113.745
16,"like,",113.785,113.905
16,I,113.985,115.166
16,could,115.286,115.387
16,have,115.407,115.507
16,folded,115.527,115.767
16,her,115.787,115.847
16,up,115.887,115.947
16,and,115.987,116.047
16,put,116.067,116.148
16,her,116.188,116.248
16,in,116.268,116.308
16,my,116.348,116.428
16,pocket.,116.468,116.748
17,She,116.788,116.848
17,looked,116.868,117.009
17,like,117.029,117.109
17,a,117.149,117.169
17,lowercase,117.209,117.99
17,I,118.19,118.27
17,with,118.31,118.41
17,a,118.47,118.511
17,smiley,118.551,118.851
17,face,118.891,119.091
17,dot.,119.131,119.712
18,for,120.535,120.715
18,a,120.755,120.775
18,"head,",120.795,121.076
18,which,121.376,121.496
18,made,121.556,121.717
18,me,121.757,121.837
18,feel,121.917,122.057
18,like,122.097,122.197
18,a,122.217,122.257
18,capital,122.317,122.658
18,O,122.818,122.938
18,standing,123.018,123.339
18,next,123.379,123.519
18,to,123.559,123.659
18,her.,123.719,123.82
19,But,124.701,124.801
19,she,124.821,124.901
19,was,124.941,125.001
19,a,125.021,125.041
19,"professional,",125.081,125.582
19,so,125.842,125.943
19,the,125.963,126.043
19,first,126.083,126.223
19,thing,126.243,126.363
19,she,126.383,126.463
19,did,126.503,126.603
19,was,126.623,126.744
19,shake,126.764,126.964
19,my,126.984,127.084
19,"hand,",127.144,127.385
19,but,127.405,127.465
19,then,127.485,127.585
19,she,127.625,127.705
19,put,127.745,127.845
19,her,127.885,127.965
19,arm,128.065,128.206
19,through,128.266,128.506
19,mine,128.546,128.947
19,and,129.327,129.407
19,squeezed,129.528,129.908
19,it,129.968,130.008
19,a,130.048,130.108
19,little,130.168,130.329
19,"bit,",130.369,130.489
19,and,130.849,130.929
19,"said,",130.99,131.15
19,this,131.17,131.37
19,is,131.39,131.43
19,gonna,131.47,131.63
19,be,131.67,131.751
19,awesome.,131.771,132.231
20,And,133.914,133.994
20,then,134.014,134.114
20,she,134.134,134.234
20,led,134.294,134.414
20,me,134.474,134.534
20,into,134.575,134.695
20,the,134.715,134.795
20,"office,",134.915,135.155
20,which,135.235,135.356
20,looked,135.396,135.596
20,like,135.616,135.696
20,I,135.736,135.756
20,had,135.836,135.916
20,been,135.936,136.057
20,kind,136.097,136.237
20,of,136.277,136.317
20,delivered,136.677,137.118
20,on,137.158,137.559
20,the,137.579,137.639
20,back,137.679,137.819
20,of,137.839,137.899
20,a,137.919,137.979
20,flatbed,138.019,138.42
20,"truck,",138.46,138.72
20,and,139.221,139.341
20,like,139.942,140.062
20,they,140.082,140.182
20,dropped,140.222,140.443
20,it,140.483,140.523
20,on,140.563,140.623
20,its,140.683,140.783
20,corner,140.843,141.124
20,when,141.204,141.284
20,they,141.324,141.404
20,unloaded,141.444,141.845
20,"it,",141.885,141.985
20,and,142.465,142.526
20,go,142.546,142.586
20,inside,142.606,142.866
20,the,142.906,143.287
20,"office,",143.367,143.667
20,and,143.827,143.908
20,the,143.968,144.068
20,first,144.108,144.248
20,thing,144.268,144.408
20,she,144.428,144.508
20,says,144.568,144.769
20,is,144.869,144.949
20,that,144.969,145.209
20,I,145.229,145.249
20,have,145.289,145.39
20,pretty,145.43,145.63
20,eyes.,145.81,145.97
21,And,147.713,147.793
21,then,147.813,147.933
21,she,147.973,148.053
21,hands,148.113,148.294
21,me,148.334,148.394
21,the,148.434,148.494
21,liability,148.554,149.115
21,waiver.,149.235,150.036
22,It,150.016,152.902
22,was,152.962,153.203
22,an,153.223,153.263
22,extremely,153.563,154.064
22,Darwinian,154.145,154.806
22,moment,154.906,155.267
22,for,155.367,155.548
22,"me,",155.608,155.748
22,because,156.309,156.47
22,what,156.49,156.57
22,I,156.59,156.61
22,should,156.63,156.77
22,have,156.79,156.87
22,done,156.89,156.991
22,was,157.031,157.131
22,drive,157.391,158.394
22,away,158.454,158.814
22,and,158.915,158.995
22,do,159.015,159.115
22,something,159.175,159.416
22,else,159.476,159.596
22,more,159.656,159.776
22,well,159.797,159.937
22,adapted,159.997,160.398
22,to,160.418,160.478
22,"doing,",160.538,160.839
22,like,160.859,161.059
22,driving.,161.34,161.761
23,But,162.482,162.683
23,I,163.244,163.344
23,signed,165.007,165.388
23,it,165.488,165.549
23,because,165.669,166.11
23,she,166.15,166.691
23,told,166.751,166.911
23,me,166.952,167.012
23,I,167.032,167.072
23,had,167.112,167.212
23,pretty,167.252,167.453
23,eyes.,167.633,168.615
24,But,168.595,168.795
24,I,168.835,168.875
24,wanted,168.915,169.136
24,her,169.176,169.256
24,to,169.296,169.336
24,know,169.376,169.476
24,that,169.496,169.596
24,I,169.617,169.637
24,was,169.697,169.777
24,more,169.837,169.997
24,than,170.037,170.157
24,just,170.197,170.298
24,a,170.338,170.358
24,pair,170.398,170.498
24,of,170.538,170.578
24,pretty,170.618,170.778
24,"eyes,",171.019,171.219
24,that,171.82,171.94
24,"I,",172.0,172.1
24,you,172.12,172.2
24,"know,",172.22,172.341
24,had,172.381,172.521
24,the,172.701,172.781
24,right,172.841,173.002
24,stuff.,173.042,173.482
25,So,173.743,173.903
25,I,174.644,174.724
25,sign,174.764,175.025
25,"it,",175.085,175.145
25,and,175.385,175.465
25,then,175.505,175.686
25,she,176.006,176.086
25,takes,176.126,176.266
25,me,176.307,176.407
25,back,176.527,176.747
25,"outside,",176.887,177.348
25,and,177.388,177.448
25,while,177.508,177.729
25,the,177.789,177.909
25,pilot,177.969,178.41
25,"and,",178.53,178.65
25,I,178.71,178.73
25,don't,178.75,178.89
25,"know,",178.91,179.031
25,his,179.051,179.151
25,homeroom,179.171,179.652
25,teacher,179.732,180.072
25,are,180.373,180.453
25,playing,180.493,180.713
25,hacky,180.753,181.114
25,sack,181.174,181.474
25,out,182.315,182.456
25,on,183.577,183.637
25,the,183.678,183.738
25,"runway,",183.798,184.278
25,she,186.902,187.043
25,"says,",187.103,187.323
25,we're,187.343,187.483
25,going,187.503,187.603
25,to,187.623,187.684
25,start,187.744,188.064
25,with,188.204,188.365
25,the,188.465,188.625
25,"landing,",188.765,189.286
25,because,189.306,189.486
25,that's,189.546,189.767
25,the,189.807,189.907
25,important,189.947,190.408
25,part.,190.468,190.708
26,And,191.269,191.329
26,then,191.349,191.429
26,she,191.449,191.529
26,pokes,191.569,191.73
26,me,191.75,191.81
26,in,191.83,191.87
26,the,191.89,191.97
26,"ribs,",192.01,192.23
26,and,192.751,192.831
26,she,192.871,192.991
26,"says,",193.031,193.332
26,you,193.412,193.492
26,"know,",193.512,193.612
26,it's,193.632,193.713
26,not,193.733,193.813
26,the,193.833,193.933
26,fall,193.993,194.213
26,that,194.253,194.353
26,gets,194.394,194.594
26,"you,",194.654,194.814
26,it's,194.914,194.994
26,a,195.055,195.075
26,sudden,195.135,195.415
26,stop.,195.495,195.876
27,And,195.936,196.016
27,she,196.056,196.176
27,"giggles,",196.216,196.537
27,because,196.617,196.817
27,it's,196.857,196.977
27,a,197.037,197.058
27,joke.,197.158,198.079
28,Not,198.059,198.48
28,the,198.5,198.6
28,funniest,198.66,199.001
28,joke,199.041,199.281
28,I've,199.401,199.522
28,ever,199.562,199.702
28,heard.,199.742,199.922
29,She,201.144,201.244
29,kicks,201.305,201.485
29,over,201.565,201.745
29,a,201.765,201.785
29,blue,201.906,202.226
29,plastic,202.346,202.787
29,milk,202.907,203.088
29,crate,203.128,203.388
29,about,203.508,203.909
29,a,203.929,203.949
29,foot,204.21,204.39
29,tall.,204.41,204.71
30,She,204.751,204.811
30,tells,204.851,205.111
30,me,205.131,205.191
30,to,205.211,205.251
30,hop,205.552,205.772
30,up.,205.872,205.953
31,And,206.574,206.654
31,she,206.694,206.814
31,tells,206.874,207.075
31,me,207.155,207.275
31,to,207.615,207.716
31,jump,207.776,207.976
31,off,208.096,208.217
31,of,208.257,208.297
31,it.,208.377,208.477
32,And,208.818,208.898
32,I,208.938,208.958
32,jump,209.058,209.218
32,off,209.338,209.439
32,of,209.479,209.539
32,it.,209.619,209.679
33,And,209.939,210.02
33,my,210.06,210.14
33,feet,210.2,210.36
33,raise,210.44,210.741
33,these,210.801,210.941
33,two,211.001,211.142
33,little,211.162,211.362
33,kind,211.382,211.542
33,of,211.582,211.622
33,dust,211.642,211.943
33,clouds,212.023,212.404
33,like,212.444,212.604
33,Neil,212.684,212.925
33,Armstrong.,213.005,213.666
34,And,214.447,214.587
34,she,214.628,214.908
34,gives,214.928,215.068
34,me,215.108,215.168
34,the,215.209,215.269
34,thumbs,215.329,215.569
34,up,215.689,215.77
34,like,215.91,216.05
34,I've,216.09,216.21
34,got,216.25,216.371
34,the,216.411,216.491
34,right,216.531,216.691
34,stuff.,216.751,217.232
35,And,218.528,218.708
35,then,218.748,218.969
35,she,219.129,219.289
35,"says,",219.369,219.549
35,I'm,219.609,219.689
35,going,219.709,219.809
35,to,219.83,219.87
35,teach,220.07,220.67
35,you,220.691,220.751
35,how,220.771,220.831
35,to,220.851,220.891
35,do,220.931,221.051
35,a,221.071,221.091
35,drop,221.111,221.531
35,and,221.552,221.612
35,"roll,",221.672,221.972
35,which,222.553,222.673
35,is,222.713,222.773
35,a,222.833,222.853
35,maneuver,222.933,223.233
35,you,223.254,223.354
35,do,223.394,223.474
35,when,223.514,223.614
35,you,223.634,223.754
35,land.,223.794,224.175
36,"Basically,",224.996,225.336
36,it's,225.356,225.436
36,what,225.456,225.536
36,it,225.576,225.616
36,sounds,225.636,225.837
36,like.,225.857,225.997
37,You,226.017,226.097
37,drop,226.117,226.337
37,and,226.377,226.457
37,you,226.477,226.617
37,roll.,226.657,226.778
38,Same,226.798,226.878
38,thing,226.978,227.078
38,you,227.098,227.158
38,would,227.178,227.298
38,do,227.318,227.378
38,if,227.418,227.458
38,you,227.478,227.538
38,were,227.559,227.639
38,on,227.659,227.719
38,fire.,227.859,228.239
39,And,229.12,229.2
39,she,229.281,229.501
39,demonstrates,229.541,230.742
39,it,230.842,230.902
39,for,231.503,231.703
39,me,231.743,231.844
39,like,231.904,232.104
39,a,232.184,232.204
39,Romanian,232.324,232.765
39,gymnast.,232.805,234.006
40,And,234.026,234.126
40,she,234.166,234.286
40,"says,",234.346,234.587
40,"OK,",234.727,235.187
40,you,235.267,235.388
40,try,235.428,235.608
40,it,235.668,235.708
40,now.,235.728,235.988
41,And,236.189,236.289
41,she,236.569,236.809
41,helps,236.949,237.09
41,me,237.13,237.21
41,back,237.23,237.37
41,up,237.41,237.47
41,into,237.51,237.59
41,the,237.63,237.69
41,box.,237.73,237.931
42,She,237.951,238.031
42,"says,",238.071,238.231
42,just,238.291,238.431
42,hop,238.491,238.671
42,on,238.752,238.832
42,the,238.852,238.912
42,"bus,",238.952,239.192
42,Gus.,239.212,240.874
43,And,242.137,242.578
43,I,242.598,242.618
43,"think,",242.998,243.219
43,"nice,",243.279,243.519
43,we,243.579,243.679
43,have,243.719,243.839
43,something,243.899,244.2
43,in,244.26,244.3
43,common.,244.38,244.761
44,Her,245.181,246.343
44,parents,246.403,246.763
44,or,246.864,246.924
44,her,246.964,247.044
44,grandparents,247.104,247.705
44,were,247.805,247.945
44,fans,248.025,248.386
44,of,248.646,248.726
44,Paul,249.107,249.427
44,Simon.,249.728,250.188
45,So,253.272,253.593
45,I,253.613,253.633
45,get,254.915,255.035
45,up,255.075,255.135
45,on,255.155,255.195
45,the,255.215,255.295
45,"box,",255.315,255.696
45,hold,256.898,257.078
45,onto,257.118,257.298
45,her,257.318,257.398
45,shoulder,257.438,257.739
45,to,257.759,257.819
45,steady,257.879,258.099
45,"myself,",258.159,258.52
45,and,258.6,258.7
45,because,258.74,258.92
45,I,258.96,258.98
45,just,259.041,259.141
45,wanted,259.161,259.281
45,to,259.301,259.341
45,hold,259.381,259.481
45,onto,259.541,259.621
45,her,259.641,259.741
45,"shoulder,",259.782,260.062
45,and,260.723,260.863
45,I,261.444,261.504
45,"say,",261.564,261.804
45,I,261.844,262.085
45,am,262.145,262.205
45,a,262.245,262.265
45,"rock,",262.325,262.625
45,and,262.786,262.866
45,I,262.906,262.926
45,drop,262.966,263.246
45,like,263.367,263.507
45,a,263.567,263.607
45,stone.,263.687,264.448
46,And,266.723,267.023
46,she,267.184,267.484
46,just,267.624,267.804
46,giggles,268.005,268.666
46,adorably,268.706,269.607
46,and,269.647,270.488
46,helps,270.568,270.808
46,me,270.888,270.969
46,up.,271.169,271.269
47,And,271.649,271.75
47,as,271.81,271.85
47,she's,271.89,272.03
47,picking,272.07,272.27
47,the,272.29,272.37
47,gravel,272.41,272.771
47,out,272.891,272.951
47,of,272.991,273.031
47,the,273.071,273.151
47,palms,273.212,273.552
47,of,273.592,273.652
47,my,273.732,273.852
47,"hands,",273.932,274.393
47,she,274.914,275.014
47,"says,",275.054,275.214
47,that's,275.434,275.595
47,pretty,275.655,275.835
47,much,275.875,275.995
47,all,276.075,276.155
47,there,276.195,276.336
47,is,276.376,276.456
47,to,276.536,276.676
47,it.,276.756,276.816
48,Which,278.519,278.639
48,would,278.659,278.759
48,be,278.779,278.839
48,true,278.879,279.099
48,if,279.28,279.32
48,she,279.34,279.42
48,were,279.46,279.56
48,teaching,279.58,279.84
48,me,279.86,279.94
48,to,279.98,280.061
48,jump,280.101,280.321
48,off,280.401,280.501
48,a,280.561,280.601
48,milk,280.641,280.842
48,crate.,280.902,281.182
49,I,283.165,283.625
49,could,283.665,283.765
49,have,283.785,283.886
49,gotten,283.926,284.106
49,my,284.126,284.226
49,diploma,284.266,284.687
49,and,284.727,284.807
49,just,284.827,284.967
49,gone,285.007,285.207
49,home.,285.247,285.728
50,For,286.079,286.901
50,the,286.921,286.982
50,next,287.022,287.122
50,two,287.142,287.323
50,"hours,",287.363,287.744
50,we,288.185,288.265
50,kind,288.305,288.446
50,of,288.486,288.526
50,gradually,288.586,289.068
50,raise,289.168,289.71
50,the,289.75,289.87
50,diving,289.93,290.331
50,"platform,",290.392,291.053
50,the,291.134,291.615
50,practice,291.675,292.036
50,platform,292.076,292.578
50,from,292.598,292.718
50,this,292.738,292.859
50,milk,292.919,293.099
50,crate,293.14,293.36
50,to,293.4,293.481
50,a,293.521,293.561
50,kitchen,293.601,293.882
50,chair,293.942,294.183
50,to,294.243,294.323
50,an,294.363,294.403
50,aluminum,294.423,294.784
50,kitchen,295.526,295.827
50,dinette,295.888,296.249
50,table,297.071,297.412
50,to,297.613,297.773
50,a,297.833,297.873
50,painter's,297.913,298.254
50,ladder,298.295,298.575
50,to,298.856,298.956
50,"5,000",298.977,299.538
50,feet,299.578,299.759
50,above,299.819,299.999
50,sea,300.04,300.26
50,level.,300.3,300.882
51,And,301.486,302.047
51,up,302.107,302.147
51,in,302.187,302.227
51,the,302.267,302.327
51,"plane,",302.367,302.728
51,she,303.149,303.229
51,shows,303.289,303.449
51,me,303.489,303.549
51,this,303.569,303.689
51,canvas,303.729,304.03
51,"strap,",304.07,304.35
51,which,304.37,304.471
51,is,304.531,304.571
51,called,304.611,304.791
51,the,304.811,304.871
51,static,304.931,305.332
51,line.,305.432,305.652
52,It's,305.672,305.753
52,attached,305.793,306.073
52,to,306.093,306.133
52,the,306.173,306.253
52,plane,306.273,306.534
52,and,306.594,306.654
52,it's,306.694,306.774
52,attached,306.814,307.055
52,to,307.075,307.135
52,my,307.175,307.275
52,chute.,307.335,307.595
53,It,308.156,308.397
53,will,308.417,308.557
53,open,308.637,308.817
53,my,308.837,308.917
53,chute,308.957,309.138
53,automatically,309.198,309.779
53,when,309.979,310.079
53,I,310.119,310.159
53,jump,310.199,310.38
53,"out,",310.46,310.56
53,so,310.62,310.72
53,I,310.76,310.78
53,won't,310.82,310.961
53,have,310.981,311.081
53,to,311.101,311.161
53,worry,311.221,311.401
53,about,311.441,311.622
53,anything.,311.682,311.982
54,And,312.803,313.284
54,she,313.324,313.404
54,tugs,313.444,313.665
54,on,313.745,313.805
54,it,313.845,313.885
54,a,313.905,313.925
54,couple,313.965,314.125
54,of,314.145,314.186
54,times,314.206,314.426
