text,start,end
 you,3.49,4.473
" I began my illustrious career in journalism in the Bronx, where I toiled as a hardballed reporter for The Ram, the student newspaper at Fordham University.",15.067,26.345
"And one day I'm walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham's traditionally working to middle-class students with wealthier, more prestigious ones.",27.147,41.31
" So I whip out my notebook and I go up to him and I say, Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate?",42.202,49.892
"And if so, wouldn't that be a betrayal of its mission?",50.152,52.896
"And he stops and looks at me and he says, listen up punk.",54.798,59.905
"And right then there's a blur in the corner of my eye, which becomes this figure holding a cream pie, which becomes the guy standing next to me, mashing a cream pie into Dean McGowan's face.",59.925,72.04
 and then runs away.,73.606,74.808
And the Dean is covered with cream.,77.572,80.015
So I give him a moment.,82.398,83.3
"And then I say, Dean McGowan, would you care to comment on this latest attack?",85.683,88.687
"And the Dean says, yes, I would care to comment.",91.952,94.576
Fuck you.,95.357,96.238
 So I race back to the newsroom with my scoop.,98.227,100.349
"And I find the editor, Jim Dwyer, who's a senior.",100.93,103.873
And he will go on to win a Pulitzer Prize.,104.553,106.235
That is true.,106.315,106.876
And he's a big guy.,108.197,109.178
I pitch him my story.,109.278,110.159
I tell him what I've seen.,110.199,111.2
"And he says, Dean McGowan, that guy's a dick.",111.921,115.885
Write it up.,116.125,116.605
So I'm banging out my story.,118.147,119.248
And I know it's good.,119.268,120.089
And then I start to make it better.,120.609,123.272
 by adding an element of embellishment.,126.121,128.148
Reporters call this making shit up.,129.352,132.342
And they recommend against crossing that line.,135.613,138.443
 But I had just seen the line crossed between a high-powered dean and a salt with a pastry.,139.975,145.744
And I kind of liked it.,146.906,147.767
So the first thing I did was I gave the figure a name.,148.849,151.653
"I called him Pie Man, capital P, capital M. And I described him as a cape-wearing, masked Avenger.",152.214,158.383
"Though, in fact, he'd been capeless.",159.926,161.167
"And I said that as he fled the scene, he clicked his heels in rakish glee.",162.109,166.135
 And I gave him a catchphrase in Latin.,169.152,172.256
"I said that he cried out, ego sum non an bistia, which means I am not an animal, which makes no sense.",175.74,187.815
I needed something.,189.958,190.819
I'm Catholic.,191.62,192.341
Latin just comes to me.,192.421,193.422
"So I finished my story and I hand it to Dwyer and he reads it and he says,",195.525,198.889
" Pyman, I love it, page one.",199.409,202.393
And that's how the first line got crossed.,204.636,209.542
"A few days later, I get a letter.",209.562,210.784
"It says, dear Jim, good story, nice details.",212.146,215.39
"If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o'clock.",216.411,222.86
"Signed, Pyman.",224.302,226.024
 So I was there with a photographer from the Ram.,229.143,232.488
"And sure enough, out comes Sheila Beal, student body president.",233.289,237.175
And now Sheila was different from me and all the other Fordham students who were flannel shirts and work part-time jobs.,238.196,244.165
Sheila was well-bred.,245.127,246.909
Sheila had school spirit.,247.59,249.694
Sheila was the kind of student that Dean McGowan wanted more of.,251.917,254.661
" Although rumor had it that he got plenty of her in his office, on his desk.",255.873,260.098
But that's just a rumor.,262.301,263.122
Please do not spread it outside this room.,263.142,265.005
I myself would never say that.,266.226,267.528
"But the fact was, Sheila had collaborated with the dean to ban outdoor drinking on campus.",268.569,274.317
The infamous no more beer at barbecues rule.,274.858,277.381
"That's right, boo that rule.",277.561,278.723
Sheila thought drinking in public was in poor taste,281.526,284.53
 I think you know what happened next.,286.4,288.363
"Pieman emerged from behind the late-night library dropbox, made his delivery, and fled away, crying, Ego sum non ambitia.",290.286,301.263
"Or at least that's what it said in my story in the newspaper the next day, which ran with a photo of him leaving the scene, cape flowing behind him, doing this.",303.827,314.584
 And that's what made him a sensation on campus.,317.45,320.642
People started dressing like him and quoting him in class.,321.164,324.357
"The Ram ran five major stories about Pyman, all of them by me.",324.979,328.573
" And towards the end of this run, I was out at a bar one night, and I saw, I came in, I saw in the corner Angela from my Brit Lit class, drinking with some friends.",329.903,339.753
And now Angela and I had been flirting for two months.,340.293,342.796
"Or, I had been flirting with her.",343.997,346.199
And with such nuance that there was a question about whether she knew I existed.,347.841,351.925
So I saw her there and made a mental note to do nothing about it.,354.507,357.43
" And then I went to the bar to buy a round, and I felt a tap on my shoulder, and it was her.",358.895,366.029
"And she said, Jim, we were just talking about how you always seem to know when and where Pie Man will strike.",366.089,375.908
"And we were wondering, are you Pie Man?",377.07,381.679
" And I knew by the way she said it, I knew that if I said yes, she would have sex with me.",383.853,389.125
And wasn't I really pie man?,392.172,394.697
"For having brought him into being, didn't she only know about him through me?",398.887,403.397
 But she had asked me a straightforward question that came with a straightforward answer.,405.048,409.052
"In fact, I wasn't Pyman as far as I knew.",409.112,412.255
I had never seen the guy out of costume.,412.295,415.078
"So I looked at her and I said, yes, Angela, I am Pyman.",416.259,422.606
"And she said, oh, good.",422.646,425.869
Now buy me a beer and tell me all about it.,426.91,429.553
