phrase,word,start,end
1,you,3.49,4.473
2,I,15.067,15.207
2,began,15.227,15.488
2,my,15.528,15.668
2,illustrious,15.748,16.309
2,career,16.389,16.81
2,in,17.17,17.231
2,journalism,17.271,17.791
2,in,18.553,18.613
2,the,18.633,18.693
2,"Bronx,",18.753,19.174
2,where,19.234,19.394
2,I,19.434,19.474
2,toiled,19.594,20.035
2,as,20.436,20.496
2,a,20.556,20.576
2,hardballed,20.656,21.157
2,reporter,21.197,21.738
2,for,22.159,22.259
2,The,22.299,22.359
2,"Ram,",22.439,22.82
2,the,24.002,24.142
2,student,24.262,24.703
2,newspaper,24.783,25.304
2,at,25.344,25.404
2,Fordham,25.464,25.724
2,University.,25.785,26.345
3,And,27.147,27.207
3,one,27.287,27.367
3,day,27.407,27.507
3,I'm,27.527,27.608
3,walking,27.648,27.888
3,toward,27.908,28.068
3,the,28.108,28.168
3,campus,28.209,28.469
3,center,28.489,28.749
3,and,29.05,29.15
3,out,29.25,29.35
3,comes,29.37,29.571
3,the,29.591,29.731
3,elusive,29.771,30.332
3,Dean,30.713,31.033
3,"McGowan,",31.073,32.435
3,architect,32.456,32.856
3,of,32.876,32.956
3,a,32.996,33.036
3,policy,33.117,33.698
3,to,34.158,34.238
3,replace,34.299,34.699
3,Fordham's,34.799,35.2
3,traditionally,35.3,35.921
3,working,36.602,37.043
3,to,37.123,37.203
3,middle-class,37.263,37.724
3,students,37.764,38.125
3,with,38.886,39.066
3,"wealthier,",39.367,39.808
3,more,39.968,40.088
3,prestigious,40.148,40.709
3,ones.,40.869,41.31
4,So,42.202,42.382
4,I,42.422,42.442
4,whip,42.522,42.663
4,out,42.703,42.783
4,my,42.823,42.903
4,notebook,42.943,43.203
4,and,43.243,43.303
4,I,43.343,43.363
4,go,43.424,43.504
4,up,43.544,43.624
4,to,43.644,43.704
4,him,43.764,43.824
4,and,43.864,43.944
4,I,43.964,43.984
4,"say,",44.064,44.185
4,Dean,44.265,44.425
4,"McGowan,",44.465,44.966
4,is,45.526,45.606
4,it,45.666,45.706
4,true,45.827,46.067
4,that,46.147,46.247
4,Fordham,46.287,46.528
4,University,46.588,47.048
4,plans,47.088,47.288
4,to,47.329,47.409
4,raise,47.489,47.729
4,tuition,47.769,48.15
4,substantially,48.19,48.87
4,above,48.931,49.091
4,the,49.111,49.191
4,inflation,49.231,49.672
4,rate?,49.712,49.892
5,And,50.152,50.212
5,if,50.252,50.332
5,"so,",50.493,50.793
5,wouldn't,51.234,51.414
5,that,51.434,51.534
5,be,51.574,51.654
5,a,51.694,51.714
5,betrayal,51.774,52.255
5,of,52.295,52.335
5,its,52.375,52.475
5,mission?,52.595,52.896
6,And,54.798,54.858
6,he,54.898,54.958
6,stops,55.038,55.439
6,and,55.559,55.619
6,looks,55.659,55.839
6,at,55.899,55.94
6,me,55.98,56.16
6,and,57.181,57.241
6,he,57.281,57.321
6,"says,",57.381,57.602
6,listen,58.703,58.923
6,up,58.983,59.063
6,punk.,59.184,59.905
7,And,59.925,60.005
7,right,60.065,60.245
7,then,60.305,60.505
7,there's,60.525,60.826
7,a,60.866,60.886
7,blur,60.986,61.467
7,in,61.927,61.967
7,the,62.007,62.067
7,corner,62.107,62.308
7,of,62.348,62.388
7,my,62.408,62.508
7,"eye,",62.588,62.688
7,which,62.708,62.808
7,becomes,62.888,63.189
7,this,63.229,63.469
7,figure,63.769,64.19
7,holding,64.23,65.011
7,a,65.051,65.091
7,cream,65.151,65.392
7,"pie,",65.452,65.712
7,which,65.772,65.892
7,becomes,65.992,66.293
7,the,66.313,66.473
7,guy,66.573,66.994
7,standing,67.034,67.855
7,next,67.975,68.175
7,to,68.215,68.295
7,"me,",68.375,68.556
7,mashing,69.236,69.697
7,a,69.777,69.797
7,cream,69.877,70.158
7,pie,70.198,70.538
7,into,70.658,70.818
7,Dean,70.879,71.059
7,McGowan's,71.099,71.519
7,face.,71.599,72.04
8,and,73.606,73.806
8,then,73.987,74.267
8,runs,74.327,74.527
8,away.,74.587,74.808
9,And,77.572,77.652
9,the,77.692,77.772
9,Dean,77.832,78.092
9,is,78.132,79.174
9,covered,79.274,79.534
9,with,79.574,79.655
9,cream.,79.735,80.015
10,So,82.398,82.499
10,I,82.559,82.599
10,give,82.619,82.719
10,him,82.759,82.839
10,a,82.879,82.919
10,moment.,82.979,83.3
11,And,85.683,85.743
11,then,85.763,85.843
11,I,85.863,85.883
11,"say,",85.923,86.064
11,Dean,86.104,86.284
11,"McGowan,",86.324,86.725
11,would,86.765,86.865
11,you,86.905,86.965
11,care,87.005,87.185
11,to,87.205,87.245
11,comment,87.325,87.726
11,on,87.766,87.826
11,this,87.846,87.966
11,latest,88.026,88.267
11,attack?,88.327,88.687
12,And,91.952,92.012
12,the,92.032,92.092
12,Dean,92.132,92.292
12,"says,",92.333,92.513
12,"yes,",92.553,92.853
12,I,93.654,93.694
12,would,93.714,93.855
12,care,93.895,94.015
12,to,94.035,94.095
12,comment.,94.155,94.576
13,Fuck,95.357,95.677
13,you.,95.878,96.238
14,So,98.227,98.367
14,I,98.427,98.467
14,race,98.567,98.788
14,back,98.828,98.948
14,to,98.988,99.048
14,the,99.088,99.168
14,newsroom,99.228,99.588
14,with,99.608,99.728
14,my,99.789,99.889
14,scoop.,100.009,100.349
15,And,100.93,101.01
15,I,101.47,101.53
15,find,101.59,101.731
15,the,101.771,101.831
15,"editor,",101.931,102.191
15,Jim,102.651,102.832
15,"Dwyer,",102.852,103.172
15,who's,103.212,103.352
15,a,103.392,103.412
15,senior.,103.512,103.873
16,And,104.553,104.633
16,he,104.693,104.794
16,will,104.814,104.954
