text,start,end
" I began my illustrious career as a hard-boiled reporter in the Bronx, where I toiled for the Ram.",8.738,15.61
 Fordham University student newspaper.,16.332,19.295
"And one day I'm walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace traditionally, the Fordhams traditionally working, the middle class students, with wealthier, more prestigious ones.",19.636,35.814
"So I whip out my notebook and I march right up to him and I say,",36.314,39.538
" Dean McGowan, is it true that Fordham plans to raise tuition substantially above the inflation rate, and if so, would that be a betrayal of its mission?",40.025,48.357
"And he looks at me like, what are you talking about, punk?",49.619,54.265
"And then right then out of the corner of my eye comes this blur, which becomes the figure in a Lone Ranger's mask standing next to me with a cream pie, which becomes a guy",54.285,66.302
" with a green pie that he's mashing into Dean McGowan's face, and then runs away.",66.451,73.465
Dean is covered with green.,75.308,77.633
"So I give him a moment, and then I say, Dean McGowan, would you care to comment on this latest attack?",78.474,84.105
" And he says, yes, I would care to comment.",85.081,87.625
Screw you.,88.366,89.587
"And now I race back to the newsroom in my scoop, and I find the editor.",90.569,93.813
He's a guy named Jim Dwyer.,94.254,96.017
"He's a senior, and he's a big guy.",96.077,97.619
And he's going to go on to win a Pulitzer Prize.,97.639,99.482
"So I tell him what I've seen, and I pitch him my story.",99.762,101.925
"And he says, Dean McGowan, that guy's a dick.",102.286,105.51
Write it up.,106.011,106.612
And now I'm pounding out my story.,107.293,108.835
And I know it's good.,109.276,110.197
But then I start to make it better.,111.299,114.463
 by adding in elements of embellishment.,115.456,118.519
"Now, reporters call this making stuff up, and they recommend against it, but I had just seen the line cross between a salt with a pastry and a high-powered dean, and I kinda liked it.",118.779,134.535
So the first thing I did is I gave the figure a name.,134.555,137.578
"I called him Pie-Ban, capital P, capital M, and I described him as a keep-wearing, masked avenger.",138.078,145.125
" Although, actually, he'd been capeless.",145.797,148.56
"And I said that as he fled the scene, he clipped his heels with rapist glee.",149.401,154.807
And then I gave him a catchphrase.,156.289,158.391
He lacked.,159.573,161.395
"I said that as he sped away, he cried, Ego sum non ad biscia.",161.415,166.1
"Which means, I am not an animal.",166.701,169.864
Which makes no sense.,170.625,173.188
" Florida was a Catholic school, and we all thought Latin was class, so that's what I used.",173.557,179.624
"And when I finished my story, I raced back to Dwyer, and I showed it to him, and he read it, and he said, Hi, man.",180.545,186.932
I love it.,188.233,188.774
Page one.,189.655,190.196
"A few days later, I get a letter.",192.218,194.42
"I open it up, and it says, Dear Jim, Good story.",194.941,198.745
Nice details.,198.945,200.307
" If you want to see me again in action, be on the steps of Duane Library at 3 p.m. on Tuesdays.",200.911,207.606
"Signed, Highman.",207.686,209.951
And I was there.,211.835,213.098
" with a photographer for the RAM, and sure enough, Outcome Student Body President Sheila Beale.",213.28,219.711
"And now, Sheila Beale was different from the rest of us flannel shirt-wearing, part-time job working Fordham students.",219.831,227.564
Sheila was well-bred.,228.145,230.309
Sheila had school spirit.,230.829,234.175
 Sheila was exactly the kind of student that Dean McGowan wanted more of.,234.56,239.127
"And actually, Sheila and the Dean had recently collaborated to ban all outdoor drinking on campus, the infamous no more beer at barbecues rule.",239.848,249.563
Because Sheila thought drinking in public was in poor taste.,249.583,253.769
"So, I think you know what happens next.",255.492,259.158
I-Man emerged.,260.76,262.002
" from behind the late-night library dropbox, made his delivery, and fled away, crying, Ego sum non on fiesta.",262.252,271.764
"And that's what I reported in my story the next day in the Ram, which ran with a giant photo of Pieman leaping into the air and clicking his heels, with his cape flowing behind her.",272.786,285.161
And that's what made him a sensation on campus.,285.722,288.706
"People started dressing like him at parties,",289.086,291.87
 quoting him in class.,292.255,293.837
"The Ram ran five major stories about Pyman for the rest of that semester, all of them by me.",294.338,300.948
"And on the last day of campus, sorry, the last day of classes, I went off campus to a bar just to celebrate.",300.968,308.499
"And as I walked in, I saw out of the corner of my eye Angela from my Brit Lit class having a drink with a few of her friends.",308.519,316.251
"And now Angela and I had been flirting for months, or",316.311,321.098
" I actually had been flirting with her, and with such nuance that there was a question about whether she even knew I existed.",321.719,330.875
"So I saw her there and made a mental note to do nothing about it, and then I went to the bar and ordered a drink.",331.756,338.308
I felt a tap on my shoulder.,338.368,340.892
"I turned around, and it was her.",341.393,343.657
It was Angela.,343.677,344.959
" She said, Jim, we were just talking about how you always seem to know when and where Pieman will hit.",345.749,354.003
"So we were wondering, are you Pieman?",354.424,358.932
"And I knew, I knew by the way she asked me that if I said yes, she would have sex with me.",361.396,368.688
And wasn't I really Pieman?,368.708,371.453
 Hadn't I brought him into existence?,372.547,374.97
Didn't she only know about him because of me?,375.11,378.733
"But, actually, Angela had asked me a straightforward question that came with a straightforward answer.",378.754,385.22
I was not Pyman.,385.661,386.642
"As far as I knew, I had never met the God out of costume.",386.942,391.647
"So, I said, Yes, Angela, I am Pyman.",391.667,398.154
"She looked at me and she said, Oh, good.",399.675,402.098
 I was hoping you'd say that.,402.938,404.085
Now buy me a beer and tell me all about it.,405.553,408.51
