phrase,word,start,end
1,Let's,0.031,1.212
1,all,1.353,1.513
1,go,1.553,1.753
1,to,1.813,1.873
1,the,1.933,2.074
1,lobby.,2.234,3.175
2,Let's,3.656,3.976
2,all,4.096,4.256
2,go,4.316,4.497
2,to,4.577,4.637
2,the,4.697,4.837
2,lobby.,4.977,5.858
3,Let's,6.359,6.679
3,all,6.82,6.96
3,go,7.02,7.2
3,to,7.26,7.34
3,the,7.38,7.54
3,lobby,7.681,8.862
3,to,8.942,9.042
3,get,9.062,9.403
3,ourselves,9.523,10.064
3,a,10.184,10.224
3,treat.,10.284,10.544
4,Delicious,12.166,12.347
4,things,12.487,12.807
4,to,12.887,13.047
4,eat.,13.188,13.448
5,The,13.488,14.549
5,popcorn,14.589,15.17
5,can't,15.23,15.531
5,be,15.611,15.811
5,beat.,15.831,16.992
6,The,17.012,17.233
6,sparkling,17.273,17.894
6,drinks,17.934,18.234
6,are,18.374,18.434
6,just,18.494,18.594
6,dandy.,18.735,19.616
7,The,19.996,20.076
7,chocolate,20.116,20.597
7,bars,20.697,21.058
7,and,21.118,21.178
7,the,21.218,21.338
7,candy.,21.478,22.399
8,So,22.419,22.84
8,let's,22.94,23.24
8,all,23.38,23.541
8,go,23.601,23.801
8,to,23.861,23.941
8,the,23.981,24.141
8,lobby,24.262,25.223
8,to,25.563,25.663
8,get,25.683,26.004
8,ourselves,26.024,26.224
9,To,30.811,31.778
9,get,31.798,31.859
9,ourselves,32.483,33.632
9,a,33.773,33.874
9,treat,33.934,36.332
10,A,44.75,44.87
10,small,44.95,45.251
10,triangle,45.311,45.772
10,overlapping,45.812,46.553
10,a,46.573,46.593
10,smaller,46.773,47.154
10,circle,47.234,47.574
10,slides,47.775,48.155
10,into,48.216,48.416
10,a,48.476,48.496
10,rectangle.,48.576,49.077
11,The,49.758,49.838
11,triangle,49.878,50.259
11,touches,50.299,50.579
11,the,50.639,50.719
11,circle,50.76,51.06
11,which,51.12,51.26
11,glides,51.34,51.701
11,away.,51.861,52.142
12,The,52.222,52.302
12,triangle,52.362,52.743
12,slides,52.803,53.163
12,to,53.223,53.324
12,it,53.384,53.424
12,and,53.464,53.544
12,the,53.584,53.644
12,circle,53.684,53.945
12,moves,54.025,54.285
12,away.,54.365,54.646
13,The,54.766,54.846
13,triangle,54.886,55.267
13,comes,55.327,55.527
13,into,55.587,55.727
13,contact,55.788,56.208
13,with,56.248,56.348
13,the,56.368,56.429
13,circle,56.489,56.769
13,again,56.829,57.09
13,and,57.13,57.31
13,the,57.35,57.41
13,circle,57.47,57.751
13,ricochets,57.831,58.352
13,between,58.452,58.712
13,the,58.752,58.812
13,side,58.872,59.173
13,of,59.273,59.313
13,the,59.353,59.433
13,rectangle,59.493,60.014
13,and,60.114,60.195
13,the,60.215,60.295
13,triangle,60.355,60.795
13,several,60.916,61.216
13,times.,61.296,61.657
14,The,62.678,62.759
14,triangle,62.799,63.159
14,moves,63.239,63.52
14,in,63.6,63.64
14,a,63.7,63.72
14,ring,63.8,63.981
14,around,64.041,64.401
14,the,64.441,64.602
14,"circle,",64.662,65.022
14,rotating.,65.243,66.184
15,A,66.62,66.74
15,large,66.8,67.061
15,triangle,67.121,67.461
15,slides,67.501,67.842
15,towards,67.902,68.162
15,the,68.202,68.283
15,rectangle.,68.343,68.763
16,The,68.823,68.904
16,small,68.924,69.184
16,triangle,69.224,69.645
16,slides,69.705,70.045
16,outside,70.165,70.586
16,the,70.626,70.686
16,rectangle,70.746,71.187
16,until,71.307,71.588
16,it,71.708,71.748
16,is,71.808,71.868
16,adjacent,71.928,72.389
16,to,72.489,72.589
16,the,72.609,72.689
16,large,72.729,73.01
16,triangle.,73.09,73.751
17,After,73.771,73.971
17,"bouncing,",74.051,74.472
17,both,74.532,74.712
17,triangles,74.833,75.233
17,slide,75.273,75.714
17,out,75.834,75.934
17,of,75.994,76.035
17,the,76.075,76.155
17,scene.,76.195,76.455
18,The,76.696,76.776
18,rectangle,76.856,77.296
18,reassembles,77.337,78.078
18,into,78.098,78.438
18,a,78.478,78.518
18,square-like,78.558,79.119
18,structure,79.179,79.62
18,with,79.68,79.78
18,a,79.82,79.86
18,triangular,79.921,80.441
18,top,80.501,80.722
18,and,80.782,80.842
18,a,80.882,80.902
18,line,80.982,81.263
18,in,81.303,81.343
18,the,81.403,81.463
18,middle.,81.503,81.723
19,The,81.843,81.944
19,triangles,81.984,82.404
19,slide,82.505,82.805
19,into,82.865,83.045
19,the,83.085,83.146
19,structure,83.186,83.586
19,through,83.646,83.827
19,a,83.847,83.867
19,gap,83.947,84.187
19,in,84.267,84.307
19,the,84.347,84.427
19,bottom.,84.488,84.768
20,The,85.709,85.79
20,triangles,85.85,86.29
20,rotate,86.391,86.771
20,90,86.791,87.232
20,degrees.,87.272,87.713
21,The,88.073,88.153
21,small,88.213,88.494
21,triangle,88.554,88.934
21,slides,88.995,89.315
21,diagonally,89.375,89.936
21,to,89.996,90.076
21,the,90.096,90.176
21,upper,90.317,90.497
21,"right,",90.597,90.797
21,stopping,91.058,91.478
21,at,91.599,91.659
21,the,91.739,91.799
21,middle,91.859,92.079
21,line.,92.139,92.56
22,The,93.839,93.959
22,large,93.999,94.3
22,triangle,94.36,94.74
22,does,94.8,95.001
22,the,95.061,95.161
22,same.,95.221,95.481
23,The,96.222,96.302
23,triangles,96.342,96.723
23,rotate,96.823,97.203
23,so,97.324,97.424
23,their,97.464,97.604
23,top,97.664,97.884
23,corners,97.964,98.265
23,touch,98.325,98.625
23,and,99.747,99.827
23,then,99.847,99.967
23,the,100.007,100.067
23,small,100.127,100.428
23,triangle,100.488,100.848
23,rotates,100.948,101.349
23,so,101.389,101.449
23,the,101.509,101.569
23,top,101.629,101.869
23,corner,101.95,102.23
23,points,102.33,102.59
23,up.,102.791,102.871
24,The,103.532,103.632
24,large,103.672,103.992
24,triangle,104.072,104.433
24,slides,104.473,104.793
24,diagonally,104.833,105.394
24,down,105.474,105.775
24,and,105.915,105.995
24,rotates,106.095,106.536
24,in,106.696,106.776
24,place.,106.856,107.176
25,Both,107.417,107.617
25,triangles,107.677,108.138
25,move,108.238,108.498
25,"slightly,",108.538,108.979
25,up,109.219,109.279
25,and,109.419,109.519
25,"down,",109.6,109.92
25,up,109.98,110.301
25,and,110.541,110.641
25,down.,110.741,110.981
26,The,111.342,111.422
26,top,111.482,111.722
26,of,111.782,111.823
26,the,111.863,111.943
26,structure,112.003,112.403
26,rotates,112.483,112.924
26,open,113.124,113.344
26,and,113.465,113.545
26,the,113.585,113.665
26,small,113.725,114.005
26,triangle,114.065,114.446
26,moves,114.526,114.766
26,slowly,114.947,115.327
26,upwards,115.507,115.868
26,while,115.948,116.128
26,rotating.,116.208,116.809
27,The,123.37,123.51
27,structure,123.53,123.911
27,turns,123.971,124.211
27,into,124.271,124.491
27,a,124.511,124.531
27,large,124.772,125.092
27,V.,125.172,125.433
27,The,125.533,125.613
27,branches,125.653,125.953
27,of,125.993,126.033
27,the,126.073,126.153
27,V,126.213,126.414
27,rotate,126.594,126.974
27,up,127.095,127.155
27,and,127.235,127.315
27,down.,127.415,127.695
28,The,127.775,127.855
28,V,127.916,128.136
28,splits,128.216,128.516
28,into,128.576,128.737
28,two,128.817,128.997
28,smaller,129.097,129.497
28,Vs,129.538,129.818
28,and,129.938,130.018
28,the,130.038,130.118
28,triangle,130.178,130.619
28,moves,130.679,130.899
28,left,130.999,131.22
28,and,131.38,131.48
28,right,131.58,131.82
28,with,131.92,132.101
28,the,132.181,132.261
28,Vs.,132.301,132.641
28,"Again,",135.685,135.965
