phrase,word,start,end
1,Let's,0.031,1.212
1,all,1.353,1.513
1,go,1.553,1.753
1,to,1.813,1.873
1,the,1.933,2.074
1,lobby.,2.234,3.175
2,Let's,3.656,3.976
2,all,4.096,4.256
2,go,4.316,4.497
2,to,4.577,4.637
2,the,4.697,4.837
2,lobby.,4.977,5.858
3,Let's,6.359,6.679
3,all,6.82,6.96
3,go,7.02,7.2
3,to,7.26,7.34
3,the,7.38,7.54
3,lobby,7.681,8.862
3,to,8.942,9.042
3,get,9.062,9.403
3,ourselves,9.523,10.064
3,a,10.184,10.224
3,treat.,10.284,10.544
4,Delicious,12.166,12.347
4,things,12.487,12.807
4,to,12.887,13.047
4,eat.,13.188,13.448
5,The,13.488,14.549
5,popcorn,14.589,15.17
5,can't,15.23,15.531
5,be,15.611,15.811
5,beat.,15.831,16.992
6,The,17.012,17.233
6,sparkling,17.273,17.894
6,drinks,17.934,18.234
6,are,18.374,18.434
6,just,18.494,18.594
6,dandy.,18.735,19.616
7,The,19.996,20.076
7,chocolate,20.116,20.597
7,bars,20.697,21.058
7,and,21.118,21.178
7,the,21.218,21.338
7,candy.,21.478,22.399
8,So,22.419,22.84
8,let's,22.94,23.24
8,all,23.38,23.541
8,go,23.601,23.801
8,to,23.861,23.941
8,the,23.981,24.141
8,lobby,24.262,25.223
8,to,25.563,25.663
8,get,25.683,26.004
8,ourselves,26.024,26.224
9,To,30.811,31.778
9,get,31.798,31.859
9,ourselves,32.483,33.632
9,a,33.773,33.874
9,treat,33.934,36.332
10,A,44.75,44.87
10,young,44.93,45.171
10,boy,45.251,45.491
10,carrying,45.812,46.273
10,a,46.353,46.373
10,ball,46.433,46.694
10,goes,46.734,47.135
10,to,47.155,47.295
10,an,47.355,47.395
10,empty,47.515,47.756
10,playground,47.836,48.337
10,to,48.437,48.517
10,play,48.577,48.818
10,by,48.858,48.978
10,himself.,49.038,49.519
11,The,49.8,49.88
11,boy,49.92,50.1
11,kicks,50.201,50.461
11,the,50.541,50.621
11,ball,50.661,50.882
11,and,51.042,51.122
11,then,51.162,51.303
11,dashes,51.363,51.784
11,after,51.944,52.184
11,it.,52.265,52.325
12,He,52.445,52.545
12,lines,52.605,52.866
12,up,52.946,52.986
12,his,53.026,53.126
12,shot,53.186,53.407
12,and,53.487,53.567
12,kicks,53.627,53.868
12,the,53.888,54.008
12,ball,54.048,54.228
12,again.,54.288,54.509
13,The,54.769,54.85
13,boy,54.89,55.07
13,catches,55.17,55.511
13,up,55.611,55.711
13,to,55.751,55.831
13,the,55.852,55.952
13,ball,55.972,56.232
13,and,56.553,56.633
13,bounces,56.753,57.214
13,it,57.274,57.334
13,off,57.394,57.515
13,the,57.555,57.635
13,playground's,57.675,58.216
13,fences,58.296,58.677
13,several,58.777,59.118
13,"times,",59.198,59.579
13,passing,60.06,60.48
13,it,60.521,60.581
13,to,60.681,60.781
13,himself.,60.861,61.302
14,As,62.705,62.785
14,he,62.825,62.905
14,circles,63.025,63.406
14,the,63.426,63.546
14,"ball,",63.586,63.867
14,lining,64.168,64.508
14,up,64.588,64.649
14,his,64.709,64.829
14,next,64.889,65.15
14,"shot,",65.29,65.931
15,His,66.62,66.78
15,father,66.86,67.161
15,shows,67.241,67.501
15,up,67.621,67.701
15,and,67.802,67.882
15,calls,67.982,68.302
15,for,68.362,68.523
15,him.,68.563,68.763
16,The,68.783,68.863
16,boy,68.903,69.043
16,takes,69.103,69.304
16,one,69.324,69.604
16,final,69.704,69.985
16,kick,70.065,70.225
16,at,70.265,70.325
16,the,70.345,70.425
16,ball,70.465,70.705
16,before,70.786,71.046
16,leaving,71.106,71.406
16,the,71.426,71.527
16,playground,71.567,72.027
16,to,72.107,72.208
16,meet,72.288,72.508
16,his,72.548,72.648
16,waiting,72.708,72.989
16,father.,73.069,73.429
17,The,73.69,73.77
17,boy,73.79,73.99
17,and,74.05,74.13
17,his,74.17,74.25
17,father,74.29,74.551
17,exchange,74.651,75.071
17,a,75.111,75.151
17,few,75.212,75.352
17,words,75.412,75.692
17,and,75.832,75.913
17,leave.,75.953,76.313
18,The,76.674,76.754
18,boy,76.774,76.974
18,and,77.034,77.094
18,his,77.134,77.234
18,father,77.274,77.555
18,live,77.635,77.795
18,in,77.835,77.875
18,a,77.935,77.955
18,modest,78.035,78.436
18,two-story,78.596,79.197
18,home,79.257,79.477
18,with,79.537,79.638
18,a,79.698,79.718
18,pointed,79.798,80.118
18,roof.,80.198,80.479
19,After,81.921,82.141
19,arriving,82.161,82.742
19,"home,",82.762,83.102
19,they,83.242,83.363
19,have,83.383,83.503
19,a,83.543,83.563
19,short,83.643,83.883
19,"chat,",84.023,84.324
19,and,84.664,84.744
19,the,84.764,84.845
19,boy,84.885,85.065
19,turns,85.185,85.485
19,and,85.545,85.626
19,climbs,85.726,86.086
19,the,86.126,86.226
19,stairs,86.266,86.627
19,to,86.687,86.787
19,his,86.827,86.927
19,second-floor,86.987,87.568
19,bedroom.,87.628,88.189
20,His,93.822,93.982
20,father,94.042,94.323
20,"follows,",94.423,94.864
20,gives,95.084,95.305
20,his,95.365,95.465
20,son,95.505,95.665
20,a,95.725,95.745
20,goodnight,95.785,96.206
20,kiss,96.286,96.547
20,and,96.887,96.967
20,tucks,97.068,97.348
20,him,97.388,97.488
20,in,97.568,97.649
20,for,97.709,97.829
20,the,97.869,97.949
20,night.,98.029,98.27
21,While,99.672,99.812
21,the,99.852,99.912
21,boy,99.953,100.193
21,falls,100.293,100.594
21,"asleep,",100.694,101.094
21,his,101.135,101.315
21,father,101.395,101.736
21,walks,101.756,102.136
21,back,102.256,102.497
21,downstairs,102.637,103.318
21,to,103.378,103.499
21,his,103.539,103.679
21,bedroom,103.739,104.14
21,on,104.24,104.3
21,the,104.34,104.42
21,first,104.48,104.761
21,"floor,",104.861,105.181
21,climbs,105.883,106.263
21,into,106.323,106.504
21,bed,106.604,106.844
21,and,106.884,107.105
21,quickly,107.245,107.626
21,falls,107.726,108.066
21,asleep.,108.106,108.748
22,"Upstairs,",110.731,111.172
22,the,111.552,111.633
22,boy,111.693,111.893
22,begins,111.953,112.294
22,to,112.374,112.474
22,dream.,112.554,112.955
23,The,112.995,114.838
23,ceiling,114.938,115.359
23,opens,115.459,115.72
23,up,115.82,115.88
23,and,115.94,116.0
23,he,116.04,116.1
23,floats,116.26,116.621
23,into,116.701,116.882
23,the,116.922,117.022
23,sky,117.082,117.523
23,along,117.563,118.043
23,with,118.104,118.224
23,a,118.304,118.324
23,huge,118.424,118.825
23,bird.,118.985,119.526
24,High,122.543,122.784
24,above,122.864,123.085
24,"mountains,",123.125,123.607
24,the,123.647,123.969
24,boy,124.109,124.39
24,can,124.471,124.652
24,fly.,124.852,125.334
25,The,125.354,127.865
25,giant,127.925,128.246
25,bird,128.286,128.567
25,splits,128.688,129.029
25,into,129.09,129.25
25,two,129.351,129.511
25,smaller,129.632,130.033
25,birds,130.074,130.335
25,which,130.395,130.555
25,soar,130.676,130.937
25,across,131.058,131.499
25,the,131.58,131.66
25,sky,131.72,132.042
25,with,132.102,132.242
25,the,132.282,132.343
25,boy.,132.403,132.925
26,The,135.554,135.714
26,two,135.774,135.955
26,birds,136.015,136.335
26,become,136.416,136.796
26,four,136.977,137.257
26,birds.,137.317,137.678
27,The,138.139,138.219
27,boy,138.259,138.459
27,plays,138.599,139.04
27,with,139.12,139.261
27,the,139.301,139.381
27,"birds,",139.421,139.661
27,but,139.982,140.062
27,then,140.102,140.242
27,the,140.282,140.363
27,flock,140.403,140.703
27,gangs,140.883,141.244
27,up,141.364,141.444
27,on,141.565,141.605
