phrase,word,start,end
1,This,20.88,21.26
1,is,21.26,21.58
1,Los,21.58,21.74
1,"Angeles,",21.74,22.28
1,and,22.48,22.84
1,it's,22.84,23.08
1,the,23.08,23.18
1,height,23.18,23.44
1,of,23.44,23.6
1,summer.,23.6,23.9
1,In,24.08,24.54
1,a,24.54,24.66
1,small,24.66,24.98
1,bungalow,24.98,25.66
1,off,25.66,25.9
1,La,25.9,26.1
1,"Cienega,",26.1,26.7
1,Clara,26.84,27.44
1,serves,27.44,27.84
1,homemade,27.84,28.28
1,chili,28.28,28.76
1,and,28.76,29.0
1,chips,29.0,29.32
1,in,29.32,29.6
1,red,29.6,29.74
1,plastic,29.74,30.18
1,"bowls,",30.18,30.62
1,wine,30.86,31.42
1,in,31.42,31.7
1,blue,31.7,31.92
1,plastic.,31.92,32.42
1,The,32.68,33.12
1,colors,33.12,33.48
1,don't,33.48,33.86
1,"match,",33.86,34.06
1,and,34.16,34.28
1,the,34.28,34.38
1,cups,34.38,34.6
1,are,34.6,34.72
1,too,34.72,34.92
1,big,34.92,35.18
1,to,35.18,35.34
1,serve,35.34,35.58
1,wine.,35.58,35.96
2,You,36.12,36.74
2,didn't,36.74,37.04
2,get,37.04,37.2
2,half,37.2,37.4
2,the,37.4,37.56
2,things,37.56,37.78
2,on,37.78,37.9
2,my,37.9,38.1
2,"list,",38.1,38.38
2,she,38.5,38.68
2,hisses,38.68,39.02
2,at,39.02,39.18
2,Gary,39.18,39.42
2,as,39.42,39.62
2,he,39.62,39.78
2,passes.,39.78,40.14
3,He,40.84,40.9
3,shrugs.,40.9,41.44
3,No,41.5,42.06
3,one,42.06,42.3
3,seems,42.3,42.54
3,to,42.54,42.76
3,mind,42.76,43.02
3,but,43.02,43.24
3,her.,43.24,43.46
4,Did,44.2,44.28
4,you,44.28,44.4
4,have,44.4,44.52
4,to,44.52,44.66
4,buy,44.66,44.86
4,a $400,44.86,45.68
4,bottle,45.68,45.94
4,of,45.94,46.14
4,scotch?,46.14,46.6
5,Gary,47.18,47.4
5,waves,47.4,47.76
5,away,47.76,48.06
5,her,48.06,48.3
5,upset.,48.3,48.64
6,He,49.2,49.34
6,seems,49.34,49.6
6,"distracted,",49.6,50.14
6,guilty,50.54,51.16
6,of,51.16,51.34
6,something.,51.34,51.74
7,She,52.38,52.48
7,can,52.48,52.6
7,tell,52.6,52.84
7,by,52.84,53.0
7,the,53.0,53.1
7,way,53.1,53.34
7,he,53.34,53.5
7,avoids,53.5,53.9
7,her.,53.9,54.14
8,Clara,54.76,55.12
8,looks,55.12,55.34
8,at,55.34,55.52
8,her,55.52,55.64
8,face,55.64,55.98
8,in,55.98,56.22
8,the,56.22,56.36
8,hallway,56.36,56.64
8,mirror.,56.64,57.02
9,She's,57.06,57.7
9,33,57.7,57.92
9,years,57.92,58.34
9,old.,58.34,58.7
10,She's,59.08,59.22
10,slowly,59.22,59.52
10,getting,59.52,59.86
10,white,59.86,60.1
10,hairs,60.1,60.52
10,in,60.52,60.78
10,her,60.78,60.94
10,eyebrows.,60.94,61.26
11,She,62.18,62.34
11,feels,62.34,62.76
11,completely,62.76,63.32
11,alone.,63.32,64.06
12,Grad,64.88,65.16
12,students,65.16,65.54
12,fill,65.54,65.84
12,the,65.84,65.98
12,low-ceiling,65.98,66.46
12,"space,",66.46,66.86
13,chewing,67.26,67.44
13,big,67.44,67.7
13,words,67.7,68.12
13,and,68.12,68.36
13,gesticulating,68.36,69.12
13,emphatically.,69.12,69.78
14,Gary's,69.94,70.64
14,face,70.64,71.0
14,looks,71.0,71.3
14,up,71.3,71.48
14,from,71.48,71.64
14,the,71.64,71.72
14,photo,71.72,72.03
15,his,72.03,72.28
15,parents,72.28,72.64
15,have,72.64,72.86
15,framed,72.86,73.2
15,in,73.2,73.4
15,expensive,73.4,73.84
15,mahogany.,73.84,74.72
16,"Elated,",75.22,75.66
16,"graduating,",75.78,76.24
16,cap,76.64,76.86
16,and,76.86,77.08
16,gown,77.08,77.34
16,and,77.34,77.5
16,all.,77.5,77.76
17,Toast,77.78,78.54
17,and,78.54,78.72
17,more,78.72,78.94
17,toast.,78.94,79.28
18,To,79.52,80.12
18,our,80.12,80.24
18,doctor,80.24,80.5
18,of,80.5,80.76
18,"philosophy,",80.76,81.18
18,amazing,81.48,81.92
18,art,81.92,82.24
18,"prodigy,",82.24,82.72
19,to,82.72,83.14
19,Gary,83.14,83.4
19,Loewesen.,83.4,84.06
20,Clara's,85.0,85.58
20,"carefully-picked,",85.58,86.48
20,happy-graduation-vapor,86.56,88.04
20,banners,88.04,88.36
21,hang,88.36,89.16
21,too,89.16,89.4
21,low,89.4,89.7
21,from,89.7,89.92
21,the,89.92,90.06
21,adobe,90.06,90.44
21,doors.,90.44,90.82
22,People,91.54,91.7
22,have,91.7,91.96
22,to,91.96,92.2
22,duck,92.2,92.46
22,when,92.46,92.68
22,they,92.68,92.8
22,go,92.8,93.0
22,in,93.0,93.1
22,the,93.1,93.26
22,kitchen.,93.26,93.56
23,On,100.37,100.65
23,the,100.65,100.87
23,74th,100.87,101.53
23,in,101.53,101.63
23,"Columbus,",101.63,101.97
23,apartment,102.33,102.75
23,"9D,",102.75,103.57
