phrase,word,start,end
1,When,15.05,15.27
1,I,15.27,15.41
1,get,15.41,15.55
1,the,15.55,15.69
1,baton,15.69,16.09
1,to,16.09,16.23
1,run,16.23,16.39
1,the,16.39,16.51
1,anchor,16.51,16.81
1,leg,16.81,17.13
1,of,17.13,17.37
1,the,17.37,17.53
1,distance,17.53,17.83
1,medley,17.83,18.37
1,"relay,",18.37,18.61
1,that's,18.75,18.99
1,a,18.99,19.07
1,race,19.07,19.29
1,you,19.29,19.53
1,run,19.53,19.71
1,on,19.71,19.87
1,a,19.87,19.97
1,"track,",19.97,20.31
2,I'm,20.37,20.99
2,five,20.99,21.45
2,yards,21.45,22.11
2,behind,22.11,22.57
2,Vince,22.57,23.03
2,Mutarelli.,23.03,23.79
3,This,24.89,25.17
3,race,25.17,25.67
3,is,25.67,26.59
3,over.,26.59,26.99
4,You,27.11,27.49
4,can,27.49,27.59
4,have,27.59,27.77
4,a,27.77,27.87
4,hundred,27.87,28.31
4,yard,28.31,28.69
4,lead,28.69,29.03
4,on,29.03,29.31
4,Vince,29.31,29.53
4,"Mutarelli,",29.53,30.11
5,and,30.11,30.51
5,over,30.51,30.69
5,the,30.69,30.77
5,course,30.77,31.03
5,of,31.03,31.15
5,a,31.15,31.27
5,"mile,",31.27,31.59
5,he,31.71,32.05
5,would,32.05,32.23
5,reel,32.23,32.53
5,you,32.53,32.75
5,"in,",32.75,33.03
5,he,33.09,33.39
5,would,33.39,33.61
5,pass,33.61,33.95
5,"you,",33.95,34.29
5,and,34.39,34.69
5,he,34.69,34.93
5,would,34.93,35.23
5,win.,35.23,35.55
6,He,36.13,36.27
6,is,36.27,36.51
6,the,36.51,36.73
6,best,36.73,37.25
6,high,37.25,37.89
6,school,37.89,38.29
6,middle,38.29,38.59
6,distance,38.59,38.95
6,runner,38.95,39.39
6,in,39.39,39.83
6,the,39.83,39.97
6,Northeast,39.97,40.29
6,United,40.29,40.63
6,States.,40.63,40.96
7,His,40.96,41.95
7,nickname,41.95,42.39
7,is,42.39,43.39
7,La,43.39,43.59
7,Machine.,43.59,44.05
8,Because,45.15,45.43
8,he,45.43,45.59
8,runs,45.59,45.77
8,like,45.77,45.91
8,a,45.91,46.03
8,cyborg,46.03,46.51
8,and,46.51,46.65
8,he,46.65,46.81
8,never,46.81,47.13
8,gets,47.13,47.43
8,tired.,47.43,47.81
9,"Everyone,",48.95,49.15
9,there's,49.43,49.67
9,about,49.67,49.83
9,300,49.83,50.19
9,people,50.19,50.57
9,that,50.57,50.75
9,stands,50.75,50.93
9,around,50.93,51.35
9,the,51.35,51.47
9,track,51.47,51.65
9,that,51.65,51.81
9,day.,51.81,52.01
10,Everyone,52.01,52.35
10,knows,52.35,52.85
10,that,52.85,53.85
10,he,53.85,54.64
10,has,55.04,55.5
10,no,55.5,55.82
10,chance,55.82,56.24
10,of,56.24,56.78
10,being,56.78,57.14
10,beaten.,57.14,57.42
11,Except,58.5,58.76
11,one,58.76,59.08
11,guy.,59.08,59.64
12,One,60.34,60.52
12,guy,60.52,60.78
12,thinks,60.78,61.04
12,maybe,61.04,61.56
12,he,61.56,62.84
12,can,62.84,63.14
12,be,63.14,63.3
12,beaten.,63.3,63.54
13,And,64.0,64.08
13,that's,64.08,64.38
13,the,64.38,64.44
13,guy,64.44,64.84
13,who,64.84,65.7
13,should,65.7,65.88
