phrase,word,start,end
1,When,15.235,15.395
1,I,15.455,15.495
1,get,15.515,15.656
1,the,15.676,15.756
1,baton,15.816,16.236
1,to,16.256,16.297
1,run,16.357,16.497
1,the,16.537,16.597
1,anchor,16.737,17.018
1,leg,17.058,17.358
1,of,17.418,17.478
1,the,17.518,17.598
1,Distance,17.679,18.059
1,Medley,18.139,18.46
1,"Relay,",18.5,18.88
1,that's,18.9,19.081
1,a,19.141,19.161
1,race,19.241,19.461
1,you,19.501,19.601
1,run,19.641,19.842
1,on,19.922,19.962
1,a,19.982,20.002
1,"track,",20.082,20.543
1,I'm,20.923,20.983
1,five,21.224,21.624
1,yards,21.905,22.345
1,behind,22.465,22.786
1,Vince,22.926,23.246
1,Muterelli.,23.487,24.008
2,This,25.149,25.35
2,race,25.47,25.87
2,is,26.611,26.711
2,over.,26.972,27.312
3,You,27.453,27.553
3,could,27.593,27.733
3,have,27.773,27.893
3,a,27.953,27.973
3,hundred,28.013,28.534
3,yard,28.574,28.835
3,lead,29.075,29.155
3,on,29.375,29.475
3,Vince,29.556,29.776
3,"Muterelli,",29.796,30.557
3,and,30.577,30.637
3,over,30.697,30.797
3,the,30.857,30.918
3,course,30.978,31.198
3,of,31.238,31.278
3,a,31.298,31.318
3,"mile,",31.458,31.719
3,he,32.039,32.139
3,would,32.179,32.34
3,reel,32.46,32.72
3,you,32.76,32.9
3,"in,",33.041,33.141
3,he,33.461,33.541
3,would,33.581,33.762
3,pass,33.842,34.182
3,"you,",34.242,34.443
3,and,34.803,34.883
3,he,34.963,35.083
3,would,35.124,35.324
3,win.,35.464,35.724
4,He,36.285,36.445
4,is,36.566,36.646
4,the,36.766,36.886
4,best,37.026,37.387
4,high,37.928,38.128
4,school,38.168,38.508
4,middle,38.589,38.829
4,distance,38.869,39.209
4,runner,39.29,39.61
4,in,39.93,39.991
4,the,40.031,40.091
4,Northeast,40.151,40.571
4,United,40.631,40.972
4,States.,41.012,41.332
5,His,41.993,42.174
5,nickname,42.274,42.795
5,is,43.435,43.516
5,La,43.636,43.836
5,Machine.,43.856,44.517
6,Because,45.34,45.58
6,he,45.62,45.68
6,runs,45.741,45.901
6,like,45.941,46.041
6,a,46.081,46.121
6,cyborg,46.201,46.642
6,and,46.722,46.802
6,he,46.822,46.882
6,never,47.042,47.262
6,gets,47.363,47.543
6,tired.,47.583,48.124
7,"Everyone,",49.065,49.545
7,there's,49.585,49.766
7,about,49.806,49.966
7,300,49.986,50.206
7,people,50.466,50.687
7,that,50.747,50.887
7,stands,50.947,51.247
7,around,51.308,51.448
7,the,51.488,51.548
7,track,51.588,51.768
7,that,51.808,51.928
7,day.,51.968,52.149
8,Everyone,52.269,52.629
8,knows,52.689,53.01
8,that,53.05,53.991
8,he,54.031,55.513
8,has,55.573,55.713
8,no,55.753,55.993
8,chance,56.073,56.454
8,of,56.895,56.955
8,being,57.035,57.275
8,beaten.,57.395,57.635
9,Except,58.677,58.957
9,one,59.278,59.418
9,guy.,59.518,59.938
10,One,59.978,60.739
10,guy,60.779,60.94
10,thinks,60.98,61.18
10,maybe,61.4,61.881
10,he,61.901,61.941
10,can,63.082,63.343
10,be,63.363,63.483
10,beaten.,63.503,63.643
11,And,64.124,64.184
11,that's,64.224,64.424
11,the,64.464,64.584
11,guy,64.624,65.005
11,who,65.726,65.926
11,should,65.946,66.086
11,know,66.106,66.226
11,better.,66.266,66.507
12,It's,66.547,67.408
12,the,67.448,67.548
12,guy,67.588,67.748
12,with,67.768,67.888
12,the,67.908,67.968
12,baton,68.009,68.509
12,who's,69.13,69.33
12,five,69.45,69.651
12,yards,69.691,70.011
12,behind,70.472,70.812
12,him.,70.892,71.032
13,Why?,71.733,72.394
14,Why,73.623,74.126
14,did,74.186,74.347
14,I,74.388,74.428
14,think,74.468,74.71
14,that?,74.77,74.951
15,It's,75.032,75.152
15,weird,75.233,75.535
15,because,75.615,75.897
15,I'm,75.937,76.118
15,not,76.179,76.259
15,even,76.319,76.48
15,the,76.521,76.581
15,best,76.621,76.802
15,runner,76.883,77.165
15,on,77.185,77.507
15,my,77.567,77.708
15,high,77.808,77.889
15,school,77.909,78.171
15,team.,78.191,78.774
16,That's,78.794,78.935
16,a,78.996,79.036
16,guy,79.056,79.277
16,named,79.338,79.519
16,Tom,79.579,79.821
16,Novak.,79.861,80.545
17,but,81.132,81.372
17,he's,81.412,81.572
17,been,81.613,81.753
17,injured.,81.833,82.273
18,And,82.894,82.974
18,so,83.014,83.134
18,I've,83.254,83.394
18,known,83.434,83.655
18,for,83.695,83.815
18,about,83.855,84.055
18,a,84.115,84.155
18,month,84.275,84.556
18,that,84.796,84.936
18,I'll,85.036,85.196
18,be,85.216,85.316
18,running,85.376,85.657
18,this,85.717,85.877
18,anchor,85.997,86.257
18,"leg,",86.297,86.558
18,the,86.578,86.758
18,distance,86.798,87.359
18,medley,87.419,88.059
18,relay.,88.099,88.92
19,It,88.94,89.02
19,has,89.08,89.22
19,changed,89.361,89.741
19,me.,89.781,90.021
20,You,90.121,90.202
20,"know,",90.222,90.342
20,normally,90.362,90.762
20,I'm,90.782,91.423
20,sort,91.463,91.623
20,of,91.663,91.703
20,a,91.723,91.743
20,lazy,91.903,92.344
20,athlete.,92.384,93.605
21,I,93.625,93.705
21,just,93.745,93.885
21,coast,93.965,94.246
21,along,94.346,94.626
21,on,94.706,94.766
21,my,94.806,94.947
21,genetic,95.067,95.667
21,package.,96.368,96.889
22,I'm,96.949,97.089
22,a,97.109,97.129
22,skinny,97.149,97.449
22,guy,97.469,97.669
22,with,97.709,97.83
22,big,97.93,98.13
22,lungs.,98.21,98.53
23,"So,",98.891,99.171
23,you,99.331,99.391
23,"know,",99.411,99.591
23,I,99.611,99.712
23,skip,99.832,100.132
23,workouts.,100.192,100.873
24,I,100.893,100.973
24,don't,101.073,101.313
24,run,101.373,101.573
24,on,101.634,101.694
24,the,101.734,101.794
24,weekend.,101.834,102.274
25,But,102.595,102.755
25,when,102.775,102.895
25,I,102.995,103.135
25,hear,103.195,103.415
25,that,103.455,103.576
25,I'm,103.616,103.736
25,running,103.796,104.056
25,against,104.216,104.597
25,Vincent,104.617,104.877
25,"Minarelli,",104.897,105.438
25,it,105.698,105.798
25,turns,105.818,106.318
25,me,106.338,106.379
25,into,106.439,106.519
25,like,106.559,106.699
25,a,107.239,107.259
25,sports,107.279,107.98
25,movie,108.0,108.12
25,montage,108.22,109.282
25,guy.,109.642,109.722
26,I,109.702,110.403
26,am,110.423,110.543
26,running,110.784,111.164
26,all,111.405,111.525
26,the,111.585,111.645
26,"time,",111.765,112.246
26,every,112.426,112.626
26,day,112.666,112.807
26,of,112.827,112.867
26,the,112.887,112.947
26,"week,",113.007,113.187
26,and,113.247,113.327
26,I'm,113.367,113.488
26,throwing,113.548,113.948
26,in,114.028,114.109
26,extra,114.75,115.11
