phrase,word,start,end
1,I,8.43,8.69
1,began,8.69,8.95
1,my,8.95,9.13
1,illustrious,9.13,9.93
1,career,9.93,10.29
1,as,10.29,10.67
1,a,10.67,10.91
1,hard-boiled,10.91,11.51
1,reporter,11.51,11.97
1,in,11.97,12.41
1,the,12.41,12.53
1,"Bronx,",12.53,12.91
1,where,13.15,13.47
1,I,13.47,13.71
1,toiled,13.71,14.47
1,for,14.47,14.65
1,the,14.65,14.81
1,ramp,14.81,15.21
1,of,15.21,16.09
1,Fordham,16.09,17.01
1,University's,17.01,17.85
1,student,17.85,18.35
1,newspaper.,18.35,18.72
2,And,18.72,19.63
2,one,19.63,19.71
2,day,19.71,19.97
2,I'm,19.97,20.25
2,walking,20.25,20.55
2,toward,20.55,20.83
2,the,20.83,20.97
2,campus,20.97,21.29
2,"center,",21.29,21.65
2,and,21.73,21.85
2,out,21.85,22.03
2,comes,22.03,22.31
2,the,22.31,22.45
2,elusive,22.45,22.99
2,Dean,22.99,23.79
2,"McGowan,",23.79,24.55
2,architect,24.69,25.51
2,of,25.51,25.89
2,a,25.89,26.05
2,policy,26.05,26.41
2,to,26.41,26.67
2,replace,26.67,27.01
2,traditionally,27.01,27.79
2,the,27.79,29.03
2,"Fordhams,",29.03,29.81
2,traditionally,29.85,30.53
2,working,30.53,31.11
2,middle-class,31.11,32.21
2,"students,",32.21,32.59
2,with,32.77,33.33
2,"wealthier,",33.33,34.15
2,more,34.19,34.73
2,prestigious,34.73,35.13
2,ones.,35.13,35.63
3,So,35.75,36.25
3,I,36.25,36.39
3,rip,36.39,36.61
3,out,36.61,36.85
3,my,36.85,36.99
3,notebook,36.99,37.33
3,and,37.33,37.57
3,I,37.57,37.69
3,march,37.69,38.09
3,right,38.09,38.37
3,up,38.37,38.53
3,to,38.53,38.59
3,the,38.59,38.73
3,woman,38.73,38.83
3,and,38.83,38.95
3,I,38.95,39.09
3,"say,",39.09,39.19
4,Dean,39.89,40.05
4,"McGowan,",40.05,40.59
4,is,40.67,40.95
4,it,40.95,41.03
4,true,41.03,41.37
4,that,41.37,41.59
4,Fordham,41.59,42.09
4,plans,42.09,42.47
4,to,42.47,42.67
4,raise,42.67,42.99
4,tuition,42.99,43.35
4,substantially,43.35,43.91
4,above,43.91,44.37
4,the,44.37,44.51
4,inflation,44.51,44.85
4,rate?,44.85,45.17
5,And,45.45,45.53
5,if,45.53,45.65
5,"so,",45.65,46.03
5,would,46.13,46.59
5,that,46.59,46.75
5,be,46.75,46.87
5,a,46.87,46.99
5,betrayal,46.99,47.45
5,of,47.45,47.67
5,its,47.67,47.83
5,mission?,47.83,48.11
6,And,49.17,49.49
6,he,49.49,49.67
6,looks,49.67,49.89
6,at,49.89,50.05
6,me,50.05,50.23
6,"like,",50.23,50.45
6,what,50.51,50.91
6,are,50.91,51.41
6,you,51.41,51.67
6,talking,51.67,52.07
6,about?,52.07,52.47
7,And,53.07,53.55
7,then,53.55,54.33
7,right,54.33,54.61
7,then,54.61,54.83
7,out,54.83,54.95
7,of,54.95,55.05
7,the,55.05,55.13
7,corner,55.13,55.51
7,of,55.51,55.61
7,my,55.61,55.77
7,eye,55.77,56.09
7,comes,56.09,56.41
7,this,56.41,56.73
7,"blur,",56.73,57.37
8,which,58.21,58.35
8,becomes,58.35,58.77
8,the,58.77,59.09
8,figure,59.09,59.63
8,in,59.63,60.13
8,a,60.13,60.35
8,Lone,60.35,60.71
8,Ranger's,60.71,61.23
8,mask,61.23,61.55
8,standing,61.55,62.65
8,next,62.65,62.91
8,to,62.91,63.19
8,me,63.19,63.39
8,with,63.39,63.75
8,a,63.75,63.85
8,cream,63.85,64.07
8,"pie,",64.07,64.31
9,which,64.39,64.53
9,becomes,64.53,64.75
9,a,64.75,65.03
9,guy,65.03,65.55
9,with,65.55,66.49
9,a,66.49,66.67
9,cream,66.67,66.89
9,pie,66.89,67.25
9,that,67.25,67.71
9,he's,67.71,68.05
9,mashing,68.05,68.65
9,into,68.65,69.07
9,Dean,69.07,69.37
9,McGowan's,69.37,69.97
9,face.,69.97,70.27
10,And,71.71,71.99
10,then,71.99,72.25
10,runs,72.25,72.85
10,away.,72.85,73.25
11,Dean,75.07,75.25
11,is,75.25,76.17
11,covered,76.17,76.65
11,with,76.65,77.05
11,cream.,77.05,77.41
12,So,78.35,78.45
12,I,78.45,78.55
12,give,78.55,78.67
12,him,78.67,78.81
12,a,78.81,78.93
12,moment.,78.93,79.19
13,And,80.69,80.81
13,then,80.81,80.91
13,I,80.91,80.99
13,"say,",80.99,81.11
13,Dean,81.15,81.29
13,"McGowan,",81.29,81.77
13,would,81.85,81.97
13,you,81.97,82.07
13,care,82.07,82.23
13,to,82.23,82.43
13,comment,82.43,82.77
13,on,82.77,83.07
13,this,83.07,83.19
13,latest,83.19,83.45
13,attack?,83.45,83.83
14,And,84.99,85.11
14,he,85.11,85.21
14,"says,",85.21,85.43
14,"yes,",85.51,85.85
14,I,85.99,86.51
14,would,86.51,86.71
14,care,86.71,86.87
14,to,86.87,86.99
14,comment.,86.99,87.37
15,Screw,88.19,88.43
15,you.,88.43,89.27
16,And,90.37,90.51
16,now,90.51,90.67
16,I,90.67,90.77
16,race,90.77,91.09
16,back,91.09,91.35
16,to,91.35,91.55
16,the,91.55,91.65
16,newsroom,91.65,92.03
16,in,92.03,92.15
16,my,92.15,92.31
16,"scoop,",92.31,92.65
17,and,92.83,92.93
17,I,92.93,93.01
17,find,93.01,93.19
17,the,93.19,93.33
17,editor.,93.33,93.63
17,He's,93.77,94.31
17,a,94.31,94.35
17,guy,94.35,94.53
17,named,94.53,94.81
17,Jim,94.81,95.19
17,Dwyer.,95.19,95.87
17,He's,95.91,96.13
17,a,96.13,96.21
17,senior,96.21,96.51
17,and,96.51,96.69
17,he's,96.69,96.91
17,a,96.91,96.99
17,big,96.99,97.23
17,guy,97.23,97.43
17,and,97.43,97.57
17,he's,97.57,97.79
17,going,97.79,97.87
17,to,97.87,97.93
18,go,97.93,98.17
18,on,98.17,98.35
18,to,98.35,98.51
18,win,98.51,98.63
18,a,98.63,98.71
18,Pulitzer,98.71,98.99
18,Prize.,98.99,99.25
18,So,99.41,99.75
18,I,99.75,99.85
18,tell,99.85,100.03
18,him,100.03,100.19
18,what,100.19,100.27
18,I've,100.27,100.45
18,seen,100.45,100.63
18,and,100.63,100.75
18,I,100.75,100.87
18,pitch,100.87,101.03
18,him,101.03,101.19
18,my,101.19,101.33
18,story,101.33,101.75
18,and,101.75,102.17
18,he,102.17,102.35
18,"says,",102.35,102.57
19,Dean,102.95,103.09
19,"McGowan,",103.09,103.71
19,that,103.83,104.63
19,guy's,104.63,104.91
19,a,104.91,105.01
19,dick.,105.01,105.35
19,Write,105.55,106.01
19,it,106.01,106.17
19,up.,106.17,106.45
19,And,106.53,107.23
19,now,107.23,107.43
19,I'm,107.43,107.59
19,pounding,107.59,107.91
19,out,107.91,108.07
19,my,108.07,108.21
19,story,108.21,108.67
19,and,108.67,109.15
19,I,109.15,109.29
19,know,109.29,109.55
19,it's,109.55,109.79
19,good,109.79,110.05
20,but,111.13,111.25
20,then,111.25,111.43
20,I,111.43,111.55
20,start,111.55,111.97
20,to,111.97,112.21
20,make,112.21,112.47
20,it,112.47,112.75
20,better,112.75,113.93
20,by,113.93,114.74
20,adding,115.56,115.88
20,an,115.88,116.12
20,element,116.12,116.46
20,of,116.46,117.0
20,embellishment.,117.0,118.32
20,Now,118.44,118.86
20,reporters,118.86,119.34
20,call,119.34,119.92
20,this,119.92,120.28
21,making,120.42,121.24
21,stuff,121.24,121.72
21,up.,121.72,122.14
22,And,122.96,123.04
22,they,123.04,123.28
22,recommend,123.28,124.0
22,against,124.0,124.48
22,it.,124.48,124.88
23,But,125.88,126.04
24,I,126.82,126.94
24,had,126.94,127.32
24,just,127.32,127.78
24,seen,127.78,128.14
25,the,128.76,128.88
25,line,128.88,129.2
25,cross,129.2,129.52
25,between,129.52,129.88
25,a,129.88,130.04
25,salt,130.04,130.34
25,with,130.34,130.52
25,a,130.52,130.66
25,pastry,130.66,130.96
26,and,131.62,131.66
26,a,131.66,131.8
26,high-powered,131.8,132.26
26,"theme,",132.26,132.54
27,and,132.96,133.1
27,I,133.1,133.24
27,kind,133.24,133.54
27,of,133.54,133.88
27,liked,133.88,134.2
27,it.,134.2,134.34
28,So,134.34,134.58
28,the,134.58,134.66
28,first,134.66,134.98
28,thing,134.98,135.22
28,I,135.22,135.36
28,did,135.36,135.58
28,is,135.58,135.82
28,I,135.82,135.94
28,gave,135.94,136.24
28,the,136.24,136.4
28,figure,136.4,136.76
29,a,136.84,137.06
29,name.,137.06,137.4
29,I,137.56,137.98
29,called,137.98,138.26
29,him,138.26,138.44
29,PieBang.,138.44,139.0
30,Capital,139.08,139.3
30,"P,",139.3,139.52
30,capital,139.78,140.4
30,M.,140.4,140.82
31,And,141.32,141.42
31,I,141.42,141.56
31,described,141.56,141.88
31,him,141.88,142.16
31,as,142.16,142.3
31,a,142.3,142.37
32,"cape-wearing,",142.37,143.34
32,masked,143.4,143.86
32,avenger.,143.86,144.82
33,"Although,",145.7,145.98
34,"actually,",146.74,147.2
34,he'd,147.26,147.5
34,been,147.5,147.78
34,capeless.,147.78,148.34
35,and,149.14,149.34
35,I,149.34,149.48
35,said,149.48,149.74
35,that,149.74,150.2
35,as,150.2,150.5
35,he,150.5,150.76
36,fled,151.12,151.36
36,the,151.36,151.52
36,scene,151.52,151.8
36,he,151.8,152.04
36,clipped,152.04,152.62
36,his,152.62,152.86
37,heels,152.86,153.34
37,with,153.34,153.7
37,rakish,153.7,154.22
37,glee,154.22,154.62
38,and,156.01,156.21
38,then,156.21,156.41
38,I,156.41,156.51
38,gave,156.51,156.73
38,him,156.73,156.87
38,a,156.87,156.99
39,catchphrase,156.99,158.27
40,in,159.27,159.43
40,Latin.,159.43,159.81
40,I,159.97,160.5
40,said,161.32,161.58
40,that,161.58,161.71
41,as,161.71,161.88
41,he,161.88,162.0
41,sped,162.0,162.34
41,away,162.34,162.54
41,he,162.54,162.76
41,cried,162.76,163.08
42,ego,163.16,163.5
42,sum,163.5,164.0
42,non,164.0,164.78
42,an,164.78,164.98
42,bestia,164.98,165.76
43,which,166.66,166.68
43,means,166.68,167.0
44,I,167.52,167.9
44,am,167.9,168.26
44,not,168.26,168.62
44,an,168.62,168.98
44,animal,168.98,169.44
45,which,170.44,170.62
45,makes,170.62,171.03
46,no,171.03,171.7
46,sense.,171.7,172.24
47,Fordham,173.71,174.13
47,was,174.13,174.23
47,a,174.23,174.35
47,Catholic,174.35,174.65
47,school,174.65,174.99
47,and,174.99,175.27
48,we,175.27,175.67
48,all,175.67,175.99
48,thought,175.99,176.27
48,Latin,176.27,176.89
48,was,176.89,177.35
49,"classic,",177.51,177.99
49,so,178.11,178.35
49,that's,178.35,178.93
49,what,178.93,179.03
49,I,179.03,179.11
49,used.,179.11,179.39
50,And,180.43,180.51
50,when,180.51,180.65
50,I,180.65,180.77
50,finished,180.77,181.01
50,my,181.01,181.21
50,"story,",181.21,181.52
51,I,181.52,181.85
51,raced,181.85,182.51
51,back,182.51,182.79
51,to,182.79,182.99
51,"Dwyer,",182.99,183.29
52,and,183.29,183.53
52,I,183.53,183.59
52,showed,183.59,183.85
52,it,183.85,183.95
52,to,183.95,184.09
52,"him,",184.09,184.15
52,and,184.19,184.29
52,he,184.29,184.37
52,read,184.37,184.53
52,"it,",184.53,184.71
52,and,184.79,184.87
52,he,184.87,184.99
52,"said,",184.99,185.27
53,"Hi,",186.17,186.35
53,man.,186.47,186.79
54,I,187.91,188.11
54,love,188.11,188.47
54,it.,188.47,188.73
55,Page,189.41,189.69
55,one.,189.69,190.01
55,A,190.11,190.71
55,few,191.96,192.22
55,days,192.22,192.44
55,"later,",192.44,192.78
56,I,193.52,193.62
56,get,193.62,193.8
56,a,193.8,193.96
56,letter.,193.96,194.26
57,I,194.8,194.9
57,open,194.9,195.06
57,it,195.06,195.18
57,"up,",195.18,195.36
57,and,195.4,195.52
57,it,195.52,195.6
57,"says,",195.6,195.9
58,Dear,196.22,196.32
58,"Jim,",196.32,196.56
58,good,196.7,197.3
58,story.,198.07,198.49
59,Nice,198.89,198.97
59,details.,198.97,199.57
60,If,200.85,200.97
60,you,200.97,201.11
60,want,201.11,201.29
60,to,201.29,201.45
60,see,201.45,201.61
60,me,201.61,201.87
60,again,201.87,202.15
60,in,202.15,202.47
60,"action,",202.47,202.97
61,be,203.85,204.01
61,on,204.01,204.17
61,the,204.17,204.31
61,steps,204.31,204.63
61,of,204.63,204.75
62,the,204.75,204.87
62,Duane,204.87,205.09
62,Library,205.09,205.45
62,at,205.45,205.81
62,3,205.81,206.07
62,p.m.,206.07,206.57
63,on,206.83,206.93
63,Tuesday.,206.93,207.31
63,"Signed,",207.45,207.95
64,And,209.32,209.66
64,I,209.66,210.45
64,was,211.88,212.1
64,there,212.1,212.42
64,with,212.42,213.32
64,a,213.32,213.6
64,photographer,213.6,214.14
64,for,214.14,215.02
64,the,215.02,215.22
64,RAM.,215.22,215.5
65,And,215.56,215.74
65,sure,215.74,215.94
65,"enough,",215.94,216.44
65,out,216.56,217.16
65,comes,217.16,217.44
65,student,217.44,217.78
65,body,217.78,218.1
65,president,218.1,218.52
65,Sheila,218.52,219.16
65,Beale.,219.16,219.54
66,And,219.54,219.78
66,"now,",219.78,219.94
66,Sheila,220.02,221.12
66,Beale,221.12,221.56
66,was,221.56,221.88
66,different,221.88,222.46
66,from,222.46,222.7
66,the,222.7,222.78
66,rest,222.78,223.02
66,of,223.02,223.14
66,us,223.14,223.48
66,flannel,223.48,224.08
66,shirt,224.08,224.32
66,"wearing,",224.32,224.66
66,part-time,224.78,225.56
66,job,225.56,225.88
66,working,225.88,226.32
66,Fordham,226.32,227.02
66,students.,227.02,227.32
67,Sheila,228.04,228.24
67,was,228.24,228.76
67,well-bred.,228.76,230.12
68,Sheila,230.68,231.0
68,had,231.0,231.5
68,school,231.5,232.26
68,spirit.,232.26,233.34
69,Sheila,234.5,234.86
69,was,234.86,235.16
69,exactly,235.16,235.74
69,the,235.74,236.18
69,kind,236.18,236.42
69,of,236.42,236.6
69,student,236.6,236.84
69,that,236.84,237.1
69,Dean,237.1,237.32
69,McGowan,237.32,237.86
69,wanted,237.86,238.38
69,more,238.38,238.66
69,of.,238.66,238.94
70,And,239.54,239.78
70,"actually,",239.78,240.18
70,Sheila,240.34,240.92
70,and,240.92,241.1
70,the,241.1,241.26
70,dean,241.26,241.58
70,had,241.58,241.94
70,recently,241.94,242.34
70,collaborated,242.34,242.92
70,to,242.92,243.48
70,ban,243.48,243.8
70,all,243.8,244.44
70,outdoor,244.44,244.96
70,drinking,244.96,245.34
70,on,245.34,245.64
70,"campus,",245.64,246.02
71,the,246.06,246.32
71,infamous,246.32,246.72
71,no,246.72,247.14
71,more,247.14,247.46
71,beer,247.46,247.82
71,at,247.82,248.12
71,barbecues,248.12,248.62
71,"rule,",248.62,248.92
72,because,249.48,249.7
72,Sheila,249.7,250.02
72,thought,250.02,250.32
72,drinking,250.32,250.68
72,in,250.68,250.88
72,public,250.88,251.38
72,was,251.38,252.2
72,in,252.2,252.46
72,poor,252.46,252.86
72,taste.,252.86,253.36
73,"So,",255.26,255.54
73,I,255.66,256.32
73,think,256.32,256.68
73,you,256.68,256.82
73,know,256.82,257.22
73,what,257.22,257.98
73,happens,257.98,258.44
73,next.,258.44,258.82
74,Highman,260.43,260.99
74,emerged,260.99,261.57
74,from,261.57,262.33
74,behind,262.33,262.55
74,the,262.55,262.77
74,late,262.77,262.93
74,night,262.93,263.19
74,library,263.19,263.51
74,"dropbox,",263.51,264.33
75,made,264.89,265.03
75,his,265.03,265.29
75,"delivery,",265.29,265.77
75,and,265.89,266.17
75,fled,266.17,266.47
75,"away,",266.47,266.87
75,"crying,",266.99,267.53
76,Ego,268.31,268.77
76,sum,268.77,269.17
76,non,269.17,269.85
77,an,270.11,270.65
77,fista.,270.65,271.25
78,And,272.66,272.72
78,that's,272.72,273.26
78,what,273.26,273.34
78,I,273.34,273.46
78,reported,273.46,273.86
78,in,273.86,274.12
78,my,274.12,274.3
79,story,274.3,274.76
79,the,274.76,274.92
79,next,274.92,275.16
79,day,275.16,275.48
79,in,275.48,275.7
79,the,275.7,275.84
79,"RAM,",275.84,276.12
80,which,276.22,276.52
80,ran,276.52,276.74
80,with,276.74,276.92
80,a,276.92,277.06
80,giant,277.06,277.58
80,photo,277.58,277.98
80,of,277.98,278.22
81,Pie,278.22,278.48
81,Man,278.48,278.86
81,leaping,278.86,279.92
81,into,279.92,280.08
81,the,280.08,280.2
81,air,280.2,280.5
82,and,280.5,281.0
82,clicking,281.0,281.44
82,his,281.44,281.76
82,heels,281.76,282.08
83,with,282.76,282.86
83,his,282.86,283.1
83,cape,283.1,283.42
83,flowing,283.42,284.22
84,behind,284.24,284.6
84,her.,284.6,285.02
84,And,285.1,285.68
84,that's,285.68,286.3
84,what,286.3,286.39
85,made,286.39,286.6
85,him,286.6,286.78
85,a,286.78,286.9
85,sensation,286.9,287.52
85,on,287.52,288.04
85,campus.,288.04,288.44
86,People,289.02,289.16
86,started,289.16,289.5
86,dressing,289.5,290.02
86,like,290.02,290.37
87,him,290.37,290.68
87,at,290.68,290.84
87,parties,290.84,291.22
87,and,291.22,291.66
88,quoting,292.2,292.56
88,him,292.56,292.96
88,in,292.96,293.06
88,class.,293.06,293.56
89,The,294.22,294.38
89,RAM,294.38,294.66
89,ran,294.66,295.14
89,five,295.14,295.54
89,major,295.54,296.1
89,stories,296.1,296.44
90,about,296.56,296.72
90,pie,296.72,296.98
90,man,296.98,297.28
90,for,297.28,297.46
90,the,297.46,297.58
90,rest,297.58,297.78
90,of,297.78,297.88
90,that,297.88,298.04
90,semester,298.04,298.3
90,all,298.3,298.7
90,of,298.7,298.88
90,them,298.88,299.04
90,by,299.04,299.22
90,me,299.22,299.58
90,and,299.58,300.21
90,on,300.87,301.03
90,the,301.03,301.17
90,last,301.17,301.39
90,day,301.39,301.61
90,of,301.61,301.69
90,campus,301.69,301.99
90,sorry,301.99,302.85
91,the,302.87,303.07
91,last,303.07,303.29
91,day,303.29,303.53
91,of,303.53,303.61
91,classes,303.61,303.95
91,i,303.95,304.25
91,went,304.25,304.47
91,off,304.47,304.87
91,campus,304.87,305.19
91,to,305.19,305.49
91,a,305.49,305.63
91,bar,305.63,305.97
91,just,305.97,306.85
91,to,306.85,307.21
91,celebrate,307.21,308.09
91,and,308.09,308.45
91,as,308.45,308.61
91,i,308.61,308.73
91,walked,308.73,309.01
91,in,309.01,309.21
91,i,309.21,309.39
91,i,309.39,309.71
91,saw,309.71,310.2
92,out,310.2,310.39
92,of,310.39,310.47
92,the,310.47,310.55
92,corner,310.55,310.77
92,of,310.77,310.85
92,my,310.85,310.95
92,eye,310.95,311.29
92,angela,312.08,312.96
92,for,312.96,313.34
92,my,313.34,313.56
92,brit,313.56,313.82
92,lit,313.82,314.02
92,class,314.02,314.36
92,having,314.36,314.82
92,a,314.82,314.94
92,drink,314.94,315.2
92,with,315.2,315.34
92,a,315.34,315.38
92,few,315.38,315.6
92,of,315.6,315.72
92,her,315.72,315.82
92,friends,315.82,316.04
92,and,316.04,316.23
93,now,316.23,316.54
93,angela,316.54,317.46
93,and,317.46,317.6
93,i,317.6,317.86
93,had,317.86,317.94
93,been,317.94,318.24
93,flirting,318.24,318.94
93,for,318.94,319.56
93,months,319.56,320.02
93,or,320.02,320.82
93,she'd,320.82,321.9
93,been,321.9,322.16
93,i,322.16,323.14
93,i,323.14,323.7
93,actually,323.7,324.14
93,had,324.14,324.34
93,been,324.34,324.46
93,flirting,324.46,324.78
93,with,324.78,325.02
93,her,325.02,325.26
94,and,325.4,326.04
94,with,326.04,326.22
94,such,326.22,326.42
94,nuance,326.42,326.8
94,that,326.8,327.96
94,there,327.96,328.16
94,was,328.16,328.32
94,a,328.32,328.42
94,question,328.42,328.68
94,about,328.68,328.92
94,whether,328.92,329.16
94,she,329.16,329.4
94,even,329.4,329.7
94,knew,329.7,330.0
94,I,330.0,330.18
94,existed.,330.18,330.54
95,So,331.44,331.72
95,I,331.72,331.86
95,saw,331.86,332.12
95,her,332.12,332.32
95,there,332.32,332.58
95,and,332.58,332.76
95,made,332.76,332.96
95,a,332.96,333.06
95,mental,333.06,333.36
95,note,333.36,333.68
95,to,333.68,333.86
95,do,333.86,334.02
95,nothing,334.02,334.34
95,about,334.34,334.62
95,it.,334.62,334.9
96,And,335.46,335.62
96,then,335.62,335.78
96,I,335.78,335.86
96,went,335.86,336.04
96,to,336.04,336.18
96,the,336.18,336.26
96,bar,336.26,336.62
96,and,336.62,336.84
96,ordered,336.84,337.3
96,a,337.3,337.48
96,drink.,337.48,337.72
97,And,338.1,338.2
97,I,338.2,338.3
97,felt,338.3,338.64
97,a,338.64,338.86
97,tap,338.86,339.68
97,on,339.68,339.94
97,my,339.94,340.08
97,shoulder.,340.08,340.63
98,I,340.63,341.24
98,turned,341.24,341.48
98,around,341.48,341.9
98,and,341.9,342.18
98,it,342.18,343.04
98,was,343.04,343.2
98,her.,343.2,343.5
99,It,344.16,344.18
99,was,344.18,344.34
99,Angela.,344.34,344.58
100,She,345.66,345.84
100,"said,",345.84,346.12
100,"Jim,",346.16,346.44
100,we,346.52,346.78
100,were,346.78,346.98
100,just,346.98,347.16
100,talking,347.16,347.5
100,about,347.5,347.78
100,how,347.78,348.0
100,you,348.0,348.3
100,always,348.3,349.0
100,seem,349.0,349.64
100,to,349.64,349.78
100,know,349.78,350.18
100,when,350.18,351.04
100,and,351.04,351.68
100,where,351.68,352.24
100,pie,352.24,353.1
100,man,353.1,353.38
100,will,353.38,353.58
100,hit.,353.58,353.82
101,So,353.94,354.38
101,we,354.38,354.56
101,were,354.56,354.8
101,"wondering,",354.8,355.14
101,are,355.4,355.95
101,you,356.61,357.07
101,Pie,357.07,357.75
101,Man?,358.22,358.72
102,And,361.24,361.34
102,I,361.34,361.42
102,"knew,",361.42,361.8
102,I,361.86,362.08
102,knew,362.08,362.48
102,by,362.48,362.72
102,the,362.72,362.86
102,way,362.86,363.08
102,she,363.08,363.26
102,asked,363.26,363.58
102,me,363.58,363.82
102,that,363.82,364.14
102,if,364.14,364.3
102,I,364.3,364.44
102,said,364.44,364.66
102,"yes,",364.66,364.96
102,she,365.12,365.78
102,would,365.78,366.0
102,have,366.0,366.12
102,said,366.12,366.5
102,it.,366.5,366.64
103,And,368.42,368.64
103,wasn't,368.64,369.52
103,I,369.52,369.7
103,really,369.7,370.28
103,Pie,370.28,370.64
103,Man?,370.64,371.16
104,Hadn't,372.43,372.75
104,I,372.75,372.85
104,brought,372.85,373.29
104,him,373.29,373.67
104,into,373.67,374.07
104,existence?,374.07,374.51
105,Didn't,374.59,375.25
105,she,375.25,375.37
105,only,375.37,375.57
105,know,375.57,375.87
105,about,375.87,376.13
105,him,376.13,376.47
105,because,376.47,376.65
105,of,376.65,376.91
105,me?,376.91,377.11
106,But,378.63,378.87
106,"actually,",378.87,380.25
106,Angela,380.39,381.13
106,had,381.13,381.45
106,asked,381.45,381.71
106,me,381.71,381.99
106,a,381.99,382.25
106,straightforward,382.25,382.61
106,question.,382.61,383.13
107,I,383.63,383.83
107,gave,383.83,383.95
107,her,383.95,384.05
107,the,384.05,384.21
107,straightforward,384.21,384.49
107,answer.,384.49,384.99
108,but,385.13,385.29
108,I,385.29,385.55
108,was,385.55,385.75
108,not,385.75,385.97
108,Pymad.,385.97,386.47
