phrase,word,start,end
1,"Tonight,",0.031,0.492
1,a,0.792,0.832
1,story,0.872,1.213
1,by,1.273,1.433
1,Frederick,1.533,1.874
1,Pohl.,1.954,2.374
2,Tunnel,3.215,3.616
2,Under,3.856,4.057
2,the,4.117,4.197
2,World.,4.257,4.697
3,On,4.737,13.249
3,the,13.289,13.349
3,morning,13.409,13.73
3,of,13.89,13.97
3,June,14.05,14.451
3,"15th,",14.531,15.032
3,Guy,15.672,15.913
3,Burkhardt,15.973,16.534
3,woke,17.034,17.275
3,up,17.355,17.415
3,screaming.,17.956,18.456
4,It,22.382,22.442
4,was,22.502,22.662
4,more,22.762,23.003
4,real,23.103,23.443
4,than,23.503,23.623
4,any,23.724,23.864
4,dream,23.904,24.244
4,he,24.324,24.384
4,had,24.424,24.485
4,ever,24.585,24.725
4,had,24.785,24.945
4,in,25.025,25.065
4,his,25.125,25.226
4,life.,25.266,25.566
5,He,26.272,26.412
5,could,26.452,26.593
5,still,26.653,26.933
5,hear,27.033,27.314
5,and,27.414,27.514
5,feel,27.614,27.935
5,that,27.975,28.155
5,sharp,28.335,28.616
5,metal,28.876,29.217
5,ripping,29.337,29.637
5,"explosion,",29.717,30.318
5,that,30.379,30.879
5,searing,30.919,31.58
5,wave,31.781,32.121
5,of,32.181,32.221
5,heat.,32.302,33.383
6,He,33.403,33.503
6,sat,33.544,33.744
6,up.,33.844,33.904
7,Mary!,34.265,34.465
8,Mary!,35.467,35.747
9,Mary!,36.889,37.169
10,Mary!,37.269,37.61
11,Where,37.89,38.151
11,are,38.171,38.231
11,you?,38.251,38.331
12,"Guy,",38.972,39.473
12,what's,39.493,39.673
12,wrong?,39.854,40.254
13,You're,40.334,40.615
13,trembling.,40.655,41.276
14,Where,41.296,41.396
14,were,41.416,41.556
14,you?,41.596,41.717
15,In,41.897,41.957
15,the,41.997,42.077
15,kitchen,42.117,42.418
15,cooking,42.478,42.718
15,breakfast.,42.778,43.179
16,What,43.199,43.319
16,is,43.399,43.499
16,it?,43.6,43.68
17,I,44.681,44.701
17,don't,44.721,44.821
17,know.,44.842,45.062
18,A,45.082,45.102
18,"dream,",45.162,45.422
18,I,45.462,45.503
18,guess.,45.543,45.743
19,An,46.284,46.364
19,explosion.,46.424,46.945
20,Did,47.305,47.446
20,you,47.466,47.546
20,say,47.586,47.746
20,an,47.786,47.826
20,explosion?,47.886,48.427
21,Yes.,48.768,49.068
22,But,49.309,49.429
22,that's,49.869,50.11
22,the,50.19,50.25
22,dream,50.29,50.511
22,I,50.651,50.731
22,had.,50.791,51.031
23,What?,51.853,52.093
24,I,52.495,52.635
24,dreamed,52.675,52.876
24,there,52.896,52.996
24,was,53.016,53.096
24,a,53.156,53.176
24,big,53.236,53.376
24,explosion,53.456,54.017
24,and,54.057,54.117
24,then,54.358,54.478
24,something,54.558,54.839
24,sort,54.879,55.099
24,of,55.119,55.159
24,hit,55.379,55.54
24,me,55.6,55.68
24,on,55.76,55.8
24,the,55.84,55.94
24,head.,55.98,56.281
25,Holy,57.302,57.563
25,"smokes,",57.643,58.104
25,maybe,59.245,59.385
25,there,59.406,59.506
25,really,59.526,59.726
25,was,59.766,59.886
25,some,59.926,60.267
25,sort,60.307,60.447
25,of,60.487,60.527
25,explosion,60.547,61.048
25,at,61.108,61.148
25,the,61.188,61.288
25,start,61.348,61.609
25,of,61.629,61.669
25,the,61.709,61.809
25,streaming.,61.829,62.15
26,"Well,",63.031,63.211
26,there'll,63.231,63.472
26,be,63.492,63.552
26,an,63.592,63.632
26,explosion,63.692,64.173
26,down,64.233,64.393
26,at,64.453,64.493
26,your,64.533,64.674
26,office,64.734,64.974
26,if,65.014,65.054
26,you,65.094,65.194
26,don't,65.214,65.355
26,hurry,65.415,65.655
26,and,65.715,65.795
26,get,65.835,65.935
26,to,65.996,66.096
26,work.,66.136,66.376
27,THE,68.559,68.62
27,END,76.772,76.832
28,Coming,78.517,78.897
28,in,78.978,79.118
28,on,79.278,79.338
28,the,79.378,79.438
28,"bus,",79.478,79.799
28,Burkhardt,80.159,80.62
28,watched,80.7,81.0
28,to,81.04,81.1
28,see,81.16,81.361
28,if,81.461,81.541
28,there,81.581,81.721
28,was,81.761,81.881
28,any,81.921,82.302
28,evidence,82.382,82.803
28,of,82.883,82.943
28,an,83.003,83.043
28,explosion.,83.103,83.644
29,There,84.485,84.605
29,wasn't.,84.645,84.925
30,If,85.766,85.827
30,"anything,",85.887,86.247
30,the,86.267,86.387
30,town,86.447,86.668
30,looked,86.708,86.928
30,better,87.088,87.308
30,than,87.349,87.449
30,ever.,87.509,87.669
31,The,87.709,88.49
31,only,88.55,88.71
31,thing,88.77,88.931
31,that,88.951,89.111
31,seemed,89.171,89.571
31,strange,89.712,90.272
31,to,90.332,90.433
31,him,90.473,90.613
31,was,91.234,91.314
31,the,91.374,91.434
31,fact,91.474,91.634
31,that,91.654,91.774
31,none,91.854,91.995
31,of,92.055,92.095
31,the,92.135,92.255
31,usual,92.455,92.836
31,crowd,92.956,93.356
31,was,93.416,93.517
31,on,93.637,93.717
31,the,93.777,93.837
31,bus.,93.877,94.157
32,He,95.379,95.439
32,was,95.479,95.559
32,a,95.579,95.619
32,little,95.639,95.82
32,relieved,95.84,96.3
32,when,96.36,96.44
32,his,96.48,96.581
32,old,96.701,96.861
32,"pal,",96.961,97.382
32,Henry,97.482,97.802
32,"Swanson,",97.882,98.383
32,finally,98.483,98.824
32,got,98.884,99.044
32,on.,99.184,99.264
33,Excuse,101.026,101.367
33,me.,101.407,101.507
34,Henry!,102.508,102.869
35,Pardon,102.909,103.53
35,"me,",103.57,103.69
35,sir.,103.71,105.512
36,"Henry,",105.532,105.753
36,what's,105.773,105.893
36,the,105.933,105.993
36,matter,106.013,106.173
36,with,106.193,106.293
36,you?,106.333,106.434
37,It's,106.474,106.574
37,"me,",106.614,106.834
37,Guy,106.854,107.074
37,Burkhardt.,107.114,107.595
38,"Burkhardt,",108.132,108.653
38,"sorry,",109.113,109.373
38,I,109.393,109.413
38,don't,109.453,109.573
38,believe,109.613,109.814
38,we've,109.854,109.994
38,met.,110.034,110.194
39,What?,110.975,111.215
40,"Henry,",111.936,112.196
40,for,112.216,112.316
40,Pete's,112.376,112.597
40,"sake,",112.617,112.797
40,it's,112.817,112.917
40,me.,112.957,113.217
41,If,113.337,113.437
41,you'll,113.477,113.698
41,excuse,113.718,114.018
41,"me,",114.078,114.178
41,this,114.218,114.358
41,is,114.438,114.518
41,my,114.579,114.739
41,stop.,114.779,115.059
42,"Well,",115.419,115.58
42,I'll,115.6,115.7
42,be...,115.72,116.741
42,How,116.761,116.821
42,do,116.841,116.881
42,you,116.901,116.961
42,like,117.001,117.161
42,that?,117.241,117.441
43,Guy,125.109,125.269
43,Burkhardt,125.329,125.85
43,got,126.03,126.21
43,off,126.27,126.39
43,in,126.451,126.511
43,front,126.611,126.791
43,of,126.831,126.871
43,the,126.911,127.011
43,gigantic,127.051,127.612
43,Contro,127.672,128.032
43,Chemical,128.092,128.433
43,"building,",128.473,128.813
43,took,129.434,129.614
43,the,129.654,129.754
43,elevator,129.814,130.174
43,to,130.214,130.274
43,the,130.314,130.375
43,98th,130.395,130.955
43,floor,131.015,131.355
43,where,131.436,131.636
43,he,131.676,131.756
43,had,131.796,131.896
43,worked,131.956,132.196
43,in,132.256,132.336
43,the,132.377,132.577
43,accounting,132.597,132.997
43,department,133.037,133.518
43,for,133.558,133.678
43,12,133.698,134.118
43,years.,134.178,134.419
44,It,135.6,135.64
44,wasn't,135.66,135.96
44,until,136.02,136.24
44,he,136.28,136.341
44,was,136.381,136.481
44,almost,136.581,136.901
44,at,137.001,137.061
44,his,137.121,137.221
44,floor,137.281,137.802
45,that,138.22,138.4
45,he,138.44,138.48
45,realized,138.56,139.001
45,the,139.061,139.121
45,speaker,139.161,139.502
45,was,139.522,139.762
45,not,139.842,140.002
45,playing,140.122,140.463
45,the,140.543,140.623
45,usual,140.783,141.164
45,commercials.,141.244,143.246
46,"Friends,",143.266,143.607
46,are,143.727,143.827
46,you,143.867,143.987
46,happy,144.027,144.247
46,with,144.287,144.388
46,your,144.408,144.528
46,present,144.568,144.808
