phrase,word,start,end
1,"Tonight,",0.0,0.26
1,a,0.42,0.68
1,story,0.68,1.04
1,by,1.04,1.3
1,Frederick,1.3,1.66
1,Pohl.,1.66,2.14
2,Tunnel,3.12,3.48
2,Under,3.48,3.88
2,the,3.88,4.04
2,World.,4.04,4.46
3,On,12.98,13.08
3,the,13.08,13.2
3,morning,13.2,13.54
3,of,13.54,13.88
3,June,13.88,14.16
3,"15,",14.16,14.72
3,Guy,15.0,15.68
3,Burkhart,15.68,16.38
3,woke,16.38,17.06
3,up,17.06,17.36
3,screaming.,17.36,18.18
4,It,21.77,22.26
4,was,22.26,22.5
4,more,22.5,22.82
4,real,22.82,23.24
4,than,23.24,23.52
4,any,23.52,23.72
4,dream,23.72,24.06
4,he,24.06,24.26
4,had,24.26,24.42
4,ever,24.42,24.6
4,had,24.6,24.82
4,in,24.82,24.94
4,his,24.94,25.1
4,life.,25.1,25.34
5,He,26.12,26.3
5,could,26.3,26.48
5,still,26.48,26.8
5,hear,26.8,27.14
5,and,27.14,27.34
5,feel,27.34,27.72
5,that,27.72,28.04
5,sharp,28.04,28.46
5,metal,28.46,28.98
5,ripping,28.98,29.46
5,"explosion,",29.46,30.0
6,that,30.26,30.84
6,searing,30.84,31.36
6,wave,31.36,31.88
6,of,31.88,32.1
6,heat.,32.1,32.36
7,He,33.26,33.4
7,sat,33.4,33.6
7,up.,33.6,33.67
8,Mary.,33.67,34.28
9,Mary.,35.2,35.48
10,Mary!,36.56,36.96
11,Mary!,37.04,37.36
12,Where,37.78,37.86
12,are,37.86,38.0
12,you?,38.0,38.22
13,"God,",38.58,38.64
13,wrong.,38.74,38.87
14,You're,40.34,40.54
14,trembling.,40.54,40.8
15,Where,40.98,41.18
15,were,41.18,41.36
15,you?,41.36,41.44
16,In,41.44,41.86
16,the,41.86,41.94
16,"kitchen,",41.94,42.24
16,cooking,42.3,42.56
16,breakfast.,42.56,42.91
17,What,42.91,43.22
17,is,43.22,43.32
17,it?,43.32,43.58
18,I,44.52,44.6
18,don't,44.6,44.76
18,know.,44.76,44.86
19,A,44.86,45.04
19,"dream,",45.04,45.2
19,I,45.3,45.46
19,guess.,45.46,45.6
20,An,46.1,46.18
20,explosion.,46.18,46.6
21,Did,47.2,47.28
21,you,47.28,47.4
21,say,47.4,47.58
21,an,47.58,47.7
21,explosion?,47.7,48.08
22,Yes.,48.58,48.81
23,But,48.81,49.32
23,that's,49.32,50.02
23,the,50.02,50.12
23,dream,50.12,50.3
23,I,50.3,50.56
23,had.,50.56,50.88
24,What?,51.66,51.86
25,I,52.36,52.5
25,dreamed,52.5,52.76
25,there,52.76,52.92
25,was,52.92,53.02
25,a,53.02,53.1
25,big,53.1,53.3
25,"explosion,",53.3,53.72
26,and,53.98,54.12
26,then,54.12,54.38
26,something,54.38,54.68
26,sort,54.68,54.94
26,of,54.94,55.16
26,hit,55.16,55.34
26,me,55.34,55.58
26,on,55.58,55.7
26,the,55.7,55.82
26,head.,55.82,56.12
27,Holy,56.96,57.4
27,"smokes,",57.4,57.66
27,baby.,57.84,58.04
28,Maybe,58.9,59.26
28,there,59.26,59.38
28,really,59.38,59.58
28,was,59.58,59.82
28,some,59.82,60.04
28,sort,60.04,60.32
28,of,60.32,60.46
28,explosion,60.46,60.78
29,and,60.88,61.1
29,it,61.1,61.2
29,started,61.2,61.52
29,us,61.52,61.68
29,dreaming.,61.68,61.94
30,"Well,",62.7,63.02
30,there'll,63.12,63.34
30,be,63.34,63.44
30,an,63.44,63.54
30,explosion,63.54,63.88
30,down,63.88,64.22
30,at,64.22,64.36
30,your,64.36,64.52
30,office,64.52,64.75
31,if,64.75,65.0
31,you,65.0,65.08
31,don't,65.08,65.32
31,hurry,65.32,65.48
31,and,65.48,65.64
31,get,65.64,65.8
31,to,65.8,65.98
31,work.,65.98,66.22
32,Coming,67.53,69.65
32,in,78.59,78.97
32,on,78.97,79.17
32,the,79.17,79.33
32,"bus,",79.33,79.63
32,Burkhart,79.79,80.49
32,watched,80.49,80.81
32,to,80.81,81.01
32,see,81.01,81.25
32,if,81.25,81.47
32,there,81.47,81.57
32,was,81.57,81.83
32,any,81.83,82.11
32,evidence,82.11,82.49
