phrase,word,start,end
1,I,14.8,15.04
1,began,15.04,15.36
1,my,15.36,15.56
1,illustrious,15.56,16.26
1,career,16.26,16.58
1,in,16.58,17.08
1,journalism,17.08,17.46
1,in,17.46,18.32
1,the,18.32,18.6
1,"Bronx,",18.6,18.92
1,where,19.06,19.28
1,I,19.28,19.42
1,toiled,19.42,19.9
1,as,19.9,20.3
1,a,20.3,20.5
1,hardballed,20.5,21.12
1,reporter,21.12,21.44
1,for,21.44,22.12
1,The,22.12,22.26
1,"Ram,",22.26,22.56
2,the,23.73,23.97
2,student,23.97,24.31
2,newspaper,24.31,24.91
2,at,24.91,25.29
2,Fordham,25.29,25.63
2,University.,25.63,25.99
3,And,26.95,27.09
3,one,27.09,27.21
3,day,27.21,27.39
3,I'm,27.39,27.57
3,walking,27.57,27.75
3,toward,27.75,27.93
3,the,27.93,28.07
3,campus,28.07,28.27
3,"center,",28.27,28.61
3,and,28.71,29.05
3,out,29.05,29.17
3,comes,29.17,29.45
3,the,29.45,29.57
3,elusive,29.57,30.13
3,Dean,30.13,30.81
3,"McGowan,",30.81,31.39
4,architect,32.23,32.51
4,of,32.51,32.81
4,a,32.81,32.99
4,policy,32.99,33.43
4,to,33.43,34.09
4,replace,34.09,34.45
4,Fordham's,34.45,35.15
4,traditionally,35.15,35.47
4,working-to-middle-class,35.47,37.53
4,students,37.53,37.91
4,with,37.91,38.81
4,"wealthier,",38.81,39.69
4,more,39.71,39.95
4,prestigious,39.95,40.41
4,ones.,40.41,40.85
5,So,41.69,42.25
5,I,42.25,42.39
5,whip,42.39,42.55
5,out,42.55,42.67
5,my,42.67,42.81
5,notebook,42.81,43.05
5,and,43.05,43.19
5,I,43.19,43.31
5,go,43.31,43.41
5,up,43.41,43.51
5,to,43.51,43.65
5,him,43.65,43.75
5,and,43.75,43.81
5,I,43.81,43.93
5,"say,",43.93,44.09
6,Dean,44.09,44.29
6,"McGowan,",44.29,44.77
6,is,44.89,45.45
6,it,45.45,45.59
6,true,45.59,45.95
6,that,45.95,46.15
6,Fordham,46.15,46.47
6,University,46.47,46.69
6,plans,46.69,47.13
6,to,47.13,47.29
6,raise,47.29,47.57
6,tuition,47.57,47.91
6,substantially,47.91,48.49
6,above,48.49,48.91
6,the,48.91,49.07
6,inflation,49.07,49.37
6,rate?,49.37,49.77
7,And,49.77,50.07
7,if,50.07,50.21
7,"so,",50.21,50.63
7,wouldn't,50.73,51.35
7,that,51.35,51.45
7,be,51.45,51.55
7,a,51.55,51.67
7,betrayal,51.67,51.95
7,of,51.95,52.23
7,its,52.23,52.37
7,mission?,52.37,52.65
8,And,54.39,54.71
8,he,54.71,54.85
8,stops,54.85,55.25
8,and,55.25,55.49
8,looks,55.49,55.69
8,at,55.69,55.83
8,me,55.83,56.07
8,and,56.07,56.27
8,he,56.27,57.27
8,"says,",57.27,57.53
8,listen,57.65,58.77
8,"up,",58.77,58.99
8,punk.,58.99,59.35
9,And,59.75,59.89
9,right,59.89,60.07
9,then,60.07,60.41
9,there's,60.41,60.71
9,a,60.71,60.79
9,blur,60.79,61.17
9,in,61.17,61.81
9,the,61.81,61.95
9,corner,61.95,62.19
9,of,62.19,62.29
9,my,62.29,62.39
9,eye,62.39,62.57
9,which,62.57,62.71
9,becomes,62.71,62.99
9,this,62.99,63.35
9,figure,63.35,63.93
9,holding,63.93,64.81
9,a,64.81,64.97
9,cream,64.97,65.19
9,pie,65.19,65.53
10,which,65.61,65.75
10,becomes,65.75,66.09
10,the,66.09,66.33
10,guy,66.33,66.79
10,standing,66.79,67.65
10,next,67.65,67.95
10,to,67.95,68.23
10,me,68.23,68.45
11,mashing,69.15,69.55
11,a,69.55,69.65
11,cream,69.65,69.95
11,pie,69.95,70.25
11,into,70.25,70.67
11,Dean,70.67,70.87
11,McGowan's,70.87,71.39
11,face,71.39,71.53
12,and,71.53,72.56
12,then,73.64,73.94
12,runs,73.94,74.28
12,away.,74.28,74.64
13,And,77.17,77.51
13,the,77.51,77.63
13,dean,77.63,77.91
13,is,77.91,78.23
13,covered,78.23,79.35
13,with,79.35,79.59
13,cream.,79.59,79.79
14,So,82.06,82.36
14,I,82.36,82.5
14,give,82.5,82.62
14,him,82.62,82.74
14,a,82.74,82.82
14,"moment,",82.82,83.1
15,and,85.32,85.6
15,then,85.6,85.72
15,I,85.72,85.82
