text,start,end
" I began my illustrious career in journalism in the Bronx, where I toiled as a hardballed reporter for The Ram,",14.8,22.56
 the student newspaper at Fordham University.,23.73,25.99
" And one day I'm walking toward the campus center, and out comes the elusive Dean McGowan,",26.95,31.39
" architect of a policy to replace Fordham's traditionally working-to-middle-class students with wealthier, more prestigious ones.",32.23,40.85
" So I whip out my notebook and I go up to him and I say,",41.69,44.09
" Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate?",44.09,49.77
" And if so, wouldn't that be a betrayal of its mission?",49.77,52.65
" And he stops and looks at me and he says, listen up, punk.",54.39,59.35
 And right then there's a blur in the corner of my eye which becomes this figure holding a cream pie,59.75,65.53
 which becomes the guy standing next to me,65.61,68.45
 mashing a cream pie into Dean McGowan's face,69.15,71.53
 and then runs away.,71.53,74.64
 And the dean is covered with cream.,77.17,79.79
" So I give him a moment,",82.06,83.1
" and then I say,",85.32,85.92
" Dean McGowan, would you care to comment on this latest attack?",85.92,88.4
" And the dean says, yes.",91.72,92.64
 I would care to comment.,93.46,94.28
 Fuck you.,95.16,95.92
" So I race back to the newsroom with my scoop,",97.85,99.98
" and I find the editor, Jim Dwyer,",99.98,103.03
" who's a senior, and he will go on to win a Pulitzer Prize. That is true. And he's a big",103.11,108.49
" guy. I pitch him my story. I tell him what I've seen. And he says, Dean McGowan, that",108.49,115.12
" guy's a dick. Write it up. So I'm banging out my story, and I know it's good. And then",115.12,120.65
 I start to make it better by adding an element of embellishment. Reporters call this making,120.65,131.57
 shit up. And they recommend against crossing that line. But I had just seen the line crossed,131.69,142.35
 between a high-powered dean and a salt with a pastry. And I kind of liked it. So the first,142.43,149.07
" thing I did was I gave the figure a name. I called him Pie Man, capital P, capital M.",149.07,154.53
" And I described him as a cape-wearing masked Avenger. Though in fact, he'd been capeless.",155.25,160.93
" And I said that as he fled the scene, he clicked his heels in rakish glee.",161.09,165.87
 And I gave him a catchphrase in Latin.,169.01,172.03
" I said that he cried out,",175.47,176.67
" Ego sum non an bestia,",177.19,180.15
" which means I am not an animal,",181.69,184.31
 which makes no sense.,185.97,187.61
 I needed something.,189.68,190.56
 I'm Catholic. Latin just comes to me.,191.38,193.3
" So I finished my story, and I hand it to Dwyer,",195.18,197.42
" and he reads it and he says,",197.48,198.56
 Pie Man? I love it. Page one.,199.38,202.2
 And that's how the first line got crossed.,204.49,207.35
" A few days later, I get a letter.",209.41,210.63
" It says, Dear Jim, good story, nice details.",211.97,215.03
" If you want to see me again in action,",216.25,218.47
 be on the steps of Duane Library Tuesday at 3 o'clock.,219.25,222.71
" Signed, Pie Man.",223.82,225.8
 So I was there with a photographer from the RAM.,225.98,232.22
" And sure enough, out comes Sheila Beal, student body president.",232.94,236.86
 And now Sheila was different from me and all the other Fordham students who wore flannel shirts and worked part-time jobs.,238.1,243.88
 Sheila was well-bred.,244.9,246.76
 Sheila had school spirit.,247.34,249.4
 Sheila was the kind of student that Dean McGowan wanted more of.,251.68,254.36
" Although rumor had it that he got plenty of her in his office, on his desk.",255.37,259.95
 But that's just a rumor. Please do not spread it outside this room.,261.93,264.87
 I myself would never say that.,265.89,267.39
" But the fact was, Sheila had collaborated with the dean to ban outdoor drinking on campus.",268.39,274.04
" The infamous no more beer at barbecues rule. That's right, boo that rule.",274.04,278.51
 Sheila thought drinking in public was in poor taste.,281.37,284.09
 I think you know what happened next.,286.24,288.18
" Pieman emerged from behind the late night library drop box, made his delivery, and fled away,",289.81,296.5
" crying, ego sum non albistia.",297.81,300.99
" Or at least that's what it said in my story in the newspaper the next day,",303.63,306.97
" which ran with a photo of him leaving the scene, cape flowing behind him, doing this.",308.22,314.28
 And that's what made him a sensation on campus.,317.36,320.38
 People started dressing like him and quoting him in class.,320.78,324.12
" The Ram ran five major stories about pie man, all of them by me.",324.86,328.34
" And towards the end of this run, I was out at a bar one night,",329.9,332.0
" and I saw, I came in, I saw in the corner Angela from my Brit Lit class,",332.0,338.08
 drinking with some friends.,338.7,339.56
" And now Angela and I had been flirting for two months,",340.18,342.64
" or I had been flirting with her,",343.84,346.1
 and was such nuanced that there was a question about whether she knew I existed.,347.66,351.62
 So I saw her there and made a mental note to do nothing about it.,354.13,357.29
" And then I went to the bar to buy a round,",358.74,361.63
" and I felt a tap on my shoulder, and it was her.",361.63,365.89
" And she said,",367.38,367.82
" Jim, we were just talking about how you always seem to know",369.32,372.52
 when and where pie man will strike.,373.14,375.7
" and we were wondering, are you Pie Man?",375.9,380.74
" And I knew by the way she said it,",383.53,385.3
" I knew that if I said yes, she would have sex with me.",385.3,389.03
 And wasn't I really Pie Man for having brought him into being?,392.04,400.5
 Didn't she only know about him through me?,400.56,402.88
 But she had asked me a straightforward question,404.95,406.79
 that came with a straightforward answer.,407.51,408.87
" In fact, I wasn't Pie Man as far as I knew.",409.01,412.15
 I had never seen the guy out of costume.,412.21,414.73
" So I looked at her and I said, yes Angela, I am Pie Man.",416.0,422.43
" And she said, oh good, now buy me a beer and tell me all about it.",424.74,429.46
