text,start,end
" I began my illustrious career as a hard-boiled reporter in the Bronx, where I toiled for the ramp of Fordham University's student newspaper.",8.43,18.72
" And one day I'm walking toward the campus center, and out comes the elusive Dean McGowan, architect of a policy to replace traditionally the Fordhams, traditionally working middle-class students, with wealthier, more prestigious ones.",18.72,35.63
" So I rip out my notebook and I march right up to the woman and I say,",35.75,39.19
" Dean McGowan, is it true that Fordham plans to raise tuition substantially above the inflation rate?",39.89,45.17
" And if so, would that be a betrayal of its mission?",45.45,48.11
" And he looks at me like, what are you talking about?",49.17,52.47
" And then right then out of the corner of my eye comes this blur,",53.07,57.37
" which becomes the figure in a Lone Ranger's mask standing next to me with a cream pie,",58.21,64.31
 which becomes a guy with a cream pie that he's mashing into Dean McGowan's face.,64.39,70.27
 And then runs away.,71.71,73.25
 Dean is covered with cream.,75.07,77.41
 So I give him a moment.,78.35,79.19
" And then I say, Dean McGowan, would you care to comment on this latest attack?",80.69,83.83
" And he says, yes, I would care to comment.",84.99,87.37
 Screw you.,88.19,89.27
" And now I race back to the newsroom in my scoop,",90.37,92.65
 and I find the editor. He's a guy named Jim Dwyer. He's a senior and he's a big guy and he's going to,92.83,97.93
" go on to win a Pulitzer Prize. So I tell him what I've seen and I pitch him my story and he says,",97.93,102.57
" Dean McGowan, that guy's a dick. Write it up. And now I'm pounding out my story and I know it's good",102.95,110.05
 but then I start to make it better by adding an element of embellishment. Now reporters call this,111.13,120.28
 making stuff up.,120.42,122.14
 And they recommend against it.,122.96,124.88
 But,125.88,126.04
 I had just seen,126.82,128.14
 the line cross between a salt with a pastry,128.76,130.96
" and a high-powered theme,",131.62,132.54
 and I kind of liked it.,132.96,134.34
 So the first thing I did is I gave the figure,134.34,136.76
 a name. I called him PieBang.,136.84,139.0
" Capital P, capital M.",139.08,140.82
 And I described him as a,141.32,142.37
" cape-wearing, masked avenger.",142.37,144.82
" Although,",145.7,145.98
" actually, he'd been capeless.",146.74,148.34
 and I said that as he,149.14,150.76
 fled the scene he clipped his,151.12,152.86
 heels with rakish glee,152.86,154.62
 and then I gave him a,156.01,156.99
 catchphrase,156.99,158.27
 in Latin. I said that,159.27,161.71
 as he sped away he cried,161.71,163.08
 ego sum non an bestia,163.16,165.76
 which means,166.66,167.0
 I am not an animal,167.52,169.44
 which makes,170.44,171.03
 no sense.,171.03,172.24
 Fordham was a Catholic school and,173.71,175.27
 we all thought Latin was,175.27,177.35
" classic, so that's what I used.",177.51,179.39
" And when I finished my story,",180.43,181.52
" I raced back to Dwyer,",181.52,183.29
" and I showed it to him, and he read it, and he said,",183.29,185.27
" Hi, man.",186.17,186.79
 I love it.,187.91,188.73
" Page one. A few days later,",189.41,192.78
 I get a letter.,193.52,194.26
" I open it up, and it says,",194.8,195.9
" Dear Jim, good story.",196.22,198.49
 Nice details.,198.89,199.57
" If you want to see me again in action,",200.85,202.97
 be on the steps of,203.85,204.75
 the Duane Library at 3 p.m.,204.75,206.57
" on Tuesday. Signed,",206.83,207.95
 And I was there with a photographer for the RAM.,209.32,215.5
" And sure enough, out comes student body president Sheila Beale.",215.56,219.54
" And now, Sheila Beale was different from the rest of us flannel shirt wearing, part-time job working Fordham students.",219.54,227.32
 Sheila was well-bred.,228.04,230.12
 Sheila had school spirit.,230.68,233.34
 Sheila was exactly the kind of student that Dean McGowan wanted more of.,234.5,238.94
" And actually, Sheila and the dean had recently collaborated to ban all outdoor drinking on campus,",239.54,246.02
" the infamous no more beer at barbecues rule,",246.06,248.92
 because Sheila thought drinking in public was in poor taste.,249.48,253.36
" So, I think you know what happens next.",255.26,258.82
" Highman emerged from behind the late night library dropbox,",260.43,264.33
" made his delivery, and fled away, crying,",264.89,267.53
 Ego sum non,268.31,269.85
 an fista.,270.11,271.25
 And that's what I reported in my,272.66,274.3
" story the next day in the RAM,",274.3,276.12
 which ran with a giant photo of,276.22,278.22
 Pie Man leaping into the air,278.22,280.5
 and clicking his heels,280.5,282.08
 with his cape flowing,282.76,284.22
 behind her. And that's what,284.24,286.39
 made him a sensation on campus.,286.39,288.44
 People started dressing like,289.02,290.37
 him at parties and,290.37,291.66
 quoting him in class.,292.2,293.56
 The RAM ran five major stories,294.22,296.44
 about pie man for the rest of that semester all of them by me and on the last day of campus sorry,296.56,302.85
 the last day of classes i went off campus to a bar just to celebrate and as i walked in i i saw,302.87,310.2
 out of the corner of my eye angela for my brit lit class having a drink with a few of her friends and,310.2,316.23
 now angela and i had been flirting for months or she'd been i i actually had been flirting with her,316.23,325.26
 and with such nuance that there was a question about whether she even knew I existed.,325.4,330.54
 So I saw her there and made a mental note to do nothing about it.,331.44,334.9
 And then I went to the bar and ordered a drink.,335.46,337.72
 And I felt a tap on my shoulder.,338.1,340.63
 I turned around and it was her.,340.63,343.5
 It was Angela.,344.16,344.58
" She said, Jim, we were just talking about how you always seem to know when and where pie man will hit.",345.66,353.82
" So we were wondering, are you Pie Man?",353.94,358.72
" And I knew, I knew by the way she asked me that if I said yes, she would have said it.",361.24,366.64
 And wasn't I really Pie Man?,368.42,371.16
 Hadn't I brought him into existence?,372.43,374.51
 Didn't she only know about him because of me?,374.59,377.11
" But actually, Angela had asked me a straightforward question.",378.63,383.13
 I gave her the straightforward answer.,383.63,384.99
 but I was not Pymad.,385.13,386.47
" As far as I knew, I had never met the guy out of costume.",386.79,389.69
" So I said,",391.45,392.69
" Yes, Angela, I am Pymad.",394.44,397.98
" She looked at me and she said,",399.49,400.5
" Oh, good.",400.5,401.59
 I was hoping you'd say that.,402.82,403.96
 Now buy me a beer.,405.47,406.43
 Tell me all about it.,407.21,408.45
