text,start,end
" Tonight, a story by Frederick Pohl.",0.0,2.14
 Tunnel Under the World.,3.12,4.46
" On the morning of June 15, Guy Burkhart woke up screaming.",12.98,18.18
 It was more real than any dream he had ever had in his life.,21.77,25.34
" He could still hear and feel that sharp metal ripping explosion,",26.12,30.0
 that searing wave of heat.,30.26,32.36
 He sat up.,33.26,33.67
 Mary.,33.67,34.28
 Mary.,35.2,35.48
 Mary!,36.56,36.96
 Mary!,37.04,37.36
 Where are you?,37.78,38.22
" God, wrong.",38.58,38.87
 You're trembling.,40.34,40.8
 Where were you?,40.98,41.44
" In the kitchen, cooking breakfast.",41.44,42.91
 What is it?,42.91,43.58
 I don't know.,44.52,44.86
" A dream, I guess.",44.86,45.6
 An explosion.,46.1,46.6
 Did you say an explosion?,47.2,48.08
 Yes.,48.58,48.81
 But that's the dream I had.,48.81,50.88
 What?,51.66,51.86
" I dreamed there was a big explosion,",52.36,53.72
 and then something sort of hit me on the head.,53.98,56.12
" Holy smokes, baby.",56.96,58.04
 Maybe there really was some sort of explosion,58.9,60.78
 and it started us dreaming.,60.88,61.94
" Well, there'll be an explosion down at your office",62.7,64.75
 if you don't hurry and get to work.,64.75,66.22
" Coming in on the bus, Burkhart watched to see if there was any evidence of an explosion.",67.53,83.31
 There wasn't.,84.39,84.87
" If anything, the town looked better than ever.",85.59,87.55
 The only thing that seemed strange to him was the fact that none of the usual crowd was on the bus.,88.25,93.97
" He was a little relieved when his old pal, Henry Swanson, finally got on.",95.19,99.15
 Excuse me.,100.89,101.41
 Henry!,102.17,102.41
" Pardon me, sir.",103.19,103.73
" Henry, what's the matter with you?",104.55,106.18
" It's me, Guy Burkhardt",106.18,107.49
 Burkhardt?,108.07,108.55
" Sorry, I don't believe we've met",108.93,110.07
 What?,110.83,110.93
" Henry, for Pete's sake, it's me",111.79,113.03
" If you'll excuse me, this is my stop",113.03,114.83
" Well, I'll be...",114.91,115.77
 How do you like that?,116.25,117.33
 Guy Burkhardt got off in front of the gigantic Contro Chemical building,124.66,128.6
 Took the elevator to the 98th floor,129.34,131.12
 Where he had worked in the accounting department for 12 years,131.12,134.28
 It wasn't until he was almost at his floor,135.42,137.4
 that he realized the speaker was not playing the usual commercials.,137.54,141.42
 The answer to your problems is a feckle freezer.,142.18,148.41
 Feckle freezers are better.,148.85,150.25
" Morning, Miss Horne.",163.68,164.28
" Good morning, Mr. Burkhardt.",164.64,165.72
" Well, new hairdo, I see, huh?",166.24,168.02
" Why, yes. Do you like it?",168.54,169.64
 It makes a lot of difference in your appearance.,170.22,171.68
 Mr. Barth in?,172.76,173.36
" No, sir.",173.66,174.36
 He had an appointment with Mr. Dorchin of the Human Research Institute.,174.72,178.2
 Today?,178.86,178.88
 Today?,178.88,178.92
 But today's the 15th of June.,179.96,181.1
 He has to sign the quarterly statement.,181.56,182.7
 He said he wouldn't be in.,182.8,184.02
 Huh. That's mighty peculiar.,184.84,185.86
" Yes, sir.",186.58,187.02
" Oh, by the way, Miss Horne,",188.04,189.2
 what the devil is a feckle freezer?,189.98,191.82
 A feckle freezer?,192.54,193.36
 There's some new copy on the elevator commercial.,194.08,195.72
 Dorch must have landed another account.,197.02,198.32
 Feckle freezers.,198.4,199.4
" I really don't know, Mr. Burkhardt.",199.94,201.7
 It's a funny day.,203.82,204.69
" Can't quite put my finger on it,",205.49,206.85
 but there's something strange going on.,206.85,208.41
 He couldn't shake the thought out of his mind.,215.2,217.62
 It persisted all through the day and through dinner.,218.4,220.44
 He was still brooding as he and Mary got ready for bed.,220.72,224.8
" Tired, dear?",226.86,227.44
 Hmm?,227.7,227.82
" Oh, no.",228.88,229.52
 Anything wrong?,230.28,230.9
 I don't know.,231.94,232.52
" Well, I guess I'll get a good night's sleep.",233.76,235.36
 Coming?,235.84,236.06
 I think I'll sit up and read for a while.,236.84,238.16
" Good night, darling.",239.87,240.63
" Night, dear.",241.09,241.37
" At exactly midnight, Guy Burkhardt lapsed into a sudden, deep sleep.",249.83,256.05
" And the following morning, he woke up screaming.",256.83,260.23
" Darling, what is it? What's wrong?",263.46,265.18
" Oh, nothing. Bad dream, I guess.",266.89,270.6
 You gave me such a shock.,270.94,272.3
 I seem to be having a lot of nightmares lately.,273.79,275.81
 Really?,276.35,276.57
" Yes, the one I had yesterday.",277.67,278.63
 This was the same.,279.71,280.41
 A big explosion and then nothing.,281.15,282.63
 You had a dream yesterday?,283.25,284.23
" Well, of course I did. You had the same sort of dream.",285.29,287.21
 I?,287.57,287.85
" Guy, you're mistaken.",288.81,289.69
 I don't remember dreaming.,289.95,291.13
" Oh, now, Mary, you told me.",291.43,292.38
" Guy, you're mistaken.",292.38,293.41
" But, Mary, you...",293.59,294.41
 Maybe you dreamed I had a dream.,294.41,296.41
 Maybe...,296.85,297.03
" Oh, yes, I might have done that, I suppose.",297.03,299.09
 Everything did seem sort of strange yesterday.,300.58,302.2
" Oh, that's probably it.",302.54,303.66
" You better get dressed, dear.",304.1,305.03
 Today's the 15th.,305.03,305.94
 That's when the quarterly statement...,306.1,306.97
 15th?,306.97,307.46
 Yes.,307.84,308.06
" Well, it must have been a dream",309.36,310.33
 because yesterday was the 15th.,310.33,311.76
" Guy Burkhart got up, dressed, ate breakfast,",321.9,324.98
 and took the usual bus to work.,325.58,327.48
" Once again, everything seemed even brighter and newer than usual.",327.94,331.7
" And once again, he was puzzled when he noticed none of the old crowd on the bus.",332.54,336.82
" Pardon me, please.",339.63,340.25
" Look, don't shove so.",340.93,341.95
" Oh, morning, Henry.",342.93,343.77
 Morning.,344.67,344.95
" For God's sake, don't talk to me.",345.75,347.39
 What is it? Are you being followed or something?,348.17,349.51
 Don't you know?,350.05,350.75
 I was sure you remembered.,351.69,352.69
 Remembered what?,353.43,353.95
 I can't talk.,354.19,354.87
" This is my stuff. Will you excuse me, please?",355.71,357.65
" Henry, Henry, for Pete's sake.",357.77,359.41
" As in yesterday's dream, Guy Burkhart got off at his stop and took the elevator to the 98th floor.",359.71,375.52
 The speaker in the elevator purred a new commercial this time.,375.9,379.56
 They're sanitized.,382.86,383.9
 Does your present cigarette make your throat feel raspy and unpleasant?,384.64,388.72
" Marlin cigarettes contain a miraculous new drug which actually gives you the sensation of smooth, creamy smoke.",389.66,398.34
" Marlins, cigarette.",399.64,400.86
 Marlins.,402.1,402.7
 He walked down the marble corridor to his office.,406.41,409.51
" Good morning, Mr. Burkhardt.",413.72,415.1
" Good morning, Miss Horne.",415.6,416.46
 Do you like my new hairdo?,417.5,418.8
" Uh, yes.",420.24,421.72
 Is Mr. Barth in?,422.52,423.88
" No, sir.",424.36,425.16
 He had an appointment with Mr. Dorton at the Research Institute.,425.16,428.9
 I know.,428.96,429.62
 You know?,430.74,431.06
" Well, I guessed it anyway.",431.06,432.16
" And today is the 15th of June, and he won't be here to sign the quarterly statement, and I'm going nuts.",432.3,436.78
" Let me have a cigarette, will you?",437.5,438.34
" Yes, sir.",438.98,439.58
 Try one of these.,440.38,441.26
 They're Marlins.,441.94,442.62
 I've never heard of Marlins before today.,443.34,445.06
